Gene	cat	cluster	degree	PNsyst
CHORDC1	chap	cluster1	55	HSP90_system
SH3KBP1	syn	cluster1	9	None
VSNL1	syn	cluster1	9	None
GNAS	syn	cluster1	12	None
SARS	syn	cluster1	15	None
OGDHL	syn	cluster1	11	None
BFAR	ub	cluster1	53	RING_Single
NRXN1	syn	cluster1	10	None
RPS3	syn	cluster1	12	None
SLC25A3	syn	cluster1	13	None
NDUFA4	syn	cluster1	11	None
EEF1A1	syn	cluster1	2	None
LANCL1	syn	cluster1	10	None
RANBP9	syn	cluster1	12	None
RPS19	syn	cluster1	4	None
RPS8	syn	cluster1	12	None
NLGN1	syn	cluster1	11	None
ATP5B	syn	cluster1	16	None
CYCS	syn	cluster1	13	None
AASDHPPT	syn	cluster1	12	None
ITFG1	syn	cluster1	15	None
RAP1GAP	syn	cluster1	11	None
PPP1CB	syn	cluster1	15	None
RPS25	syn	cluster1	2	None
HSP90AB1	chap	cluster1	60	HSP90_system
CALM1	syn	cluster1	11	None
LRPPRC	syn	cluster1	11	None
GIT2	syn	cluster1	9	None
GABARAPL2	syn	cluster1	12	None
NCAM2	syn	cluster1	9	None
CACNA1D	syn	cluster1	10	None
ATP6V0D1	syn	cluster1	10	None
PPP5C	chap	cluster1	14	HSP90_system
PPIA	syn	cluster1	7	None
CALM2	syn	cluster1	2	None
RNF6	ub	cluster1	14	RING_Single
TCP1	chap	cluster1	22	CCT/TRiC_system
SLC18A2	syn	cluster1	1	None
GDF7	syn	cluster1	5	None
ATP6V1F	syn	cluster1	7	None
PRDX2	syn	cluster1	6	None
FBXW12	ub	cluster1	1	RING_Complex
DSG1	syn	cluster1	2	None
FBXW7	ub	cluster1	25	RING_Complex
RPS4X	syn	cluster1	2	None
COX6B1	syn	cluster1	2	None
CRYM	syn	cluster1	1	None
ODF1	chap	cluster1	12	sHSP_system
TRIM26	ub	cluster1	2	RING_Single
DAXX	chap	cluster1	2	other
CCT6A	chap	cluster1	23	CCT/TRiC_system
EPB41	syn	cluster1	0	None
GPRASP2	syn	cluster1	0	None
FKBPL	chap	cluster1	1	HSP90_system
ACO2	syn	cluster1	1	None
IPO5	syn	cluster1	2	None
HSPB3	chap	cluster1	1	sHSP_system
PKLR	syn	cluster1	1	None
HEPACAM2	syn	cluster1	1	None
NFKBIE	syn	cluster1	0	None
BMI1	ub	cluster1	0	RING_Single
TOMM34	chap	cluster1	1	HSP90_system
SYP	syn	cluster2	5	None
PI4KA	syn	cluster2	5	None
ARF3	syn	cluster2	3	None
IQSEC3	syn	cluster2	2	None
PPP2R1A	syn	cluster2	2	None
GPC1	syn	cluster2	5	None
NDUFA5	syn	cluster2	4	None
EIF4A2	syn	cluster2	4	None
SNAP91	syn	cluster2	4	None
GRIP1	syn	cluster2	2	None
DIRAS1	syn	cluster2	4	None
ATP6V1C1	syn	cluster2	2	None
DYNC1H1	syn	cluster2	2	None
PCLO	syn	cluster2	5	None
SCN1A	syn	cluster2	5	None
GNB5	syn	cluster2	6	None
PLD3	syn	cluster2	5	None
YWHAG	syn	cluster2	4	None
CDC42	syn	cluster2	5	None
KIFAP3	syn	cluster2	8	None
NPTN	syn	cluster2	6	None
ALDOA	syn	cluster2	4	None
MARCH4	ub	cluster2	42	Uncategorized
LDHA	syn	cluster2	5	None
GRIN1	syn	cluster2	6	None
PGM2L1	syn	cluster2	5	None
OXR1	syn	cluster2	2	None
ATP6V1A	syn	cluster2	4	None
ATP6V0C	syn	cluster2	4	None
VAMP2	syn	cluster2	5	None
HOMER2	syn	cluster2	4	None
ATP2A2	syn	cluster2	2	None
MAP1A	syn	cluster2	2	None
CRMP1	syn	cluster2	4	None
SPTBN4	syn	cluster2	4	None
FABP3	syn	cluster2	5	None
STRAP	syn	cluster2	5	None
SYT12	syn	cluster2	2	None
ATP6V1G2	syn	cluster2	4	None
LMTK2	syn	cluster2	6	None
REEP5	syn	cluster2	6	None
GNAI1	syn	cluster2	3	None
BSN	syn	cluster2	5	None
RAB3A	syn	cluster2	5	None
MPP6	syn	cluster2	4	None
RNF11	ub	cluster2	62	RING_Single
HSP90AA1	chap	cluster2	26	HSP90_system
GNAO1	syn	cluster2	3	None
VGF	syn	cluster2	1	None
DNAJB14	chap	cluster2	36	HSP70_system
TAGLN3	syn	cluster2	4	None
STXBP1	syn	cluster2	7	None
VDAC3	syn	cluster2	6	None
KLC1	syn	cluster2	5	None
SLC25A4	syn	cluster2	5	None
KCNJ12	syn	cluster2	4	None
MAP1B	syn	cluster2	4	None
CACNA1I	syn	cluster2	2	None
HSPH1	chap	cluster2	31	HSP70_system
ATP1A3	syn	cluster2	5	None
SYT3	syn	cluster2	4	None
AP3B2	syn	cluster2	5	None
NTRK2	syn	cluster2	5	None
KRT5	syn	cluster2	0	None
DES	syn	cluster2	1	None
ERC2	syn	cluster2	1	None
DYNC1I2	syn	cluster2	1	None
HERC1	ub	cluster2	9	HECT
TUBA1B	syn	cluster2	2	None
ATP5C1	syn	cluster2	1	None
FSD1	syn	cluster2	3	None
GRIK2	syn	cluster2	3	None
PDE10A	syn	cluster2	4	None
LRRTM1	syn	cluster2	3	None
SCN5A	syn	cluster2	0	None
KRT6A	syn	cluster2	2	None
RGS8	syn	cluster2	1	None
SLC25A31	syn	cluster2	0	None
CBLN1	syn	cluster2	2	None
ASB9	ub	cluster2	12	RING_Complex
DUSP4	syn	cluster2	1	None
CCNF	ub	cluster2	23	RING_Complex
PTPRD	syn	cluster2	2	None
SORBS2	syn	cluster2	1	None
MEX3B	ub	cluster2	25	Uncategorized
HSPB2	chap	cluster2	10	sHSP_system
GAPDH	syn	cluster2	1	None
SEPT7	syn	cluster2	2	None
ENO1	syn	cluster2	0	None
SFN	syn	cluster2	1	None
RACGAP1	syn	cluster2	0	None
HSPB6	chap	cluster2	3	sHSP_system
PRPH	syn	cluster2	0	None
LMNB1	syn	cluster2	1	None
SCN7A	syn	cluster2	0	None
PMCH	syn	cluster2	1	None
RAB37	syn	cluster2	1	None
CPLX2	syn	cluster3	5	None
RANGAP1	syn	cluster3	8	None
GRIA1	syn	cluster3	0	None
NSF	syn	cluster3	7	None
UCHL1	ub	cluster3	62	Uncategorized
GABRA1	syn	cluster3	5	None
DOCK3	syn	cluster3	8	None
VCPIP1	syn	cluster3	8	None
DLG2	syn	cluster3	6	None
CDK5	syn	cluster3	13	None
RC3H1	ub	cluster3	65	RING_Single
KCNQ2	syn	cluster3	7	None
RAB6B	syn	cluster3	7	None
PLXNA4	syn	cluster3	5	None
SCN8A	syn	cluster3	7	None
OGT	syn	cluster3	8	None
MPP1	syn	cluster3	7	None
AP3M2	syn	cluster3	4	None
AK5	syn	cluster3	6	None
SYN1	syn	cluster3	7	None
ATP8A1	syn	cluster3	7	None
WDR47	syn	cluster3	9	None
PPIL1	syn	cluster3	6	None
HECTD2	ub	cluster3	54	HECT
LSAMP	syn	cluster3	7	None
RYR2	syn	cluster3	6	None
RGS17	syn	cluster3	6	None
PHYHIP	syn	cluster3	6	None
DNM1L	syn	cluster3	6	None
RPL5	syn	cluster3	3	None
APP	syn	cluster3	6	None
CADPS	syn	cluster3	7	None
DNM1	syn	cluster3	7	None
TRAPPC3	syn	cluster3	8	None
ATP6V1B2	syn	cluster3	11	None
PLCB1	syn	cluster3	6	None
LIMCH1	syn	cluster3	7	None
PCMT1	syn	cluster3	7	None
PGAM1	syn	cluster3	7	None
SHANK2	syn	cluster3	9	None
ATP1B1	syn	cluster3	4	None
JAKMIP2	syn	cluster3	7	None
KCNMA1	syn	cluster3	6	None
MARCH6	ub	cluster3	63	Uncategorized
FAM49B	syn	cluster3	7	None
MYO5A	syn	cluster3	9	None
SH3GL3	syn	cluster3	6	None
ATIC	syn	cluster3	7	None
PSMD1	syn	cluster3	7	None
CLIP3	syn	cluster3	8	None
MYH10	syn	cluster3	7	None
RNF2	ub	cluster3	60	RING_Complex
CAMKV	syn	cluster3	6	None
WASF1	syn	cluster3	6	None
TUBA4A	syn	cluster3	6	None
PACSIN1	syn	cluster3	11	None
TPM3	syn	cluster3	7	None
PRRT1	syn	cluster3	7	None
SIPA1L1	syn	cluster3	7	None
SLC12A5	syn	cluster3	8	None
MKL2	syn	cluster3	6	None
SNTB2	syn	cluster3	11	None
OMG	syn	cluster3	6	None
CHCHD6	syn	cluster3	9	None
PGAM5	syn	cluster3	8	None
ACOT7	syn	cluster3	7	None
DLAT	syn	cluster3	3	None
CORO1A	syn	cluster3	5	None
UBR2	ub	cluster3	53	RING_Single
SEC14L2	syn	cluster3	5	None
GRIA3	syn	cluster3	3	None
MADD	syn	cluster3	9	None
FBXL18	ub	cluster3	26	RING_Complex
AHR	ub	cluster3	31	Uncategorized
IDH3A	syn	cluster3	4	None
DLGAP2	syn	cluster3	4	None
FXYD6	syn	cluster3	0	None
PDE2A	syn	cluster3	0	None
CRBN	ub	cluster3	18	RING_Complex
ATP1A1	syn	cluster3	5	None
KLHL8	ub	cluster3	15	RING_Complex
TOMM40L	syn	cluster3	7	None
RAB12	syn	cluster3	6	None
PDHB	syn	cluster3	7	None
AKAP5	syn	cluster3	6	None
SKP1	ub	cluster3	16	RING_Complex
OXCT1	syn	cluster3	7	None
GRPEL2	chap	cluster3	17	HSP70_system
DNAJC28	chap	cluster3	1	HSP70_system
TCP11L1	syn	cluster3	1	None
PDC	chap	cluster3	11	CCT/TRiC_system
BAIAP2	syn	cluster3	5	None
NGEF	syn	cluster3	0	None
TRAF6	ub	cluster3	9	RING_Single
RABGAP1L	syn	cluster3	2	None
GAS7	syn	cluster3	0	None
TRIM71	ub	cluster4	1	RING_Single
FXYD2	syn	cluster4	1	None
SYNGR4	syn	cluster4	2	None
ZSWIM2	ub	cluster4	2	RING_Single
AQP1	syn	cluster4	0	None
SOX7	syn	cluster4	1	None
AIPL1	chap	cluster4	6	HSP90_system
KIF2C	syn	cluster4	3	None
SAG	ub	cluster4	4	Uncategorized
ST14	syn	cluster4	0	None
KIAA0408	syn	cluster4	0	None
MYL4	syn	cluster4	1	None
KLHL13	ub	cluster4	0	RING_Complex
FBXO40	ub	cluster4	1	RING_Complex
STC1	syn	cluster4	1	None
IL5RA	syn	cluster4	2	None
EIF3C	syn	cluster4	1	None
PYCR1	syn	cluster4	1	None
KCNH2	syn	cluster4	0	None
PGK2	syn	cluster4	0	None
CORO2A	syn	cluster4	0	None
TUBA8	syn	cluster4	0	None
CACNA1H	syn	cluster4	1	None
