"CCT/TRiC_system" "HSP70_system" "HSP90_system" "sHSP_system"
219 410 313 53
238 422 319 59
234 397 300 42
247 413 273 55
233 375 294 45
211 407 272 67
237 398 302 48
247 423 271 57
215 400 298 55
217 434 303 42
236 421 298 44
240 403 270 70
195 400 289 68
221 366 308 57
232 386 255 40
229 392 284 41
238 392 310 36
230 372 269 68
232 383 287 56
206 396 289 48
231 398 288 65
208 391 295 63
268 390 286 54
223 440 322 57
219 383 267 56
229 403 276 73
238 386 285 40
231 402 276 62
243 401 265 65
206 382 312 61
231 373 300 59
263 449 297 58
212 397 280 56
258 413 286 51
238 435 301 43
219 388 330 48
247 409 275 44
215 413 304 52
216 431 290 58
200 405 284 44
230 424 290 61
226 395 285 45
260 403 275 64
222 383 307 63
239 407 269 51
222 409 285 59
237 392 277 64
226 434 267 67
226 409 281 57
243 420 289 59
234 445 320 60
207 441 297 52
216 417 290 54
193 404 309 72
216 416 301 52
248 398 296 59
224 411 281 65
245 417 314 48
229 396 307 51
192 465 284 48
230 378 291 59
261 395 285 73
234 357 287 53
205 443 297 47
234 421 288 47
202 358 298 52
226 351 300 46
230 419 304 51
211 415 280 62
241 388 295 54
241 415 292 77
232 407 315 62
222 417 261 62
231 413 282 53
236 420 271 41
243 396 291 55
243 426 276 46
220 403 309 53
223 417 299 55
242 387 296 57
250 399 296 55
228 402 298 61
230 413 280 56
232 402 279 69
213 398 262 64
224 364 267 70
255 394 327 76
248 393 317 71
241 413 313 69
236 435 278 64
218 394 326 48
220 425 279 71
232 436 257 66
250 407 295 48
222 423 265 68
229 402 300 68
244 406 298 46
251 412 280 52
228 366 266 53
219 399 312 66
249 422 294 63
227 401 304 50
228 419 276 53
247 355 296 67
238 403 293 61
224 407 274 48
251 414 272 73
229 403 315 64
232 397 310 67
242 411 294 50
229 420 293 67
226 385 319 59
250 393 289 67
251 392 286 56
238 400 301 45
228 398 290 84
258 429 290 41
252 406 315 51
234 395 288 68
229 452 263 65
230 392 309 56
253 421 259 56
251 406 307 48
222 415 313 54
236 405 284 81
244 387 316 49
261 372 295 64
208 386 267 45
212 424 292 34
206 384 274 74
244 411 294 54
222 421 281 58
246 403 286 53
210 379 286 46
224 401 282 56
227 417 274 36
249 423 275 58
219 447 288 53
204 414 303 63
215 430 274 64
228 377 302 45
256 428 283 51
236 400 291 54
225 381 278 38
242 434 318 50
227 380 304 58
208 418 298 49
203 407 282 66
228 406 275 55
249 400 320 47
233 425 291 48
235 404 296 72
250 400 284 52
238 372 282 53
231 381 298 65
262 419 282 47
240 410 298 71
218 433 288 66
227 433 269 79
232 396 305 62
223 402 300 49
228 415 300 73
249 414 293 50
213 406 280 70
234 422 261 59
233 384 296 51
244 409 309 66
234 357 285 65
205 388 281 58
229 416 288 35
252 403 312 77
220 391 300 53
241 405 278 43
226 387 276 50
197 419 309 28
229 394 296 61
224 397 277 52
213 423 319 61
240 416 302 48
254 381 274 58
229 409 292 46
214 394 257 47
224 416 279 56
216 408 297 57
210 404 263 69
200 435 293 61
218 366 322 62
226 428 301 61
226 381 267 53
234 421 283 60
233 391 283 54
234 442 307 43
217 384 317 58
206 404 303 61
218 375 283 66
230 409 285 52
246 390 317 52
259 398 304 60
243 412 303 54
212 400 292 70
245 420 280 50
208 434 288 65
244 425 293 76
200 425 282 77
196 412 286 44
210 379 332 51
217 389 318 73
244 414 263 41
227 396 305 64
229 403 313 64
236 392 271 38
241 405 293 72
212 418 274 58
226 417 326 57
222 435 269 42
233 433 285 51
244 400 290 58
230 433 272 66
246 406 304 65
233 384 289 65
230 396 301 42
198 434 326 63
223 408 274 62
240 425 294 54
211 412 245 52
219 406 318 66
227 429 308 66
246 403 274 54
210 422 278 61
255 391 294 55
219 403 264 63
225 444 315 57
223 431 265 83
212 393 306 80
245 371 294 54
208 382 277 39
222 411 273 58
233 397 265 46
208 369 303 54
205 403 301 57
216 449 278 63
203 393 289 57
239 376 309 61
200 429 278 54
238 414 311 57
217 372 287 68
246 446 279 47
215 413 287 39
218 407 287 51
237 387 288 53
228 398 291 72
212 402 284 63
214 389 294 48
249 425 257 61
210 398 284 61
237 437 256 51
207 433 263 55
224 409 315 51
222 425 287 72
229 413 279 73
215 402 300 60
250 432 306 84
227 434 285 57
252 424 284 61
247 436 290 55
251 419 280 51
223 400 267 70
245 379 276 46
215 392 305 73
238 421 281 50
238 399 295 53
234 403 293 64
241 387 311 61
244 401 288 50
236 378 301 47
256 423 293 61
229 434 287 69
203 404 284 54
216 384 310 57
233 454 299 43
250 407 294 45
211 379 297 67
232 400 285 47
196 394 309 66
229 405 307 57
235 412 288 42
241 403 305 67
223 375 298 48
231 408 313 58
226 392 291 68
232 379 272 64
232 428 296 53
238 409 249 56
248 362 296 68
228 405 289 47
226 388 323 50
238 423 283 24
239 369 292 64
227 414 296 62
226 406 293 53
261 389 299 52
215 421 290 69
202 413 307 64
225 389 274 52
229 466 310 56
223 416 278 50
230 380 292 70
249 398 281 47
239 375 294 72
228 385 292 53
231 399 296 63
231 406 279 53
232 425 307 69
235 440 299 55
227 368 276 60
254 397 281 52
223 371 301 53
251 399 273 54
229 373 294 61
223 366 281 48
228 398 270 70
222 422 287 52
251 391 289 56
259 408 330 65
247 368 293 46
218 378 321 56
247 418 294 61
241 394 309 64
231 415 294 54
243 428 288 58
212 404 277 64
218 443 285 62
227 396 284 67
203 397 298 56
220 403 251 62
223 371 297 63
224 399 283 47
242 387 306 61
234 414 285 64
226 404 265 53
197 419 278 57
225 383 321 59
231 429 283 48
233 384 277 41
260 381 309 53
232 409 301 48
233 381 260 58
195 399 307 62
238 390 308 60
248 397 287 50
230 406 269 56
221 389 304 63
223 382 290 72
225 419 285 85
231 387 282 66
226 441 297 54
268 411 305 46
220 384 328 46
247 387 277 68
242 423 310 53
234 410 281 84
215 364 289 73
227 390 308 52
247 416 309 71
228 391 311 67
255 413 288 53
228 379 290 52
218 410 285 47
248 421 253 63
226 449 272 57
228 403 306 56
238 400 287 58
208 382 281 63
205 410 303 65
203 431 298 58
239 390 294 68
233 420 302 45
233 411 282 68
241 444 240 75
219 428 319 53
210 405 264 81
223 417 290 54
213 385 310 38
256 407 292 43
220 428 316 61
227 407 292 64
204 405 285 63
259 409 294 52
210 408 277 65
208 397 284 54
203 386 297 57
227 425 289 46
231 432 294 60
236 371 303 54
242 395 282 52
241 417 308 81
252 406 292 42
216 401 303 64
220 398 310 68
202 420 311 67
243 403 269 62
238 415 282 72
214 415 302 46
231 364 297 70
215 386 265 57
212 419 274 53
233 402 261 41
235 383 287 54
236 380 302 67
233 392 291 47
234 423 286 48
228 377 304 54
211 374 294 63
238 376 295 70
208 397 299 65
248 403 328 53
222 401 288 52
219 400 260 51
217 401 298 58
246 411 285 47
218 420 287 48
206 390 284 65
248 433 273 58
240 380 310 57
242 389 299 63
229 421 278 63
223 373 308 55
236 362 291 48
239 423 309 35
234 382 306 64
236 413 286 51
218 392 294 50
235 390 272 49
254 391 279 68
228 384 250 49
251 376 293 51
229 393 271 39
229 417 248 56
250 427 285 67
227 388 288 68
223 402 274 57
220 437 273 44
228 420 308 50
259 395 308 63
228 418 330 46
208 406 285 66
225 428 298 48
246 387 305 71
225 392 274 52
251 420 267 54
240 406 280 68
224 408 299 61
216 422 317 52
225 384 284 53
212 428 304 50
234 392 310 54
213 418 342 49
228 436 288 56
229 409 287 56
222 397 292 53
226 400 301 69
235 422 275 62
259 385 328 52
228 403 330 54
231 412 318 51
231 396 289 62
217 435 281 77
220 430 297 43
231 359 301 51
226 376 265 51
233 388 295 55
216 420 297 51
238 391 315 68
202 429 282 45
232 406 290 66
214 420 289 53
207 401 302 62
232 393 298 74
212 403 290 52
237 424 273 47
274 397 276 60
234 424 288 63
230 413 308 72
241 395 308 63
220 420 316 67
236 426 305 53
215 363 314 68
237 409 308 55
198 445 281 52
220 425 307 57
217 396 320 58
233 416 282 60
203 393 265 44
221 429 302 52
242 402 315 60
236 415 260 72
225 419 301 64
218 366 296 61
224 434 255 50
250 414 313 40
258 398 274 55
215 392 273 52
219 394 286 65
246 368 284 61
245 420 307 55
249 416 293 59
230 409 300 54
244 377 281 65
238 410 295 53
227 396 306 75
220 420 279 56
224 392 292 53
240 412 300 42
262 421 288 37
231 387 303 60
228 414 288 58
263 412 293 56
231 424 281 59
217 393 279 62
206 381 308 47
251 423 300 56
242 383 263 57
211 384 293 70
218 396 306 65
239 413 293 42
236 411 308 80
232 421 284 74
189 431 273 52
235 385 285 63
208 399 277 52
221 414 275 49
210 403 328 69
230 399 256 58
233 407 326 58
216 430 279 52
234 385 279 59
230 370 281 40
229 409 294 62
220 395 290 54
210 364 275 74
220 411 304 46
220 430 284 68
197 426 262 53
233 407 233 74
179 373 284 66
256 389 285 72
224 384 285 39
238 425 262 47
211 409 317 45
210 433 326 62
233 420 289 75
229 404 312 56
231 432 292 60
211 406 284 68
242 427 310 43
231 395 322 71
229 404 268 50
225 369 284 61
218 427 293 56
230 372 298 74
234 414 282 54
205 394 289 52
233 425 292 73
241 380 286 64
237 443 303 61
216 374 291 48
201 422 282 72
207 399 285 60
232 397 321 70
256 407 311 47
240 405 324 57
199 419 296 54
221 399 275 55
224 397 298 59
247 460 290 53
253 416 274 58
222 409 293 41
240 400 288 65
244 464 267 70
215 455 250 55
219 422 324 47
222 422 271 55
238 398 277 54
237 411 284 75
204 407 295 57
229 378 305 72
249 420 287 49
204 426 279 65
224 404 298 52
228 416 305 57
233 399 304 49
263 404 297 49
232 416 307 54
215 430 311 57
239 371 320 38
253 389 286 48
234 396 317 64
240 416 284 49
216 413 280 66
219 416 317 65
252 397 274 64
228 438 258 54
206 397 302 59
261 398 299 68
230 385 302 52
230 398 260 51
246 421 293 68
223 416 317 50
233 406 271 58
236 415 286 58
215 390 291 76
225 419 275 56
228 390 323 50
203 436 301 54
258 411 287 58
226 377 305 58
240 406 317 64
239 403 288 62
218 404 299 45
218 413 295 58
237 398 273 58
205 407 274 52
207 393 289 79
226 437 303 46
231 415 292 56
230 438 318 52
244 419 292 53
202 421 289 60
241 391 302 54
225 395 293 58
204 436 296 72
217 378 279 60
248 380 294 44
241 426 325 69
207 377 300 76
198 398 306 53
225 410 297 76
248 391 272 44
249 408 256 71
260 378 251 54
216 385 311 53
212 408 287 61
238 395 301 57
238 411 273 68
234 433 302 56
243 404 255 54
235 396 307 63
214 394 281 67
251 412 282 48
213 394 284 58
219 420 266 72
226 396 286 52
229 432 308 69
234 393 299 49
236 426 301 57
270 366 284 48
243 413 296 48
238 349 305 52
218 401 295 52
231 409 300 65
198 406 292 83
218 390 279 59
231 409 308 46
236 399 268 54
216 381 308 60
234 411 294 57
209 380 298 58
211 425 285 57
234 410 283 56
248 404 291 48
225 398 263 51
245 431 299 75
223 416 290 62
230 423 305 48
235 393 285 41
214 355 266 47
231 415 343 66
222 392 300 63
219 402 287 59
222 423 290 48
236 418 268 49
217 409 297 80
234 436 281 51
247 387 283 38
240 434 279 46
219 391 315 42
