"HECT" "RBR" "RING_Complex" "RING_Single"
114 23 630 739
128 22 640 718
111 29 671 752
126 36 658 747
121 25 620 704
126 26 618 716
120 21 669 757
129 40 680 743
119 29 678 754
120 32 650 700
121 25 678 748
110 33 648 732
119 32 603 728
127 30 680 749
103 34 650 718
124 42 645 729
102 45 672 735
124 24 649 730
122 33 684 740
103 30 610 740
119 31 656 686
106 25 613 699
106 29 616 751
115 33 599 729
121 35 651 778
116 44 638 666
129 32 663 795
132 24 632 718
126 22 625 749
114 37 618 705
103 29 623 697
135 22 642 721
133 31 661 748
133 45 656 725
118 38 613 742
132 37 640 748
117 35 643 735
119 36 618 827
127 35 625 757
119 33 634 718
115 31 646 742
108 33 668 742
120 29 641 724
116 39 664 772
123 24 647 735
114 26 648 744
99 39 626 737
113 37 602 715
148 29 646 716
114 41 607 743
129 38 620 782
127 31 650 757
101 27 727 779
105 14 619 750
116 26 610 754
105 33 606 725
116 26 602 750
110 34 622 772
101 33 596 684
120 35 636 765
139 27 646 742
116 25 610 727
116 29 613 747
109 33 608 724
108 32 643 808
119 45 615 765
103 39 613 657
116 17 649 728
129 36 623 741
134 37 639 727
123 37 631 774
110 47 612 766
116 29 628 737
97 40 661 756
116 31 656 752
121 38 651 700
121 31 627 764
129 27 612 706
118 26 642 773
114 42 637 721
123 32 615 728
120 27 636 730
123 32 654 740
123 37 667 730
121 36 623 780
114 30 632 738
101 33 666 716
136 27 646 753
126 36 624 690
118 30 680 787
106 20 621 703
106 26 641 776
108 25 633 720
124 31 625 727
128 25 622 769
116 20 598 740
109 31 620 719
125 26 661 698
105 28 618 754
112 34 655 707
98 35 627 758
119 29 661 714
101 37 611 738
125 37 636 775
124 37 652 702
123 39 671 725
109 27 635 768
100 29 621 765
127 20 640 747
120 25 607 729
111 33 670 721
110 27 583 731
116 31 609 730
128 38 638 721
108 22 555 772
114 29 590 722
113 23 614 688
118 37 673 733
120 42 647 706
110 20 621 728
120 33 645 728
113 45 595 720
95 36 625 728
125 30 639 758
113 35 617 710
112 29 653 739
120 40 690 739
123 37 622 727
111 32 622 705
122 39 618 730
120 28 622 751
133 36 633 748
122 28 633 733
122 29 622 700
113 30 641 761
102 34 663 684
136 32 612 713
108 29 686 742
131 31 661 757
103 34 609 748
107 39 619 748
110 33 625 736
122 28 604 711
112 22 637 739
142 36 565 725
126 25 604 751
112 30 641 749
113 29 656 759
126 29 618 735
126 23 644 714
127 31 621 779
97 29 611 713
132 30 664 763
115 26 690 747
126 42 656 745
138 34 629 736
149 39 632 708
110 45 681 717
141 39 608 731
110 15 630 713
115 25 608 749
121 25 623 769
116 28 649 719
124 33 631 761
112 34 589 735
120 35 593 757
145 36 629 741
111 35 646 788
119 22 645 717
134 21 654 733
123 37 710 760
124 27 654 784
102 32 614 736
105 30 630 741
126 39 645 741
122 29 667 707
121 37 620 763
137 30 652 731
114 20 645 730
121 32 598 715
107 25 709 721
109 37 594 738
122 46 632 743
100 35 632 729
121 24 667 750
146 29 656 726
106 34 619 740
119 45 629 700
118 38 639 741
124 25 623 748
132 29 637 701
115 32 618 744
109 29 645 727
109 41 581 737
115 42 664 740
115 33 640 754
120 34 613 687
116 31 614 765
109 28 627 740
86 36 648 710
124 28 660 689
107 38 605 688
107 34 675 699
133 39 643 753
127 24 597 737
127 34 630 727
108 28 661 763
109 27 602 739
126 33 643 751
107 38 645 768
130 24 635 726
120 29 654 678
105 28 617 761
131 31 619 690
140 27 656 715
126 36 679 737
115 33 656 755
109 24 674 683
121 29 643 687
121 36 616 727
137 26 650 724
128 36 665 782
104 38 630 717
93 34 641 751
116 23 629 735
111 23 616 705
130 29 619 753
121 26 596 720
114 36 639 758
107 39 607 716
128 23 599 742
116 30 600 742
106 36 664 738
98 24 662 710
104 36 616 790
91 41 630 713
132 34 656 768
128 31 588 696
125 36 647 753
109 35 652 771
119 33 606 746
115 38 595 737
112 29 626 736
124 32 662 733
124 31 617 743
98 39 647 751
130 29 645 720
143 33 656 775
127 22 595 796
111 28 644 734
107 25 624 716
134 41 604 760
136 35 631 719
100 29 677 729
109 33 668 732
123 33 666 743
121 30 612 735
102 31 631 753
114 34 677 763
117 48 621 687
90 39 590 700
113 20 631 707
130 35 642 776
125 39 666 705
116 35 621 763
107 33 641 744
128 27 630 729
112 25 629 700
138 34 659 721
125 21 647 720
138 30 611 715
126 41 621 736
110 24 677 744
125 40 612 747
130 38 635 725
126 36 610 717
119 35 614 720
121 34 675 725
104 23 630 693
130 28 639 680
103 29 690 732
115 32 607 756
129 25 682 747
118 15 681 720
134 26 638 710
107 40 636 717
135 43 620 715
109 33 636 733
116 37 606 735
102 30 612 737
125 26 613 729
109 31 639 727
113 27 591 781
100 17 620 737
119 26 673 740
122 33 607 740
128 36 676 781
123 35 659 692
111 26 625 698
119 32 656 766
119 28 637 749
119 23 626 716
110 32 608 753
109 26 612 738
108 40 644 741
113 35 653 704
101 27 621 746
116 30 617 752
133 33 622 746
119 37 593 756
127 24 655 757
132 26 625 705
129 34 607 733
120 33 658 784
114 36 624 735
126 37 648 778
136 40 599 717
124 37 615 733
108 18 662 760
118 32 658 734
112 22 633 741
121 28 658 757
123 25 615 788
125 31 656 740
107 33 625 740
117 35 567 742
118 44 633 750
120 30 631 751
118 24 659 712
118 29 607 716
127 27 615 720
105 39 643 710
110 31 651 734
140 23 645 760
119 37 632 770
106 37 575 699
121 40 666 729
105 26 640 737
137 41 649 707
124 36 661 736
97 43 641 760
109 40 590 767
125 42 634 767
122 32 621 728
128 31 659 731
118 28 635 744
110 33 621 738
115 37 619 763
103 36 590 762
127 33 628 735
116 29 639 703
134 30 610 751
110 31 630 753
100 41 654 710
106 30 620 753
114 32 649 763
98 21 684 743
115 39 658 770
116 25 657 696
131 21 600 741
129 35 658 711
135 36 670 719
114 29 609 727
114 35 637 720
137 38 629 770
101 26 591 746
134 35 644 729
108 33 655 722
119 32 629 729
123 35 663 734
109 33 663 779
107 29 676 709
129 30 631 702
120 31 622 707
125 43 620 731
106 26 641 765
108 23 611 697
94 30 620 721
109 35 665 742
111 39 642 772
123 26 638 727
109 42 654 739
118 24 635 755
112 26 653 711
112 28 597 796
113 32 660 726
108 21 640 728
128 37 636 742
110 30 602 702
128 37 584 771
114 36 662 731
125 32 636 728
100 36 663 732
119 27 623 686
122 30 679 725
135 41 664 738
130 31 638 782
123 32 697 732
118 49 647 714
104 26 622 722
127 35 667 689
118 34 604 750
116 40 658 773
112 29 603 766
120 41 595 771
131 35 672 723
121 31 648 717
108 26 640 721
130 32 640 726
116 36 634 771
134 38 640 768
113 21 637 754
114 30 631 753
136 32 618 748
105 37 629 761
127 28 642 739
111 39 675 749
101 28 658 723
114 32 647 726
127 34 632 744
128 26 652 732
110 32 611 719
104 32 633 735
125 31 626 716
118 30 640 773
102 29 636 687
103 31 605 734
131 38 648 737
105 25 637 706
111 35 617 721
114 36 651 698
140 30 667 759
119 32 650 758
108 26 630 741
104 46 616 760
127 34 627 739
111 28 657 691
98 28 635 737
110 32 685 723
120 26 677 745
116 30 668 728
107 24 639 738
130 47 636 731
112 38 678 749
129 35 655 707
110 33 673 742
106 34 586 695
123 19 601 703
131 23 634 738
120 34 612 714
116 36 758 724
125 28 639 744
122 34 598 728
117 42 639 731
122 29 612 759
119 34 641 758
105 45 650 726
127 33 595 772
113 36 635 761
114 41 679 740
116 36 630 679
113 28 629 762
124 37 626 717
142 28 650 691
105 34 639 724
98 37 620 752
131 29 609 712
115 28 653 694
114 34 613 742
100 29 620 782
126 30 631 704
104 36 645 723
118 29 669 732
119 27 658 709
128 39 665 727
119 35 604 716
107 35 604 734
106 30 609 739
122 29 642 734
113 29 677 745
119 30 634 721
130 29 642 693
113 36 635 721
131 19 649 708
127 34 641 739
129 22 607 747
114 20 607 776
129 31 653 736
110 39 654 727
110 39 638 725
126 42 645 744
105 35 656 742
120 31 644 751
116 38 621 723
129 28 664 738
127 28 633 714
107 32 638 751
120 20 634 702
131 31 633 757
115 38 637 757
95 33 641 702
119 37 632 696
116 25 613 722
131 33 663 727
106 25 636 758
137 28 616 761
136 35 613 700
128 30 590 759
118 35 665 732
106 29 630 773
113 40 630 723
140 28 674 758
112 30 631 767
116 30 657 726
130 40 615 729
118 33 627 685
117 33 678 689
123 28 610 695
109 31 596 729
98 35 634 770
125 41 603 720
95 34 617 741
114 26 655 750
120 35 645 736
113 38 594 741
140 30 683 705
133 27 687 689
119 31 646 731
118 29 636 734
112 49 625 767
121 40 623 701
131 36 596 760
95 31 625 717
123 36 639 738
119 30 643 736
111 38 617 781
106 37 633 763
111 35 574 757
124 30 644 753
131 33 627 721
109 30 642 736
117 26 650 714
121 31 671 735
104 37 601 706
130 37 630 716
109 46 594 776
97 25 666 767
119 35 611 724
119 34 601 735
112 39 632 730
113 35 582 755
111 24 644 723
100 33 643 755
149 37 625 724
134 38 665 771
109 23 672 759
110 37 627 715
122 32 608 732
109 33 631 747
114 28 638 677
144 29 632 741
116 31 652 754
122 31 640 763
106 42 664 773
121 33 668 749
100 38 619 705
120 35 677 763
118 28 640 737
103 35 635 738
122 31 654 772
121 26 627 732
116 29 612 730
103 31 651 758
137 28 597 764
121 26 672 732
113 32 690 735
115 28 676 731
129 33 579 748
119 28 649 730
139 26 638 712
120 35 612 729
127 27 603 771
126 27 608 694
112 31 607 765
127 35 633 720
107 35 612 752
126 35 623 750
121 33 653 736
107 35 663 740
123 35 597 798
109 20 700 750
108 36 628 803
111 22 649 693
112 36 668 715
108 33 634 729
116 25 623 755
115 31 661 738
123 39 657 746
119 29 606 771
109 35 633 778
126 31 629 754
135 30 627 724
117 30 624 767
128 23 638 724
114 33 619 748
129 31 644 780
125 26 627 756
106 33 666 783
122 30 607 758
112 32 604 744
129 27 624 727
127 36 616 779
119 34 597 785
114 30 632 736
114 26 640 734
127 37 584 775
116 28 623 753
125 42 652 723
130 27 673 792
110 31 661 748
96 28 671 738
126 26 635 743
113 27 639 783
130 31 664 724
118 22 638 740
116 32 627 691
103 32 631 762
124 30 645 763
118 29 616 736
126 50 625 760
112 44 621 739
103 32 649 730
113 42 658 738
119 39 650 730
120 27 693 752
126 44 674 741
147 42 597 782
121 34 625 714
135 30 637 720
107 39 614 727
111 39 630 727
99 32 627 737
118 34 648 720
118 43 653 797
101 34 597 754
117 27 636 768
122 33 648 667
109 31 645 727
134 28 608 718
126 35 631 734
111 35 602 742
116 26 668 725
117 30 661 745
121 27 598 729
118 35 652 735
114 26 639 708
122 29 623 764
113 29 600 744
125 33 633 734
110 27 638 727
114 30 628 724
112 30 611 729
122 41 643 718
117 40 597 727
122 28 607 703
135 30 662 760
114 35 662 743
120 31 657 736
122 22 653 748
111 35 651 721
117 35 633 710
112 29 639 759
112 35 636 722
134 37 611 756
119 32 626 764
107 32 600 759
123 34 663 756
134 36 626 807
113 36 631 775
112 39 635 730
112 34 622 698
111 43 594 750
113 40 651 748
112 40 632 731
112 34 592 698
129 34 615 724
112 38 626 709
112 26 601 784
133 32 615 736
113 32 647 788
117 25 628 723
115 35 648 765
119 26 628 713
115 34 673 729
123 38 654 745
115 37 652 741
117 32 625 706
130 36 602 752
132 22 651 741
111 35 629 725
123 35 647 717
149 25 663 776
117 26 614 745
132 32 618 763
98 29 651 716
125 27 600 770
118 24 650 795
116 28 647 759
120 29 621 782
125 23 660 769
125 25 593 755
115 26 632 749
116 28 626 714
115 29 663 728
135 38 629 718
123 26 612 765
107 39 652 738
136 30 607 760
120 34 676 736
96 35 616 762
116 38 568 730
100 29 597 743
123 28 600 763
109 30 640 713
127 36 630 702
130 28 685 719
107 29 629 725
122 20 625 767
112 36 635 748
135 28 673 723
124 31 661 717
127 34 637 744
128 39 641 711
125 33 665 765
116 29 637 737
120 39 647 701
124 26 660 706
96 32 651 764
122 36 596 725
107 28 646 785
106 23 644 738
123 34 572 775
110 21 642 753
122 43 638 735
109 36 638 742
135 32 653 763
99 28 621 738
101 40 637 780
113 37 650 754
121 37 623 726
138 28 617 719
114 34 650 716
117 31 613 740
141 28 643 705
135 35 659 743
108 43 658 740
110 36 597 764
126 29 610 745
115 40 621 762
110 34 687 684
128 29 610 736
120 29 624 775
100 28 634 744
124 24 575 750
125 25 653 753
111 41 609 688
107 29 632 790
126 34 671 750
119 31 637 725
102 29 603 720
130 31 621 765
112 31 584 734
114 25 621 701
114 31 658 772
133 27 664 767
116 31 631 752
131 37 686 740
115 35 641 731
128 33 626 724
127 29 678 722
138 30 634 744
104 29 621 763
125 43 603 725
114 37 628 698
108 28 605 731
115 27 636 741
143 38 612 691
121 40 668 789
102 24 646 706
121 22 637 781
136 22 637 740
