"CCT/TRiC_system" "HSP70_system" "HSP90_system" "sHSP_system"
2024 3681 2662 537
2080 3641 2639 563
2242 3733 2710 533
2098 3669 2673 523
2100 3640 2640 551
2051 3813 2629 480
2112 3588 2642 533
2113 3690 2605 534
2040 3802 2609 501
1990 3795 2620 523
2074 3742 2606 519
2169 3612 2627 573
2136 3696 2649 490
2133 3716 2663 519
1975 3673 2739 589
2087 3644 2596 488
2007 3702 2684 574
2083 3659 2676 487
1993 3676 2713 567
2148 3644 2588 571
2064 3686 2645 499
2082 3715 2635 558
2078 3808 2637 488
2125 3663 2736 503
2033 3722 2656 583
2158 3717 2609 555
2127 3783 2659 531
2082 3638 2687 564
2194 3798 2686 551
2072 3602 2643 525
2043 3780 2594 505
2094 3684 2656 534
2119 3730 2584 547
2097 3671 2660 565
2037 3837 2639 499
2050 3686 2699 503
2073 3732 2669 551
2064 3595 2710 474
2053 3640 2694 501
2021 3793 2616 546
2139 3631 2650 546
2119 3611 2696 592
2147 3791 2657 488
2020 3616 2613 481
2096 3726 2677 488
2073 3682 2597 494
2117 3706 2751 512
2100 3634 2619 508
2064 3720 2632 543
1987 3766 2658 464
2185 3658 2667 522
2133 3740 2633 596
2036 3740 2653 552
2133 3719 2708 533
2103 3707 2652 554
2129 3724 2542 541
2085 3692 2684 578
2115 3597 2631 508
2050 3764 2767 511
2125 3743 2675 513
2067 3836 2596 575
2096 3758 2672 537
2060 3746 2656 636
2101 3752 2586 495
2188 3668 2581 449
2034 3759 2676 509
2045 3681 2691 493
2119 3662 2695 513
2123 3649 2694 498
2076 3711 2585 513
2028 3703 2715 561
2064 3687 2626 557
2083 3702 2705 511
2041 3682 2592 530
2081 3635 2573 539
2076 3658 2745 573
2120 3627 2629 503
2110 3660 2690 538
2061 3665 2676 529
2123 3691 2732 561
2103 3864 2656 564
2111 3605 2713 568
2023 3694 2806 493
2103 3667 2587 501
2047 3727 2655 573
2092 3749 2662 516
2015 3739 2669 553
2124 3715 2689 547
2082 3727 2740 531
2090 3686 2706 538
2086 3755 2685 579
2160 3763 2624 529
2149 3721 2609 555
2155 3585 2624 534
2081 3683 2609 535
2097 3762 2675 543
2114 3789 2711 497
2137 3720 2728 526
2081 3778 2572 521
2033 3722 2654 493
2086 3687 2615 545
2066 3753 2721 530
2089 3675 2637 453
2111 3622 2669 511
2090 3632 2570 555
2067 3695 2740 565
2034 3661 2613 522
2118 3608 2627 561
2032 3789 2646 542
2078 3675 2633 529
2034 3842 2623 476
2083 3669 2681 537
2201 3714 2624 490
2041 3693 2633 547
2067 3681 2726 512
2078 3681 2740 492
2049 3708 2660 470
2016 3838 2659 526
2119 3756 2640 538
2097 3685 2704 499
2119 3644 2649 539
2052 3714 2632 518
2131 3682 2648 537
2045 3797 2702 573
2087 3682 2611 523
2121 3699 2708 555
2029 3817 2657 538
2130 3728 2663 513
2016 3703 2660 558
2033 3759 2611 572
2162 3766 2657 502
2090 3656 2655 514
2054 3716 2646 560
2145 3713 2748 522
2130 3618 2592 525
2167 3674 2634 536
2122 3782 2618 528
2064 3757 2726 595
2080 3685 2630 514
2022 3599 2657 516
2105 3716 2669 521
2193 3671 2708 546
2083 3729 2636 527
2107 3709 2617 495
2127 3782 2646 567
2085 3643 2681 505
2079 3796 2626 548
2076 3703 2637 525
2037 3730 2679 547
2104 3668 2659 537
2096 3675 2692 502
2084 3753 2688 540
2052 3726 2542 496
2120 3703 2652 517
2026 3700 2669 566
2087 3611 2682 527
2028 3692 2646 566
2053 3733 2686 536
2014 3782 2683 548
2096 3604 2631 491
2118 3790 2692 546
2089 3676 2641 573
2028 3719 2614 535
2055 3716 2604 567
2125 3655 2667 541
2017 3634 2586 533
2155 3790 2565 518
2060 3715 2644 562
2146 3689 2640 590
2072 3744 2693 477
2055 3725 2589 562
2057 3733 2668 473
2017 3744 2691 532
2072 3794 2687 531
2066 3677 2674 595
2027 3757 2688 522
2124 3721 2562 499
2151 3550 2636 494
2037 3793 2573 526
2146 3697 2674 525
2089 3711 2624 592
2076 3646 2569 484
2149 3632 2670 587
2060 3790 2572 505
2122 3633 2685 518
2067 3787 2609 499
2124 3640 2650 508
2156 3621 2666 524
2113 3743 2623 559
2130 3746 2614 527
2072 3647 2542 496
2136 3689 2672 475
2116 3678 2635 515
2091 3769 2600 494
2137 3826 2612 532
2114 3717 2610 525
2099 3741 2698 559
2033 3642 2664 587
2099 3717 2651 499
2079 3708 2584 471
2112 3708 2605 510
2023 3755 2606 523
2020 3638 2707 554
2122 3649 2640 535
2015 3751 2658 585
2069 3724 2762 556
1991 3693 2586 534
2014 3746 2650 550
2067 3719 2566 506
1958 3736 2607 541
2073 3691 2706 507
2123 3713 2640 567
2095 3628 2693 551
2125 3753 2627 515
2099 3687 2660 540
2143 3699 2623 506
2044 3665 2683 510
2025 3649 2632 500
2099 3746 2747 481
2085 3691 2635 516
2023 3794 2615 480
2112 3700 2640 546
2122 3730 2639 511
2060 3715 2670 525
2113 3776 2617 578
2065 3608 2663 527
2160 3696 2622 527
2060 3721 2562 489
2125 3720 2640 488
2060 3706 2614 501
2122 3800 2589 589
2081 3702 2662 527
2060 3698 2650 568
2095 3792 2536 526
2115 3680 2642 530
2093 3633 2725 558
2060 3704 2655 537
2058 3727 2688 583
2090 3535 2646 552
2052 3763 2693 544
2104 3683 2566 522
2155 3676 2594 508
2034 3710 2638 531
2128 3617 2720 509
2090 3736 2622 497
2099 3541 2600 490
2068 3732 2654 528
2097 3720 2706 561
2051 3712 2719 528
2082 3682 2601 517
2074 3668 2612 532
2086 3693 2681 482
2099 3644 2737 577
2061 3761 2639 498
2004 3682 2746 560
2079 3626 2647 534
2077 3743 2704 472
2027 3671 2702 594
2067 3678 2741 518
2067 3647 2687 515
2071 3747 2651 550
2093 3706 2561 547
2056 3654 2791 537
2066 3707 2512 508
2146 3674 2689 545
2065 3746 2662 554
2157 3591 2687 494
2014 3761 2661 468
2063 3690 2686 552
2065 3617 2699 497
2003 3704 2578 518
2125 3603 2653 533
2015 3692 2716 495
2060 3646 2537 481
2138 3627 2673 561
2040 3704 2666 541
2047 3649 2680 487
2018 3661 2693 526
2078 3697 2601 486
2083 3648 2711 572
2073 3677 2625 503
2055 3665 2704 526
2112 3668 2626 505
2139 3683 2679 519
2032 3713 2667 534
2168 3636 2640 507
2171 3672 2633 520
2133 3632 2748 563
2065 3683 2704 482
2075 3586 2615 548
2077 3795 2604 497
2161 3657 2640 533
2065 3766 2680 501
2203 3774 2744 532
2020 3640 2664 565
2124 3742 2624 550
2071 3692 2703 531
2142 3804 2618 522
2019 3671 2634 510
2078 3729 2652 503
2058 3665 2579 587
2081 3758 2636 508
2164 3719 2664 501
2060 3729 2667 547
2058 3614 2586 536
2131 3675 2667 548
2055 3691 2620 538
2070 3689 2646 491
2078 3791 2749 549
1975 3659 2702 580
2051 3591 2579 566
2138 3670 2660 516
2017 3708 2642 572
2153 3675 2646 537
2073 3695 2673 500
2112 3634 2697 568
2083 3749 2716 498
2023 3705 2567 561
2024 3851 2671 555
2119 3594 2795 532
2084 3668 2621 518
1984 3630 2657 552
2065 3769 2552 528
2114 3711 2655 560
2144 3705 2645 532
2160 3700 2601 553
2069 3762 2687 533
2083 3722 2665 512
2043 3673 2721 575
2066 3682 2643 509
2096 3734 2665 474
2000 3644 2620 532
2017 3743 2641 519
2089 3736 2597 525
2065 3694 2647 520
2079 3745 2669 504
2155 3728 2559 517
2042 3765 2709 541
2048 3687 2710 510
2123 3677 2641 570
2099 3717 2648 534
2108 3615 2667 538
2081 3675 2632 486
2115 3666 2612 529
2071 3696 2691 527
2058 3609 2756 556
2100 3695 2638 481
2058 3712 2640 534
2095 3684 2631 563
2107 3815 2604 546
2081 3640 2703 506
2089 3651 2656 543
2041 3643 2675 488
2107 3743 2722 530
2077 3718 2661 521
2094 3797 2663 526
2063 3689 2616 573
2094 3836 2671 502
2088 3657 2593 539
2127 3663 2653 563
2090 3719 2634 546
2079 3638 2599 540
2192 3747 2617 537
2091 3732 2648 485
2075 3701 2623 588
2099 3612 2608 499
2043 3769 2684 580
2174 3648 2744 480
2048 3749 2616 525
2034 3750 2690 547
2007 3747 2704 528
2126 3718 2572 530
2036 3733 2761 554
2055 3696 2649 522
2063 3612 2721 564
2073 3727 2598 575
2100 3755 2645 556
2059 3808 2550 555
2055 3743 2637 535
2063 3699 2730 553
2137 3685 2610 490
2059 3793 2596 532
2103 3667 2684 528
2073 3627 2712 555
2140 3637 2614 523
2056 3759 2632 553
2111 3739 2659 521
2038 3738 2639 545
2052 3611 2668 530
2130 3835 2637 503
2085 3785 2660 531
2004 3753 2575 484
2106 3671 2631 555
2069 3855 2598 534
2145 3687 2669 539
2134 3642 2713 508
1982 3619 2565 498
2138 3554 2651 542
2143 3690 2628 510
2000 3717 2658 520
2137 3673 2715 522
2100 3720 2666 472
2039 3700 2622 567
2108 3712 2608 492
2137 3731 2661 504
2083 3651 2558 516
2113 3638 2621 518
2022 3790 2608 531
2100 3720 2582 535
2041 3800 2607 603
2069 3704 2639 526
2113 3739 2613 541
2083 3774 2606 494
2057 3729 2688 554
2034 3604 2731 501
2089 3761 2749 524
2087 3732 2620 518
2233 3704 2677 562
2096 3697 2637 523
2152 3616 2695 487
2102 3756 2669 546
2069 3679 2588 572
2080 3755 2565 512
2027 3739 2664 512
2104 3740 2604 528
2088 3662 2695 514
2112 3554 2712 492
2104 3707 2723 520
2111 3791 2715 524
2199 3713 2653 542
2036 3649 2732 491
2099 3709 2633 590
2108 3694 2649 525
2144 3675 2672 488
2149 3712 2759 521
2064 3576 2643 574
2048 3779 2674 502
2075 3744 2655 525
2095 3722 2661 520
2065 3544 2692 492
2130 3611 2715 561
1977 3766 2710 513
2089 3850 2617 512
2119 3719 2674 530
2063 3732 2641 505
2132 3701 2635 516
2050 3630 2680 520
2113 3631 2684 530
2054 3688 2577 474
2059 3657 2722 554
2035 3678 2644 498
2149 3710 2692 498
2081 3747 2702 478
2117 3635 2768 531
2157 3677 2635 525
2126 3664 2655 544
2029 3816 2702 546
2047 3639 2675 515
2142 3655 2665 459
2078 3657 2701 547
2019 3708 2669 558
2021 3656 2740 518
2068 3789 2781 498
1994 3695 2645 444
2139 3761 2648 520
2098 3730 2572 513
2050 3670 2628 573
2058 3640 2705 523
2088 3648 2750 518
2083 3771 2542 544
2107 3722 2650 535
2014 3704 2608 529
2109 3707 2658 540
1984 3731 2684 554
2127 3707 2688 515
2113 3666 2673 549
2031 3720 2604 525
2181 3594 2670 556
2166 3742 2643 563
2148 3658 2693 556
2062 3602 2724 522
2096 3771 2646 551
2072 3726 2660 532
2161 3640 2667 503
2037 3686 2554 509
2132 3618 2610 572
2063 3721 2601 563
2125 3636 2707 555
2089 3742 2661 553
2084 3701 2679 543
2095 3740 2710 500
2139 3745 2651 507
2062 3703 2562 565
2100 3726 2671 518
2077 3694 2698 510
2119 3731 2613 489
2126 3624 2660 511
2053 3767 2666 540
2031 3722 2567 572
2084 3659 2647 538
2012 3743 2621 536
2061 3673 2588 495
2000 3739 2659 533
2103 3663 2624 524
2070 3645 2606 515
2082 3716 2649 493
2116 3668 2622 542
2077 3649 2608 546
2088 3732 2659 544
2124 3705 2656 493
2084 3614 2644 559
2087 3685 2720 509
2036 3703 2664 596
2005 3663 2646 537
2117 3653 2655 568
2059 3602 2705 538
2077 3709 2590 598
2056 3744 2680 544
2130 3644 2668 475
2001 3777 2677 531
2105 3723 2646 537
2076 3605 2539 553
2131 3656 2730 529
2095 3734 2761 572
2129 3790 2649 546
2080 3762 2710 513
2093 3684 2673 549
2073 3725 2616 529
2021 3629 2672 581
2046 3736 2727 514
2149 3701 2736 542
2069 3569 2653 532
2109 3673 2719 556
2049 3718 2616 543
2049 3671 2608 517
2069 3786 2669 536
2112 3568 2665 464
2110 3705 2644 535
1981 3686 2647 540
1996 3724 2664 497
2107 3709 2667 498
2132 3770 2737 550
2083 3731 2682 544
2084 3717 2686 529
2051 3673 2613 560
2164 3723 2632 501
2128 3697 2644 496
2080 3828 2702 527
2054 3693 2692 530
2082 3657 2691 556
2074 3678 2664 572
2062 3720 2622 567
2058 3766 2653 506
2164 3562 2672 535
2120 3716 2699 524
2045 3800 2597 534
2022 3594 2615 543
2061 3698 2663 517
2109 3705 2684 453
2097 3764 2624 527
2141 3689 2708 493
2089 3740 2772 509
2119 3718 2635 519
2074 3636 2653 480
2056 3633 2650 536
2119 3663 2731 505
2166 3723 2617 508
2085 3758 2619 576
2138 3676 2663 535
2038 3764 2663 517
2082 3735 2712 523
2064 3723 2597 519
2047 3639 2598 537
2085 3628 2666 496
2082 3724 2781 574
2079 3689 2682 518
2130 3645 2598 541
2069 3764 2633 572
2087 3733 2762 505
2169 3679 2752 495
2106 3714 2681 512
2093 3674 2606 572
2076 3674 2625 487
2108 3690 2736 494
2107 3704 2730 511
2198 3672 2625 479
2147 3693 2688 545
2149 3731 2657 505
2102 3822 2564 558
2035 3755 2643 491
2120 3652 2709 527
2050 3652 2602 524
2056 3667 2627 554
2091 3627 2672 548
2048 3658 2606 502
2047 3706 2598 505
2132 3916 2651 554
2117 3690 2547 488
2088 3718 2656 521
2127 3623 2669 481
2073 3668 2684 520
2093 3750 2683 567
2031 3661 2543 520
2101 3736 2630 524
2051 3717 2629 529
2093 3640 2764 585
1980 3747 2658 529
2002 3727 2693 513
2117 3718 2729 497
2123 3684 2631 594
2177 3652 2707 529
2052 3661 2716 517
2098 3731 2612 502
2047 3636 2730 468
2157 3629 2658 547
2104 3763 2618 534
2157 3683 2576 523
2093 3657 2715 533
2107 3630 2621 570
2103 3710 2613 536
2084 3616 2604 511
2066 3695 2670 577
2030 3699 2561 479
2094 3707 2641 515
2092 3771 2704 506
2019 3728 2655 529
2166 3608 2665 512
2100 3731 2574 543
2099 3615 2674 495
2073 3720 2637 542
2048 3695 2710 536
2044 3708 2657 501
2070 3705 2606 538
2072 3658 2634 557
1982 3612 2686 514
2023 3734 2624 481
2088 3740 2653 530
2144 3644 2654 502
2090 3725 2589 522
2083 3727 2603 523
2043 3708 2682 515
2127 3687 2544 519
2121 3655 2710 522
1993 3743 2604 564
2074 3692 2711 536
2120 3730 2625 542
2025 3611 2674 480
2031 3574 2677 509
2084 3616 2605 570
2030 3622 2667 569
2123 3677 2660 494
2104 3703 2672 519
2022 3789 2628 563
2038 3683 2620 515
2139 3742 2639 488
2109 3703 2637 476
2108 3788 2672 439
