	cons	rand	q95	cat
OBSL1	88	74.308	88.0	None
OSTM1	149	118.697	135.0	ub
PANX1	105	112.794	128.0	None
PCDHB8	82	55.966	69.0	None
PCDHB2	166	216.697	238.0	None
PCDHB4	48	77.705	92.0	None
ZNF146	20	12.715	18.0	None
P4HA2	49	56.971	68.04999999999995	None
PDZD2	0	0.0	0.0	None
P2RX6	71	90.835	106.0	None
PI15	102	197.514	218.0	None
POC1A	84	93.052	108.0	None
PLK4	42	57.197	69.0	None
POC1B	110	68.029	81.04999999999995	None
PIK3CD	0	0.0	0.0	None
PIGO	316	159.699	179.0	None
PLAC8	40	45.842	57.0	None
POP1	31	26.584	35.0	None
STAT4	76	89.145	104.0	None
OXCT1	54	45.713	57.0	None
SFI1	0	0.0	0.0	None
SF3A1	26	30.461	39.0	None
SLITRK5	55	70.527	83.04999999999995	None
SNX31	59	40.084	51.0	None
SOX30	80	76.016	90.0	None
PIPOX	123	80.676	94.0	None
SPOPL	26	20.559	28.0	None
SLURP1	454	299.067	323.0	None
SOST	0	0.0	0.0	None
SMAD1	177	135.485	153.0	None
SHQ1	0	0.0	0.0	None
SMOC1	29	21.575	29.0	None
SKP2	389	238.273	262.0	ub
SHISA8	81	87.618	103.0	None
SKI	39	69.013	82.0	None
ST7L	0	0.0	0.0	None
SUPT4H1	0	0.0	0.0	None
STAG1	207	175.732	196.0	None
ST7	173	122.004	139.0	None
SERAC1	17	19.885	27.0	None
STRIP1	46	49.584	60.0	None
HRC	42	59.594	71.04999999999995	None
SSH3	49	70.456	83.0	None
SERTAD1	0	0.0	0.0	None
AARS	319	206.595	229.0	None
SPRED3	0	0.0	0.0	None
XAB2	96	79.264	93.0	None
TGM2	150	101.259	116.0	None
TFAP4	124	134.122	152.0	None
TCEAL6	123	91.311	107.0	None
TCEA1	443	235.221	259.0	None
CCT6A	76	63.019	76.0	chap
TBX4	39	27.15	36.049999999999955	None
TBX21	17	20.01	27.0	None
TENM1	0	0.0	0.0	None
TCP11	0	0.0	0.0	None
MFI2	117	66.331	80.0	None
TMEM74	0	0.0	0.0	None
TJAP1	24	28.523	37.0	None
PRRG3	88	77.401	92.0	None
TPPP	22	40.545	51.0	None
TRAF2	76	79.604	94.0	ub
TRIM67	30	52.084	64.0	None
TRIM68	210	174.768	194.0	None
TLX1	0	0.0	0.0	None
TNFSF13B	31	51.762	63.0	None
TMEM41B	13	23.024	31.0	None
TLX2	43	39.517	50.0	None
TMEM138	45	41.27	51.049999999999955	None
TRMT10B	40	31.227	41.0	None
PHF10	95	77.05	91.0	None
TMEM55B	18	27.904	37.0	None
PROSER2	151	104.806	120.0	None
PRPH2	31	40.74	51.0	None
PPARGC1A	179	129.37	148.0	None
PRRC2A	355	228.136	251.0	None
PRAM1	27	50.235	62.0	None
PRRC2B	223	172.45	192.0	None
PTDSS1	213	175.85	196.0	None
PSEN2	43	31.878	41.0	None
PTPRM	55	87.494	102.0	None
RAD50	87	117.554	134.0	None
RAB10	0	0.0	0.0	None
RFC3	23	34.789	44.0	None
RHPN2	214	221.567	244.0	None
ARHGAP9	245	194.743	217.0	None
RFX3	0	0.0	0.0	None
RPRD2	0	0.0	0.0	None
S100A6	3	8.737	14.0	None
SLC12A6	168	144.947	163.0	None
SNRPA1	36	25.572	34.0	None
SLC22A14	117	118.442	136.0	None
SLC25A39	25	24.151	32.0	None
SLC39A6	0	0.0	0.0	None
SAMD10	116	98.178	113.0	None
MRPS5	35	49.283	62.0	None
SAMD8	91	77.368	91.0	None
SEC11C	110	98.85	115.04999999999995	None
SEC31B	37	26.793	36.0	None
SEC23B	0	0.0	0.0	None
SERPINH1	58	81.058	95.0	None
SECISBP2L	114	122.466	140.0	None
SET	0	0.0	0.0	chap
SCO1	23	22.621	30.0	None
SEPSECS	175	85.741	100.0	None
SNX21	102	109.299	126.0	None
SART1	99	111.897	128.0	None
USP39	0	0.0	0.0	None
SNX7	0	0.0	0.0	None
SNAPC4	220	146.903	165.0	None
SLFN14	519	315.932	342.0	None
ST6GALNAC2	0	0.0	0.0	None
SGMS1	178	149.39	169.0	None
SLC9A3	0	0.0	0.0	None
SLC9A8	45	32.194	42.0	None
SGPL1	215	192.243	212.0	None
SGSM3	0	0.0	0.0	None
SH2D3C	50	77.369	90.0	None
SMG1	50	59.831	72.0	None
STPG2	63	88.767	104.0	None
SMC6	96	102.856	119.0	None
SLC50A1	22	8.087	13.0	None
SULT1E1	0	0.0	0.0	None
SULT1C2	43	67.377	81.0	None
STAP1	143	92.41	108.0	None
SUSD6	15	12.469	18.0	None
STT3A	0	0.0	0.0	None
STARD4	0	0.0	0.0	None
STAU1	44	49.824	61.0	None
STX7	36	39.578	50.0	None
SPPL2C	31	30.307	40.0	None
SPSB1	59	52.519	64.0	None
SRRM4	11	9.0	14.0	None
SUN1	66	40.275	51.0	None
SRR	16	22.359	30.0	None
TBC1D16	131	171.078	192.0	None
TFE3	110	123.065	140.0	None
TGIF2	497	300.681	327.0	None
THNSL1	34	35.92	45.0	None
OR51A4	65	42.082	54.0	None
OSR2	19	18.697	26.0	None
OMD	29	40.281	51.0	None
PHF20	53	39.075	49.0	None
CFP	61	56.871	69.0	None
PAK1IP1	212	176.33	197.0	None
PPT1	326	203.398	224.0	None
PRPF40A	111	75.421	89.0	None
PRAME	52	44.444	55.0	None
PSMB4	51	51.278	62.0	None
PRRC2C	0	0.0	0.0	None
PPP1R42	91	89.237	104.0	None
PTX3	32	39.324	49.0	None
PTCHD3	27	43.993	55.0	None
PSME2	26	49.764	62.0	None
PSMD6	280	121.621	139.0	None
RAD21L1	9	5.877	10.0	None
RCC1	0	0.0	0.0	None
RASA2	231	226.396	248.0	None
RASSF1	40	18.541	25.049999999999955	None
RASA3	0	0.0	0.0	None
RADIL	53	68.815	81.0	None
RAB19	0	0.0	0.0	None
RAPH1	15	6.261	11.0	None
RAB3IP	370	282.615	307.04999999999995	None
RECQL5	0	0.0	0.0	None
RAB35	11	22.711	31.0	None
RAB25	13	15.968	22.0	None
RHBDL1	73	39.004	49.0	None
RAB11FIP2	464	279.913	305.0	None
REG3A	0	0.0	0.0	None
RGN	50	33.046	42.0	None
ARHGAP18	29	33.727	43.0	None
RELL2	248	182.417	202.0	None
HNRNPAB	44	44.49	55.0	None
RNF138	93	99.262	115.0	ub
RNASE4	43	39.511	50.0	None
RNASEH1	0	0.0	0.0	None
RNF166	290	142.011	160.04999999999995	None
RNF220	392	258.603	283.0	ub
POLR2H	136	131.299	149.0	None
MRPL3	417	242.189	266.0	None
MRRF	194	241.548	265.0	None
RRAGD	36	27.834	37.0	None
RPRM	144	158.771	178.0	None
RPS12	85	88.517	104.0	None
RPSA	24	13.901	20.049999999999955	None
SLC35C2	31	30.688	40.0	None
RTN3	35	17.143	24.0	None
SLC29A3	187	165.681	187.0	None
SCG3	0	0.0	0.0	None
SCML4	191	110.738	127.0	None
SAV1	22	20.591	29.0	None
SLC6A8	72	96.556	112.0	None
SLC6A2	34	26.249	35.0	None
SEMA3F	0	0.0	0.0	None
SERINC5	41	44.799	55.0	None
SPCS2	0	0.0	0.0	None
BCAS2	21	20.009	28.0	None
SIGLEC15	71	31.754	41.0	None
SIK3	0	0.0	0.0	None
SLC10A6	0	0.0	0.0	None
SLCO5A1	53	51.544	63.0	None
SPICE1	63	58.623	71.0	None
SH3GL2	29	57.224	70.0	None
SHH	146	110.866	128.0	None
SIT1	291	159.139	178.0	None
SMPX	0	0.0	0.0	None
STOX1	62	41.23	51.0	None
PIP4K2C	459	237.049	260.0	None
POMP	29	88.441	102.0	None
PRRC1	298	104.613	121.0	None
PRAP1	35	42.25	52.0	None
PRX	13	29.121	38.0	None
PRDM12	39	31.624	41.0	None
PTCD3	22	35.748	46.0	None
CTPS2	81	88.771	104.0	None
CRYZL1	73	65.946	79.0	None
C9orf64	119	67.208	80.0	None
RBM24	151	118.873	136.0	None
RCOR2	23	26.232	34.0	None
RARG	30	15.192	22.0	None
RANBP3	31	40.263	51.0	None
RARRES2	162	125.243	141.0	None
RAP2C	374	266.273	292.0	None
RIT1	137	85.93	100.0	None
RPL19	387	267.741	292.0	None
RRAS	225	158.622	177.0	None
RRAGC	179	135.501	154.0	None
RSAD2	45	33.217	42.0	None
RPS25	94	82.461	98.0	None
RTCB	62	43.784	54.0	None
SLC29A4	0	0.0	0.0	None
SLC35B3	39	30.803	40.0	None
SLC35G1	189	84.421	98.0	None
RTL1	554	340.606	367.0	None
S1PR3	0	0.0	0.0	None
SLC35D3	0	0.0	0.0	None
SART3	192	103.126	118.04999999999995	None
SPAST	153	155.341	175.0	None
SPDYA	228	205.739	227.0	None
SNX19	21	15.29	22.0	None
SYNGR3	0	0.0	0.0	None
SNX30	22	49.498	60.0	None
SERPINB6	257	154.228	174.0	None
SPATA2	0	0.0	0.0	None
SORL1	0	0.0	0.0	None
SMU1	35	29.174	38.0	None
SMARCD3	14	27.593	36.0	None
SMYD3	0	0.0	0.0	None
SH3GL1	0	0.0	0.0	None
SPIN1	30	50.383	62.0	None
SGCE	0	0.0	0.0	None
SHARPIN	10	17.419	24.0	None
SMOC2	17	18.536	26.0	None
SH2D1B	0	0.0	0.0	None
TUT1	0	0.0	0.0	None
STPG1	9	24.612	33.0	None
SRGAP2	27	20.434	28.0	None
SUSD5	54	79.391	94.0	None
STARD3NL	10	10.481	16.0	None
STAB1	43	37.25	48.0	None
SPTSSA	85	40.83	51.0	None
SPARC	34	51.321	62.049999999999955	None
TTC39A	6	8.186	13.0	None
TFG	37	33.563	43.0	None
TEF	32	45.999	57.0	None
MPST	16	8.852	14.0	None
TEX10	24	31.688	41.0	None
PGS1	87	86.524	101.0	None
PES1	78	59.842	71.04999999999995	None
P4HA3	211	136.826	155.0	None
PLXNA1	0	0.0	0.0	None
PELI2	27	46.189	58.0	None
PRTG	52	53.191	65.0	None
PPP1R7	21	43.364	54.0	None
PIWIL4	46	51.961	63.0	None
RPS23	84	105.536	121.0	None
RPS2	88	115.965	132.0	None
SLC26A11	25	19.283	27.0	None
SLC25A53	0	0.0	0.0	None
SLC26A2	82	46.642	57.049999999999955	None
RSPH9	51	73.073	87.04999999999995	None
SLC4A7	70	72.459	86.0	None
SLC41A1	43	29.615	38.0	None
SAPCD2	112	154.622	173.0	None
SCTR	20	22.367	31.0	None
SEC22C	133	132.611	149.0	None
SLC25A24	183	134.929	152.0	None
SARAF	43	73.444	87.04999999999995	None
SDF2	307	240.463	263.0	None
SDC4	101	80.671	95.0	None
SFR1	0	0.0	0.0	None
SYNGR4	92	82.571	97.0	None
SLITRK2	28	36.298	47.0	None
SNX32	142	132.813	152.0	None
SMARCD1	0	0.0	0.0	None
SPG7	36	37.355	47.0	None
SRI	46	39.506	50.0	None
ST6GALNAC6	0	0.0	0.0	None
ST8SIA2	66	48.462	60.0	None
NABP1	139	168.112	187.0	None
SLU7	0	0.0	0.0	None
SOX11	19	12.707	19.0	None
SLBP	0	0.0	0.0	None
SMC1B	222	182.195	203.0	None
STXBP4	77	90.893	106.0	None
SH3D19	0	0.0	0.0	None
SUPT7L	94	102.356	119.0	None
STAG3	17	23.387	31.0	None
STAB2	114	70.809	84.0	None
SPRY2	43	50.296	62.0	None
STX6	46	48.361	60.0	None
STX1B	87	59.038	71.0	None
SPRYD7	119	91.707	107.0	None
SPATA21	0	0.0	0.0	None
SYCE1	0	0.0	0.0	None
TSC22D4	158	106.446	122.0	None
SYT10	18	25.534	34.0	None
TACO1	102	102.878	119.0	None
SNCB	20	15.352	22.0	None
TBCCD1	46	56.543	68.0	None
TFR2	42	48.795	60.0	None
RELA	167	159.306	178.0	None
TFB1M	96	70.759	84.0	None
TRAPPC8	131	149.85	168.0	None
TOMM7	24	20.68	28.0	None
TOR2A	0	0.0	0.0	None
TPRKB	341	208.284	230.0	None
TMED6	22	28.645	38.0	None
TRIM66	163	154.231	173.04999999999995	None
TRIM52	70	67.766	80.04999999999995	None
TOMM40	170	175.206	196.0	None
LTA	141	161.585	181.0	None
TMX3	0	0.0	0.0	None
TTI2	23	16.631	23.0	None
TLX3	14	28.735	38.0	None
TTLL3	56	65.276	79.0	None
TAS1R1	12	6.926	12.0	None
ONECUT3	25	25.305	34.0	None
OSGEP	375	243.841	265.0	None
OTOR	125	53.611	66.04999999999995	None
OR10P1	141	100.996	116.04999999999995	None
OR13J1	39	49.418	60.0	None
OR8A1	41	38.833	49.0	None
PCM1	58	24.527	33.0	None
PDE6A	11	14.931	22.0	None
PAPOLG	0	0.0	0.0	None
PALMD	34	51.919	63.0	None
DCHS1	75	40.933	51.0	None
OXA1L	48	53.906	66.0	None
PADI6	17	22.465	31.0	None
RABGGTA	10	5.485	9.0	None
PHPT1	56	63.723	76.0	None
PHACTR1	0	0.0	0.0	None
PKNOX1	21	16.22	23.0	None
PRPF38B	40	34.819	45.0	None
PLCD3	43	80.247	94.0	None
PRPF8	0	0.0	0.0	None
RNF125	0	0.0	0.0	ub
RNF114	132	99.959	115.0	None
RPN1	163	138.08	157.0	None
RNF168	69	64.026	77.0	ub
POLR1E	0	0.0	0.0	None
MRPL28	13	6.448	11.0	None
ROS1	7	8.197	13.0	None
MRPL39	154	127.808	145.0	None
RYR2	0	0.0	0.0	None
SLC35B4	11	14.694	21.0	None
SLC36A3	0	0.0	0.0	None
SLC35F2	20	42.088	52.0	None
SLC35G2	0	0.0	0.0	None
MRPS11	0	0.0	0.0	None
SLC22A16	70	64.331	77.0	None
SLC22A4	57	51.301	63.0	None
SNRPB2	20	19.3	27.0	None
DAP3	0	0.0	0.0	None
RUNDC1	53	65.37	79.0	None
SACM1L	21	19.347	27.0	None
SH3TC1	48	22.366	30.0	None
SCRG1	54	67.231	80.0	None
SALL4	22	24.648	32.0	None
SEC23A	0	0.0	0.0	None
SCRN1	37	23.991	31.0	None
SETD5	4	6.827	11.0	None
SF3B1	3	6.884	12.0	None
SPACA7	23	42.887	53.0	None
SPEG	48	44.954	56.0	None
SERINC3	35	28.541	37.0	None
SPC24	229	193.502	215.0	None
SNX12	7	11.577	17.0	None
SMARCB1	16	36.558	47.0	None
SNX33	408	293.503	318.0	None
WRAP53	181	168.677	189.0	None
SNRPA	83	61.139	73.04999999999995	None
SPATC1L	104	88.717	102.0	None
SGMS2	218	186.272	207.0	None
SOX3	35	22.481	31.0	None
ST6GAL1	6	8.166	13.0	None
SUPT16H	23	20.838	29.0	chap
SNAI1	329	216.446	239.0	None
SGCA	0	0.0	0.0	None
SIX5	32	23.645	32.0	None
OBFC1	0	0.0	0.0	None
SULT6B1	54	93.481	109.0	None
STAC2	68	97.384	113.0	None
STK32A	10	30.068	39.0	None
TMEM191C	18	22.63	30.049999999999955	None
TAS2R60	97	86.489	102.0	None
TBC1D23	345	187.987	208.04999999999995	None
TGDS	51	38.595	48.0	None
GTF3C3	28	36.271	46.0	None
TIMP1	37	54.277	66.0	None
TKT	38	23.429	31.0	None
TERT	32	27.955	38.0	None
TPX2	0	0.0	0.0	None
TIGIT	109	104.432	121.0	None
TMEM54	117	98.746	114.0	None
TARBP2	20	20.995	28.0	None
TNFRSF11B	0	0.0	0.0	None
TRMT11	0	0.0	0.0	None
FABP4	155	106.644	122.0	None
ETV5	0	0.0	0.0	None
FAM131B	81	42.098	53.0	None
FABP2	127	87.883	102.0	None
FAM135A	75	54.134	66.0	None
FAM181A	131	140.158	159.0	None
ZMPSTE24	16	28.021	37.0	None
FAM185A	48	36.933	47.0	None
FAM193A	49	65.308	78.0	None
FAM83F	45	52.191	63.0	None
EXD1	0	0.0	0.0	None
FAM83G	99	86.529	101.0	None
FAM227A	37	68.659	81.0	None
FAM89A	23	31.999	42.0	None
FAM8A1	84	102.483	119.0	None
FAM229A	188	145.643	164.0	None
ITFG3	38	59.041	72.0	None
ESPN	3	7.002	11.0	None
ERC2	0	0.0	0.0	None
ETFA	69	64.928	78.0	None
EPS8L3	10	9.859	15.0	None
EOGT	168	114.578	131.0	None
EPS15L1	64	49.985	62.0	None
ERCC3	53	55.327	68.0	None
EPSTI1	0	0.0	0.0	None
EPGN	45	39.287	49.0	None
FNBP1	10	13.008	19.0	None
GPI	33	39.113	49.0	None
G6PD	33	26.48	35.0	None
FUZ	17	25.226	33.0	None
GALK1	0	0.0	0.0	None
AIFM2	40	58.739	71.0	None
GALNT7	59	37.438	48.0	None
GALNT1	34	36.723	46.0	None
GLDC	39	50.111	61.0	None
GGT7	32	18.259	25.0	None
GABRA6	28	16.514	23.0	None
GATC	22	15.903	23.0	None
GPNMB	84	75.109	89.0	None
GPR157	30	16.554	23.0	None
GORASP1	0	0.0	0.0	None
GK2	12	6.899	11.0	None
H2AFX	12	17.001	23.049999999999955	None
HABP2	103	87.355	102.0	None
HMBS	0	0.0	0.0	None
HINT1	18	23.33	31.0	None
IFNGR2	35	35.8	46.0	None
KRT16	0	0.0	0.0	None
ITGA3	0	0.0	0.0	None
IZUMO1	165	140.221	158.0	None
IMPDH2	88	81.072	95.0	None
JAZF1	114	92.723	108.0	None
KDM4D	70	63.419	76.0	None
TMEM167A	8	6.825	11.0	None
KIF5B	13	14.631	21.0	None
KCNJ16	30	29.828	39.0	None
KCNJ8	317	126.327	144.0	None
KLHL5	0	0.0	0.0	None
KLHL6	126	108.128	126.0	ub
PRKCB	0	0.0	0.0	None
KATNB1	30	35.203	45.0	None
SLC43A1	79	85.665	100.0	None
LCE5A	13	19.158	27.0	None
LRP11	152	95.614	111.0	None
LRRC25	33	24.159	32.0	None
LRRC52	9	15.541	22.0	None
LLPH	90	95.797	111.0	None
LMOD2	15	19.259	26.0	None
LIN54	44	64.065	77.0	None
MAN2C1	59	73.562	87.0	None
MAGEH1	158	159.505	179.0	None
MEX3B	138	132.248	149.04999999999995	ub
POC5	28	31.881	41.0	None
PMP22	14	22.029	30.0	None
ZMYND8	55	28.139	37.0	None
POGK	29	34.424	44.0	None
PLP2	87	78.361	92.0	None
PPP2CB	4	13.396	19.0	None
PIBF1	0	0.0	0.0	None
PLEKHS1	7	7.593	12.0	None
PLEKHH3	38	39.478	50.0	None
PLEKHM3	19	11.669	17.0	None
PLEKHO1	357	243.814	267.04999999999995	None
PPDPF	11	32.127	42.0	None
PRR14L	163	155.407	175.0	None
PIGX	9	12.006	18.0	None
RPL3L	0	0.0	0.0	None
RPL36	66	88.737	105.0	None
RMDN1	45	35.391	45.0	None
RNF141	482	308.683	334.0	None
RNF128	196	154.281	173.0	ub
RNF123	64	61.085	74.0	ub
RNF19B	12	22.761	30.0	ub
RNF26	23	12.741	19.0	ub
RNF165	0	0.0	0.0	None
RNFT2	307	243.304	267.0	None
RNF169	0	0.0	0.0	None
MRPL22	23	35.195	45.0	None
TWISTNB	46	55.583	67.0	None
RND2	9	5.686	10.0	None
RAPGEF1	29	26.768	35.0	None
MRPL50	165	132.745	151.0	None
SLC35D1	92	104.146	120.0	None
S100A1	0	0.0	0.0	chap
RTN4R	0	0.0	0.0	None
SLC13A1	0	0.0	0.0	None
RUSC1	13	18.186	25.0	None
RPUSD3	124	100.665	117.0	None
SLC39A5	69	66.273	80.0	None
SLC39A8	121	138.259	157.04999999999995	None
SCML2	37	48.186	59.0	None
SESN2	0	0.0	0.0	None
SESN3	55	34.25	44.0	None
SELENBP1	0	0.0	0.0	None
SCAMP1	261	126.973	144.0	None
SETBP1	0	0.0	0.0	None
SEMA4F	61	53.178	65.0	None
FAP	156	101.934	117.0	None
SCN5A	0	0.0	0.0	None
SPAG8	0	0.0	0.0	None
SNX20	73	71.923	85.0	None
ST8SIA3	0	0.0	0.0	None
INPP5D	0	0.0	0.0	None
SP9	0	0.0	0.0	None
SMARCE1	31	14.331	20.0	None
INPPL1	60	54.15	66.0	None
SLAMF1	456	259.107	282.0	None
SGTB	25	41.19	52.0	chap
SH2B2	122	40.702	51.0	None
SUGT1	114	78.159	92.0	chap
SMAD9	51	22.449	30.049999999999955	None
SSR1	98	87.265	102.0	None
SYNM	59	57.599	69.0	None
TUBB1	22	33.179	43.0	None
TATDN2	291	172.926	192.0	None
SYT12	0	0.0	0.0	None
SYT8	38	15.004	22.0	None
TMEM106C	339	254.375	280.0	None
TIMM10B	54	58.971	71.0	chap
TMEM151B	485	337.849	364.0	None
TAGLN3	0	0.0	0.0	None
PPP2R3A	0	0.0	0.0	None
PDZD9	25	15.133	22.0	None
PIGG	195	124.506	143.0	None
PPP1R15A	143	96.286	111.0	None
PRICKLE1	23	28.927	38.0	None
PRDM13	223	192.795	213.0	None
QSOX1	53	67.978	80.0	None
RAD51	167	133.763	151.0	None
CAD	110	128.965	147.0	None
RAD9B	0	0.0	0.0	None
RASSF9	125	95.468	111.0	None
RASAL3	0	0.0	0.0	None
RAB23	63	43.566	54.0	None
REXO4	100	118.6	135.0	None
RPA2	272	177.438	198.0	None
RGS16	16	44.298	55.0	None
RHOV	26	40.954	52.0	None
RFX7	58	29.65	39.0	None
RIMS3	236	137.907	156.0	None
RIBC2	153	137.587	155.0	None
ARHGAP24	13	15.058	21.0	None
RNF10	133	127.587	144.0	None
RNASE6	123	96.247	112.0	None
RNF17	11	20.351	28.0	None
POLR1A	43	66.225	80.0	None
RPS15A	0	0.0	0.0	None
RTN4	60	75.728	89.0	None
SLC25A40	77	80.264	95.0	None
RUFY1	185	152.588	173.0	None
RUNDC3A	98	81.546	95.0	None
SLC39A11	54	52.364	65.0	None
SCFD2	184	139.393	159.0	None
SLC45A2	130	104.287	120.0	None
SEC22B	74	77.863	92.0	None
SCRN3	0	0.0	0.0	None
SDHAF2	0	0.0	0.0	None
SOGA3	0	0.0	0.0	None
SLFN5	107	93.624	110.0	None
SPEM1	29	19.737	27.0	None
VIPAS39	41	46.233	58.0	None
SLFNL1	67	51.722	64.0	None
SLITRK4	0	0.0	0.0	None
SLCO1C1	38	51.124	62.0	None
ST3GAL1	195	133.631	153.0	None
SOCS5	31	30.765	40.0	ub
SH3BGRL2	13	16.599	23.0	None
SMCO4	241	215.707	238.0	None
SOX13	20	2.469	5.0	None
SMIM19	180	125.07	143.0	None
SH2D4A	69	52.988	65.0	None
SHROOM3	122	92.765	109.0	None
SIN3A	0	0.0	0.0	None
MTX2	37	26.653	35.0	None
ADI1	0	0.0	0.0	None
MUC13	139	72.229	85.0	None
MSMP	18	35.914	46.0	None
NCALD	0	0.0	0.0	None
NAA50	0	0.0	0.0	None
NAT8	6	10.847	17.0	None
NETO2	0	0.0	0.0	None
NIPAL1	0	0.0	0.0	None
NLK	33	52.838	65.0	None
NFATC2	160	116.573	133.0	None
NMNAT1	37	45.253	56.0	None
NHLRC1	0	0.0	0.0	ub
NFYC	0	0.0	0.0	None
SLC17A3	81	80.318	95.0	None
GNL2	99	115.868	133.0	None
NR2C2AP	110	68.239	81.0	None
OR51E2	0	0.0	0.0	None
OTUD3	39	46.829	58.0	None
CROT	68	93.962	109.0	None
OR8D4	122	110.478	127.0	None
REXO2	14	15.845	22.0	None
OR2K2	0	0.0	0.0	None
OR2W1	0	0.0	0.0	None
OR2W3	45	59.339	71.0	None
ORC2	41	39.022	49.0	None
PCSK1N	155	118.145	136.0	None
POGLUT1	179	149.235	168.0	None
PMM2	0	0.0	0.0	None
PLCG1	77	97.57	113.0	None
SMIM1	0	0.0	0.0	None
STYXL1	0	0.0	0.0	None
SUFU	175	133.801	152.0	None
SULT4A1	16	24.556	33.0	None
STRADA	75	82.484	97.04999999999995	None
STRN4	48	90.935	105.0	None
SUOX	156	117.982	135.0	None
TREML2	1	9.374	14.0	None
TUBA4A	31	26.574	35.0	None
TBC1D2B	0	0.0	0.0	None
TCP11L1	93	69.766	83.0	None
TBCE	71	74.923	89.0	chap
TMEM185B	207	143.961	163.04999999999995	None
TAL1	26	21.984	30.0	None
TFF3	34	29.102	37.0	None
TEFM	73	42.72	53.0	None
THG1L	213	150.918	169.0	None
TBP	79	109.145	125.0	None
THAP11	198	130.964	149.0	None
TBX3	38	45.557	57.0	None
