"HECT" "RBR" "RING_Complex" "RING_Single"
1137 280 5819 6707
1023 298 5791 6694
1131 291 5843 6851
1044 287 5770 6680
1020 322 5724 6745
1076 278 5791 6768
1054 298 5729 6691
1106 294 5720 6660
1079 287 5761 6694
1081 277 5767 6699
1149 293 5884 6685
1024 273 5740 6694
1097 272 5807 6739
1058 289 5778 6731
1069 295 5856 6764
1130 296 5775 6600
1048 282 5851 6702
1126 280 5693 6748
1114 315 5841 6687
1085 309 5809 6765
1062 304 5858 6646
1069 275 5742 6795
1057 280 5731 6664
1085 297 5878 6742
1075 278 5771 6854
1090 277 5877 6753
1073 288 5825 6814
1007 271 5694 6706
1043 312 5910 6796
1044 306 5833 6789
1053 262 5815 6823
1059 297 5741 6695
1024 334 5814 6692
1082 300 5867 6628
1106 291 5864 6642
1100 312 5855 6611
1124 301 5683 6566
1065 283 5786 6584
1053 284 5733 6668
1096 293 5690 6851
1076 305 5825 6737
1100 305 5875 6868
1045 283 5771 6639
1133 292 5766 6748
1037 274 5740 6733
1085 307 5792 6751
1073 301 5801 6680
1038 296 5784 6692
1080 311 5734 6687
1098 311 5796 6667
1064 290 5773 6789
1072 288 5916 6714
1058 274 5745 6709
1071 297 5823 6662
1037 296 5820 6760
1053 297 5906 6820
1048 321 5713 6692
1125 275 5828 6797
1059 303 5854 6646
1092 307 5726 6817
1019 263 5831 6796
1089 304 5817 6776
1036 298 5816 6799
1064 305 5636 6639
1115 256 5818 6915
1139 293 5823 6722
1094 290 5709 6699
1039 320 5681 6662
1096 291 5788 6826
1038 296 5822 6789
1091 276 5906 6677
1037 285 5869 6635
1068 301 5872 6691
1060 293 5917 6727
1096 280 5860 6845
1071 284 5752 6732
1067 285 5913 6762
1038 274 5751 6900
995 266 5624 6648
1034 309 5865 6806
1128 291 5795 6772
1079 269 5846 6640
1065 327 5808 6780
1102 294 5829 6874
1101 285 5774 6693
1047 292 5850 6749
1080 297 5875 6688
1049 306 5601 6741
1032 291 5808 6671
1102 285 5897 6717
1008 307 5770 6763
1099 306 5794 6618
1083 278 5752 6700
1077 308 5837 6754
1097 267 5700 6558
1076 286 5691 6783
1044 293 5794 6671
1107 264 5647 6805
1087 288 5770 6787
1022 293 5681 6730
1072 286 5953 6664
1076 271 5802 6729
1086 309 5841 6686
1072 306 5926 6873
1057 271 5723 6893
1034 278 5748 6765
1030 303 5835 6781
1113 262 5873 6737
1091 282 5729 6616
1119 275 5689 6648
1091 308 5814 6795
1085 289 5816 6839
1055 305 5679 6688
1090 308 5880 6711
1079 280 5769 6686
1036 293 5819 6864
1080 292 5826 6734
1054 293 5726 6772
1026 289 5777 6732
1059 278 5898 6710
1100 278 5823 6659
1085 291 5761 6736
1037 275 5830 6754
1117 265 5728 6726
1055 270 5703 6790
1054 277 5764 6887
1102 280 5879 6604
1058 300 5746 6809
1090 253 5730 6846
1098 263 5832 6654
1106 296 5769 6644
1107 292 5669 6645
1057 282 5812 6726
1115 294 5802 6794
1036 287 5816 6730
1100 288 5767 6690
1070 304 5868 6668
1062 271 5790 6633
1075 317 5874 6792
1112 284 5869 6706
1046 244 5733 6872
1103 275 5930 6713
1114 275 5919 6676
1085 292 5896 6728
1044 264 5716 6570
1068 289 5773 6697
1087 299 5852 6681
1065 261 5725 6739
1026 305 5736 6638
1043 278 5791 6675
1117 294 5721 6725
1069 281 5715 6711
1095 292 5695 6632
1056 301 5780 6796
1047 258 5725 6800
1048 281 5733 6727
1116 279 5732 6858
1085 290 5756 6665
1047 281 5763 6766
1091 288 5881 6718
1030 288 5714 6692
1079 300 5781 6812
1092 280 5723 6626
1043 270 5851 6789
1110 302 5818 6810
1109 286 5768 6689
1119 301 5689 6727
1047 279 5759 6668
1068 277 5877 6597
1088 260 5813 6765
1072 302 5742 6751
1094 276 5809 6918
1046 278 5862 6724
1048 293 5886 6564
1047 305 5788 6805
1101 297 5816 6788
1041 260 5888 6794
1038 308 5729 6746
1056 269 5656 6653
1058 289 5718 6818
1074 275 5890 6773
1067 263 5657 6732
1073 288 5726 6716
1100 261 5857 6728
1044 338 5783 6809
1069 282 5852 6727
1112 302 5830 6603
1042 306 5771 6735
1072 323 5665 6869
1147 313 5763 6704
1107 288 5839 6843
1068 316 5813 6797
1069 262 5715 6769
1039 272 5774 6743
1105 275 5858 6731
1099 284 5726 6569
1094 311 5756 6769
1079 291 5749 6707
1112 294 5662 6674
1034 289 5771 6740
1059 315 5804 6905
1086 265 5872 6731
1095 282 5742 6686
1082 284 5864 6595
1083 268 5844 6793
1048 307 5684 6751
1044 279 5873 6608
1091 290 5822 6711
1060 301 5765 6650
1044 292 5826 6790
1056 278 5913 6764
1031 256 5750 6891
1097 309 5849 6795
1054 256 5901 6717
1089 298 5866 6833
1060 315 5768 6768
1051 300 5887 6830
1046 274 5749 6725
1084 308 5833 6797
1109 291 5819 6833
1116 316 5749 6687
1119 294 5891 6803
1099 274 5801 6841
1072 282 5823 6695
1045 280 5743 6730
1017 294 5867 6623
1065 340 5666 6639
1127 279 5897 6826
1084 296 5835 6663
1090 298 5830 6628
1021 313 5734 6782
1094 326 5791 6673
1091 333 5814 6658
1090 262 5967 6736
1098 323 5709 6777
1079 283 5793 6633
1089 338 5764 6821
1120 289 5795 6673
1085 290 5755 6677
1092 264 5789 6752
1124 285 5757 6838
1100 312 5739 6748
1056 292 5707 6837
1046 307 5891 6598
1092 300 5874 6619
1063 293 5837 6649
1056 306 5820 6619
1094 299 5847 6661
1162 282 5868 6730
1080 294 5900 6764
1038 296 5886 6613
1043 286 5819 6586
1080 339 5695 6815
1075 295 5931 6745
1099 267 5806 6733
1035 283 5823 6633
1110 281 5926 6651
1052 268 5805 6716
1057 273 5859 6694
1088 327 5894 6798
1069 303 5673 6805
1094 299 5853 6881
1063 296 5691 6747
1109 291 5761 6768
1109 265 5833 6769
1060 309 5797 6619
1079 280 5840 6732
1073 292 5772 6809
1031 294 5765 6701
1090 287 5843 6782
1044 279 5692 6670
1065 316 5832 6691
1105 290 5783 6653
1101 304 5845 6765
1058 309 5734 6784
1123 299 5881 6753
1107 313 5704 6697
1101 286 5668 6625
1091 286 5771 6740
1097 314 5858 6728
1074 328 5761 6636
1126 265 5738 6842
1101 279 5816 6717
997 272 5753 6702
1050 285 5676 6755
1090 316 5765 6732
1105 295 5725 6551
1044 280 5837 6661
1105 300 5871 6774
1038 284 5770 6729
1063 269 5759 6620
1081 269 5790 6760
1094 313 5828 6725
1071 298 5845 6553
1041 275 5894 6765
1077 277 5778 6716
1119 312 5834 6810
1098 292 5735 6820
1036 291 5683 6864
1088 270 5714 6659
1125 279 5734 6696
1103 284 5763 6625
1105 278 5764 6729
1101 294 5768 6668
1080 322 5802 6695
1026 262 5784 6830
1047 313 5780 6856
1040 315 5832 6744
1128 311 5847 6744
1087 284 5691 6658
1080 268 5777 6692
1066 303 5772 6716
1074 311 5820 6704
1064 310 5811 6808
1040 289 5864 6690
1095 307 5864 6738
1050 277 5680 6635
1083 278 5621 6819
1048 276 5802 6676
1067 290 5867 6718
1098 267 5856 6787
1088 301 5838 6845
1067 295 5710 6661
1107 284 5875 6750
1051 302 5720 6757
1105 274 5838 6756
1079 269 5909 6842
1089 268 5787 6710
1069 293 5758 6659
1066 308 5826 6805
1049 280 5890 6721
1052 273 5832 6751
1045 263 5748 6891
1080 259 5703 6800
1084 275 5894 6756
1078 305 5888 6796
1061 292 5785 6903
1045 297 5766 6537
1052 296 5806 6760
1056 270 5936 6809
1022 295 5705 6832
1142 297 5762 6809
1068 289 5751 6768
1062 274 5790 6690
1106 278 5843 6710
1050 301 5793 6818
1126 254 5761 6843
1053 302 5744 6682
1077 291 5721 6757
1124 284 5791 6728
1080 301 5856 6627
1059 276 5824 6711
1034 298 5785 6683
1136 274 5953 6674
1119 283 5746 6670
1124 276 5814 6620
1100 292 5848 6728
1132 310 5717 6721
995 282 5828 6764
1129 317 5783 6577
1037 296 5839 6740
1062 297 5846 6592
1057 307 5758 6725
1036 307 5829 6673
1055 290 5764 6710
1069 277 5772 6736
1152 259 5814 6963
1074 309 5742 6747
1040 290 5770 6756
1061 303 5849 6668
1051 307 5928 6755
1077 272 5826 6655
1046 274 5771 6815
1113 302 5792 6756
1081 299 5765 6856
1102 311 5793 6762
1131 290 5761 6696
1065 272 5878 6704
1093 274 5795 6835
1095 303 5796 6614
1062 311 5873 6600
1051 309 5739 6713
1113 309 5781 6815
1105 292 5805 6621
1120 299 5685 6748
1117 297 5773 6733
1076 278 5851 6688
1085 293 5819 6763
1097 291 5856 6761
1027 285 5833 6669
1029 320 5827 6770
1087 299 5790 6674
1086 270 5808 6768
1082 309 5833 6687
1081 283 5816 6685
1042 278 5697 6690
1000 299 5660 6726
1064 288 5749 6595
1101 289 5782 6585
1065 288 5691 6688
1072 298 5747 6659
1071 268 5863 6691
1084 269 5769 6649
1095 291 5751 6762
1062 284 5869 6587
1083 292 5747 6749
1041 285 5886 6604
1098 305 5841 6763
1083 307 5733 6902
1080 298 5853 6727
1061 298 5761 6683
1088 275 5850 6932
1068 284 5773 6868
1057 300 5907 6716
1054 313 5794 6637
1102 285 5789 6658
1050 312 5838 6852
1054 286 5747 6813
1086 282 5887 6623
1074 273 5809 6587
1086 280 5800 6799
1064 298 5735 6486
1011 277 5765 6935
1004 294 5819 6696
1070 279 5699 6652
1034 295 5874 6645
1033 268 5790 6732
1118 300 5885 6745
1096 312 5875 6693
1036 299 5850 6686
1044 301 5838 6714
1065 309 5702 6796
1062 285 5814 6765
1076 276 5839 6555
1099 292 5999 6759
1098 285 5743 6783
1094 339 5769 6749
1082 286 5730 6757
1103 280 5814 6929
1062 279 5725 6690
1045 284 5680 6680
1094 311 5726 6680
1067 287 5735 6686
1128 313 5813 6570
1123 285 5796 6651
1129 267 5684 6694
1120 275 5756 6604
1079 320 5801 6793
1154 266 5925 6826
1054 295 5827 6746
1081 287 5795 6738
1069 263 5876 6806
1075 298 5728 6708
1097 267 5834 6790
1106 309 5738 6723
1090 272 5755 6718
1098 314 5769 6650
1091 313 5790 6700
1068 309 5827 6794
1047 267 5872 6753
1057 282 5886 6599
1051 283 5840 6545
1043 297 5669 6674
1105 294 5874 6665
1082 295 5811 6796
1138 296 5836 6643
1119 285 5765 6708
1063 296 5878 6655
1047 288 5796 6793
1050 297 5807 6608
1036 284 5794 6719
1048 305 5805 6644
1088 288 5842 6740
1069 274 5743 6766
1063 296 5693 6765
1128 331 5850 6562
1126 285 5834 6732
1090 298 5833 6775
1083 314 5916 6794
1072 274 5757 6657
1105 295 5833 6547
1146 292 5806 6626
1094 304 5719 6715
1028 305 5921 6812
1058 264 5802 6746
1116 325 5672 6701
1064 308 5798 6672
1092 280 5609 6795
1066 282 5825 6785
1084 306 5678 6708
1054 282 5745 6721
1113 289 5945 6645
1093 293 5866 6741
1048 290 5711 6727
1100 275 5803 6715
1106 278 5786 6619
1097 305 5734 6706
1048 304 5792 6724
1046 291 5845 6775
1108 301 5823 6753
1070 266 5759 6604
1067 292 5787 6640
1074 289 5747 6689
1074 301 5824 6803
1085 285 5833 6710
1081 297 5860 6612
1036 302 5828 6831
1103 311 5897 6689
1070 289 5744 6864
1060 284 5773 6622
1054 277 5668 6721
1078 268 5712 6805
1036 276 5873 6611
1127 300 5796 6732
1129 290 5842 6587
1044 297 5870 6738
1094 254 5790 6681
1122 286 5849 6813
1084 296 5772 6654
1105 237 5763 6736
1094 294 5890 6820
1095 322 5803 6805
1132 303 5654 6708
1086 320 5734 6722
1037 327 5858 6868
1083 289 5823 6833
1098 293 5726 6665
1114 295 5741 6781
1087 286 5754 6876
1068 289 5801 6691
1111 293 5756 6686
1088 296 5783 6806
1095 276 5781 6817
1068 294 5817 6703
1122 272 5851 6585
1057 312 5691 6644
1100 305 5875 6651
1013 278 5761 6687
1125 285 5757 6731
1118 295 5849 6702
1103 300 5772 6635
1116 293 5839 6701
1120 289 5784 6867
1127 288 5772 6695
1146 299 5759 6781
1039 269 5740 6726
1130 317 5649 6573
1079 304 5862 6646
1058 290 5765 6682
1115 287 5788 6698
1106 295 5748 6648
1043 267 5784 6681
1082 307 5756 6737
1107 282 5803 6814
1085 306 5784 6806
1073 277 5691 6742
1098 293 5800 6743
1065 280 5794 6615
1111 312 5818 6730
1099 307 5981 6616
1078 272 5841 6775
1059 286 5871 6647
1078 333 5732 6725
1048 307 5682 6745
1176 312 5812 6628
1062 290 5834 6748
1088 291 5700 6670
1084 308 5765 6725
1066 303 5770 6732
1149 319 5850 6606
1055 303 5725 6794
1057 296 5842 6735
1064 308 5852 6812
1083 298 5752 6950
1085 277 5879 6735
1071 302 5810 6748
1066 278 5759 6645
1050 285 5688 6753
1071 313 5655 6682
1075 291 5839 6642
1101 284 5832 6680
1118 278 5908 6585
1098 320 5863 6640
1087 298 5786 6777
1051 254 5823 6788
1058 299 5847 6674
1069 299 5821 6601
1112 299 5842 6757
1075 288 5728 6705
1042 272 5725 6686
1062 308 5806 6678
1064 294 5747 6732
1011 305 5705 6602
1130 294 5927 6820
1073 312 5793 6862
1065 292 5825 6510
1062 336 5881 6740
1026 306 5901 6649
1071 315 5785 6720
1059 274 5791 6717
1052 285 5837 6677
1042 297 5744 6696
1100 303 5827 6801
1042 265 5839 6862
1094 292 5823 6776
1081 324 5791 6582
1080 272 5751 6792
1057 272 5687 6715
1014 296 5775 6675
1069 259 5834 6777
1107 304 5807 6676
1115 266 5821 6763
1114 307 5788 6716
1111 305 5738 6685
1057 286 5756 6814
1047 284 5769 6730
1068 275 5823 6731
1116 286 5781 6553
1088 286 5800 6737
1094 288 5820 6668
1104 285 5729 6685
1066 267 5801 6551
1051 289 5626 6790
1058 280 5876 6820
1092 299 5802 6862
1050 321 5857 6683
1089 290 5905 6675
1061 283 5848 6760
1035 304 5789 6653
1078 290 5821 6733
1060 300 5763 6778
1066 291 5814 6855
1063 285 5777 6719
1089 278 5964 6901
1082 305 5804 6632
1090 275 5667 6831
1121 282 5704 6706
1080 285 5902 6820
1089 282 5814 6704
1041 315 5761 6631
1034 286 5885 6644
1122 288 5831 6858
1075 293 5752 6815
1124 289 5789 6667
1084 294 5788 6777
1085 309 5836 6768
1090 288 5743 6755
1076 280 5739 6698
1090 297 5815 6656
1046 294 5795 6755
1080 286 5783 6699
1025 310 5760 6734
1054 287 5875 6706
1109 288 5913 6649
1062 304 5761 6818
1054 276 5691 6622
1098 295 5890 6778
1109 279 5913 6779
1063 307 5793 6680
1084 271 5813 6746
1063 290 5799 6821
1102 284 5603 6803
1104 286 5617 6914
1055 296 5851 6781
1072 306 5839 6642
1137 304 5854 6606
1039 275 5892 6816
1100 280 5843 6692
1050 317 5857 6765
1112 312 5775 6680
1086 309 5805 6741
1084 291 5799 6624
1116 298 5832 6753
1074 313 5804 6764
1109 289 5723 6732
1084 315 5664 6657
1048 306 5957 6756
1072 278 5743 6816
1063 287 5878 6719
1089 302 5839 6731
1038 295 5786 6734
1064 301 5782 6645
1067 284 5785 6698
1066 281 5857 6669
1108 307 5845 6749
1075 303 5760 6816
1074 274 5703 6772
1109 315 5789 6672
1062 302 5842 6616
1086 319 5735 6830
1093 292 5717 6808
1009 275 5994 6734
1049 305 5734 6631
1103 285 5813 6731
1054 277 5755 6730
1023 307 5701 6744
1047 291 5728 6730
1106 311 5686 6655
1074 287 5793 6734
1084 303 5767 6851
1066 283 5762 6739
1102 295 5821 6749
1089 296 5871 6677
1077 267 5795 6721
1130 287 5742 6766
1029 278 5823 6725
1106 284 5777 6682
1156 294 5830 6608
1025 258 5680 6774
1050 316 5851 6537
1070 286 5694 6769
1124 293 5811 6827
1068 317 5752 6655
1062 304 5814 6727
1066 282 5828 6723
1091 294 5856 6801
1119 298 5778 6672
1130 316 5774 6657
1075 295 5703 6716
1059 288 5605 6657
1106 274 5815 6757
1093 303 5825 6726
1071 325 5791 6688
1065 275 5773 6651
1084 295 5748 6818
1080 294 5675 6680
1015 305 5855 6570
1107 293 5754 6766
1112 261 5824 6631
1069 311 5920 6636
1098 311 5781 6715
1084 284 5855 6764
1055 270 5767 6694
1030 291 5797 6652
1096 290 5809 6818
1109 281 5782 6751
1099 291 5727 6618
1045 289 5715 6598
1101 288 5776 6710
1076 296 5862 6821
1036 312 5829 6695
1053 284 5842 6832
1091 298 5834 6622
1046 320 5739 6708
1053 307 5704 6697
1061 288 5834 6686
1071 293 5801 6740
1069 277 5682 6677
1063 280 5715 6771
1086 305 5855 6743
1104 285 5837 6675
1127 296 5790 6763
1044 296 5813 6844
1054 308 5785 6670
1040 291 5691 6676
1110 300 5743 6778
1075 298 5958 6638
1028 293 5861 6678
1104 273 5820 6869
1033 288 5758 6632
1029 255 5675 6715
1083 292 5694 6613
1112 285 5811 6736
1119 256 5840 6680
1065 291 5756 6723
1125 300 5836 6578
1090 303 5942 6836
1049 281 5783 6711
1108 314 5892 6684
1132 296 5829 6736
1079 294 5771 6793
1091 292 5747 6625
1043 311 5788 6854
1062 310 5761 6667
1086 296 5506 6749
1033 263 5875 6799
1081 329 5846 6636
1029 289 5746 6656
1065 290 5776 6711
1014 325 5757 6564
1032 290 5911 6691
1078 280 5755 6746
1024 295 5732 6683
1042 274 5767 6713
1089 287 5858 6654
1042 299 5763 6790
1068 286 5795 6648
1084 294 5724 6771
1101 293 5824 6716
1073 309 5774 6640
1094 309 5780 6681
1158 329 5843 6804
1035 296 5770 6772
1063 309 5756 6634
1078 291 5855 6930
968 302 5709 6787
1057 313 5744 6723
1059 304 5757 6716
1034 268 5834 6574
1051 318 5795 6728
1098 298 5878 6717
1091 303 5702 6836
1081 285 5696 6722
1065 309 5836 6852
1071 300 5774 6800
1051 303 5828 6600
1068 268 5725 6737
1104 307 5875 6759
1096 289 5750 6626
1001 325 5795 6946
1105 289 5734 6730
1100 301 5831 6635
1083 282 5860 6610
1085 259 5777 6653
1130 286 5826 6746
1094 307 5779 6674
1082 292 5817 6647
1084 300 5711 6517
1139 263 5840 6710
1149 314 5818 6669
1041 279 5682 6868
1050 273 5841 6741
1119 301 5993 6770
1150 311 5753 6703
