"gene_id","symbol","name","chr","start","end"
"5910","RAP1GDS1","RAP1, GTP-GDP dissociation stimulator 1","4","99182535","99365012"
"1182","CLCN3","chloride channel 3","4","170533589","170644824"
"22987","SV2C","synaptic vesicle glycoprotein 2C","5","75378997","75649764"
"54732","TMED9","transmembrane emp24 protein transport domain containing 9","5","177019159","177023125"
"534","ATP6V1G2","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2","6","31497996","31516204"
"1915","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","6","74225473","74233520"
"8417","STX7","syntaxin 7","6","132778663","132834337"
"134957","STXBP5","syntaxin binding protein 5 (tomosyn)","6","147525508","147708707"
"8871","SYNJ2","synaptojanin 2","6","158402919","158520208"
"273","AMPH","amphiphysin","7","38423305","38671167"
"5898","RALA","v-ral simian leukemia viral oncogene homolog A (ras related)","7","39663082","39747723"
"6804","STX1A","syntaxin 1A (brain)","7","73113536","73134002"
"9296","ATP6V1F","ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F","7","128502880","128505898"
"526","ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2","8","20054878","20079212"
"51606","ATP6V1H","ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H","8","54628116","54755850"
"245972","ATP6V0D2","ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2","8","87111133","87166457"
"528","ATP6V1C1","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1","8","104033248","104085285"
"1211","CLTA","clathrin, light chain A","9","36190892","36304778"
"9550","ATP6V1G1","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1","9","117350026","117360653"
"1759","DNM1","dynamin 1","9","130965658","131017527"
"6709","SPTAN1","spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)","9","131314869","131395941"
"6572","SLC18A3","solute carrier family 18 (vesicular acetylcholine), member 3","10","50818421","50820765"
"59","ACTA2","actin, alpha 2, smooth muscle, aorta","10","90694831","90751147"
"9118","INA","internexin neuronal intermediate filament protein, alpha","10","105036920","105050108"
"143187","VTI1A","vesicle transport through interaction with t-SNAREs homolog 1A (yeast)","10","114206756","114578503"
"6571","SLC18A2","solute carrier family 18 (vesicular monoamine), member 2","10","119000604","119038941"
"3939","LDHA","lactate dehydrogenase A","11","18415935","18429765"
"57084","SLC17A6","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6","11","22359667","22401044"
"10313","RTN3","reticulon 3","11","63448922","63527337"
"91683","SYT12","synaptotagmin XII","11","66790891","66818329"
"4135","MAP6","microtubule-associated protein 6","11","75297964","75379479"
"8301","PICALM","phosphatidylinositol binding clathrin assembly protein","11","85668486","85780144"
"7070","THY1","Thy-1 cell surface antigen","11","119288888","119293854"
"3312","HSPA8","heat shock 70kDa protein 8","11","122928203","122932844"
"6843","VAMP1","vesicle-associated membrane protein 1 (synaptobrevin 1)","12","6571406","6580065"
"2597","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","12","6643093","6647537"
"93661","CAPZA3","capping protein (actin filament) muscle Z-line, alpha 3","12","18891045","18892121"
"3845","KRAS","v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","12","25358182","25403854"
"5213","PFKM","phosphofructokinase, muscle","12","48501157","48539887"
"29127","RACGAP1","Rac GTPase activating protein 1","12","50382945","50419307"
"6857","SYT1","synaptotagmin I","12","79257773","79845787"
"10094","ARPC3","actin related protein 2/3 complex, subunit 3, 21kDa","12","110872695","110891802"
"22895","RPH3A","rabphilin 3A homolog (mouse)","12","113229549","113336679"
"6252","RTN1","reticulon 1","14","60062694","60337684"
"51382","ATP6V1D","ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D","14","67804806","67826966"
"3320","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","14","102547073","102606086"
"4644","MYO5A","myosin VA (heavy chain 12, myoxin)","15","52599480","52821247"
"9899","SV2B","synaptic vesicle glycoprotein 2B","15","91643515","91844539"
"9143","SYNGR3","synaptogyrin 3","16","2039946","2044276"
"527","ATP6V0C","ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c","16","2563871","2570219"
"51760","SYT17","synaptotagmin XVII","16","19179571","19279652"
"226","ALDOA","aldolase A, fructose-bisphosphate","16","30064444","30081741"
"9114","ATP6V0D1","ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1","16","67471922","67515140"
"5216","PFN1","profilin 1","17","4848947","4852309"
"6844","VAMP2","vesicle-associated membrane protein 2 (synaptobrevin 2)","17","8054134","8066864"
"535","ATP6V0A1","ATPase, H+ transporting, lysosomal V0 subunit a1","17","40610862","40674596"
"10493","VAT1","vesicle amine transport protein 1 homolog (T. californica)","17","41166622","41174459"
"4905","NSF","N-ethylmaleimide-sensitive factor","17","44668075","44834833"
"9218","VAPA","VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa","18","9913999","9960018"
"23335","WDR7","WD repeat domain 7","18","54318616","54698828"
"6813","STXBP2","syntaxin binding protein 2","19","7701991","7712758"
"2821","GPI","glucose-6-phosphate isomerase","19","34855815","34891236"
"160","AP2A1","adaptor-related protein complex 2, alpha 1 subunit","19","50270180","50310369"
"6861","SYT5","synaptotagmin V","19","55684469","55691720"
"6616","SNAP25","synaptosomal-associated protein, 25kDa","20","10199478","10288066"
"140679","SLC32A1","solute carrier family 32 (GABA vesicular transporter), member 1","20","37353105","37358015"
"8675","STX16","syntaxin 16","20","57226328","57267262"
"81027","TUBB1","tubulin, beta 1","20","57594309","57601709"
"1917","EEF1A2","eukaryotic translation elongation factor 1 alpha 2","20","62119366","62130505"
"8867","SYNJ1","synaptojanin 1","21","33997269","34100359"
"529","ATP6V1E1","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1","22","18074902","18111584"
"9342","SNAP29","synaptosomal-associated protein, 29kDa","22","21213271","21245502"
"162","AP1B1","adaptor-related protein complex 1, beta 1 subunit","22","29723669","29819168"
"8224","SYN3","synapsin III","22","32908539","33454358"
"9145","SYNGR1","synaptogyrin 1","22","39745930","39781593"
"6853","SYN1","synapsin I","X","47431303","47479252"
"6855","SYP","synaptophysin","X","49044269","49056718"
"5230","PGK1","phosphoglycerate kinase 1","X","77320685","77384793"
