human	macaque	mouse
PRUNE2	PRUNE2	Prune2
LOC400499	None	None
ITPR3	ITPR3	Itpr3
KMT2B	None	Kmt2b
CHD6	CHD6	Chd6
SRRM2	SRRM2	Srrm2
VWF	VWF	Vwf
ADGRG4	None	Gpr112
HECTD1	HECTD1	Hectd1
ZNF292	ZNF292	Zfp292
FLNA	FLNA	Flna
UTP20	UTP20	Utp20
USP24	USP24	Usp24
NSD1	NSD1	Nsd1
NOTCH1	NOTCH1	Notch1
ATR	ATR	Atr
MKI67	MKI67	Mki67
NBEAL1	NBEAL1	Nbeal1
USP9X	USP9X	Usp9x
CHD8	CHD8	Chd8
GCN1L1	None	Gcn1l1
FBN3	FBN3	None
ANKRD17	ANKRD17	Ankrd17
MTOR	MTOR	Mtor
MXRA5	MXRA5	None
FLNB	FLNB	Flnb
MAP1A	MAP1A	Map1a
ZNF462	ZNF462	Zfp462
NOTCH2	NOTCH2	Notch2
ABCA12	ABCA12	Abca12
JMJD1C	JMJD1C	Jmjd1c
LAMA5	None	Lama5
CREBBP	CREBBP	Crebbp
CRYBG3	CRYBG3	None
TLN1	TLN1	Tln1
SPTAN1	SPTAN1	Sptan1
PCNT	PCNT	Pcnt
SETD2	SETD2	Setd2
HIVEP1	HIVEP1	Hivep1
EPG5	EPG5	Epg5
STAB1	STAB1	Stab1
AKAP13	AKAP13	Akap13
CENPE	CENPE	Cenpe
NBEAL2	NBEAL2	Nbeal2
FN1	FN1	Fn1
EP300	EP300	Ep300
ATRX	ATRX	Atrx
MYO9A	MYO9A	Myo9a
UNC79	UNC79	Unc79
ANKHD1	EIF4EBP3	Ankhd1
PDZD2	PDZD2	Pdzd2
CUL9	CUL9	Cul9
DNAH12	None	Dnah12
TTC28	TTC28	Ttc28
NCOR1	NCOR1	Ncor1
ZFHX2	ZFHX2	Zfhx2
NCOR2	NCOR2	Ncor2
WDR87	WDR87	None
ZFYVE26	ZFYVE26	Zfyve26
TLN2	TLN2	Tln2
DOPEY1	None	Dopey1
CNOT1	CNOT1	Cnot1
SETX	SETX	Setx
PRPF8	PRPF8	Prpf8
USP9Y	None	None
HIVEP2	HIVEP2	Hivep2
PKD1L1	PKD1L1	Pkd1l1
TG	TG	Tg
MAST4	MAST4	Mast4
SPTBN1	SPTBN1	Sptbn1
BAHCC1	BAHCC1	Bahcc1
TACC2	TACC2	None
NAV2	NAV2	Nav2
ACACB	ACACB	Acacb
STAB2	STAB2	Stab2
CACNA1A	CACNA1A	Cacna1a
LRRK2	LRRK2	Lrrk2
TEP1	TEP1	Tep1
MAP1B	MAP1B	Map1b
ABCA2	ABCA2	Abca2
NOTCH3	NOTCH3	Notch3
POLQ	POLQ	Polq
CEP290	CEP290	Cep290
ANKRD11	ANKRD11	Ankrd11
PTPN13	PTPN13	Ptpn13
CACNA1G	CACNA1G	Cacna1g
SPTBN2	SPTBN2	Sptbn2
NAV3	NAV3	Nav3
IGSF10	IGSF10	Igsf10
HELZ2	HELZ2	Helz2
ARID1A	ARID1A	Arid1a
SPTBN4	None	Sptbn4
CACNA1B	CACNA1B	Cacna1b
OTOGL	OTOGL	Otogl
ACACA	ACACA	Acaca
PCNX	PCNX	Pcnx
TEX15	TEX15	Tex15
IGF2R	IGF2R	Igf2r
PIEZO1	PIEZO1	Piezo1
MYO18B	MYO18B	Myo18b
CEP295	None	Cep295
SPG11	SPG11	Spg11
TPR	TPR	Tpr
NBAS	NBAS	Nbas
CACNA1E	CACNA1E	Cacna1e
COL6A5	COL6A5	Col6a5
BRWD1	BRWD1	Brwd1
CEP192	None	Cep192
ARID1B	ARID1B	Arid1b
POLE	POLE	Pole
ROS1	ROS1	Ros1
KIAA0100	KIAA0100	None
MYO7A	MYO7A	Myo7a
RIF1	RIF1	Rif1
CEP250	CEP250	Cep250
MED13L	MED13L	Med13l
ABCA4	ABCA4	Abca4
ABCA1	ABCA1	Abca1
MED12	MED12	Med12
None	None	None
PTPRZ1	PTPRZ1	Ptprz1
DNAJC13	DNAJC13	Dnajc13
BDP1	BDP1	Bdp1
AKAP6	AKAP6	Akap6
SORL1	SORL1	Sorl1
SON	SON	Son
CNTRL	CNTRL	Cntrl
PLCE1	PLCE1	Plce1
FASN	FASN	Fasn
ASCC3	ASCC3	Ascc3
CAD	CAD	Cad
HIVEP3	HIVEP3	Hivep3
C2CD3	C2CD3	C2cd3
MED13	MED13	Med13
SNRNP200	SNRNP200	Snrnp200
CACNA1H	CACNA1H	Cacna1h
YLPM1	YLPM1	Ylpm1
WNK1	WNK1	Wnk1
F8	F8	F8
PRRC2B	PRRC2B	Prrc2b
CACNA1C	CACNA1C	Cacna1c
UNC13C	UNC13C	Unc13c
PTPRQ	PTPRQ	Ptprq
APC2	APC2	Apc2
DOPEY2	None	Dopey2
MUC3A	None	None
KIAA2018	None	Gm608
CACNA1D	CACNA1D	Cacna1d
CSPG4	CSPG4	Cspg4
ZNF318	ZNF318	Zfp318
SPTA1	SPTA1	Spta1
DOCK10	DOCK10	Dock10
DOCK7	DOCK7	Dock7
TECTA	TECTA	Tecta
SDK2	SDK2	Sdk2
INTS1	INTS1	Ints1
BAZ2B	BAZ2B	Baz2b
PI4KA	PI4KA	Pi4ka
TNC	TNC	Tnc
SDK1	SDK1	Sdk1
ASXL3	ASXL3	Asxl3
SHANK1	SHANK1	Shank1
DOCK11	DOCK11	Dock11
ZNF407	ZNF407	Zfp407
CIC	CIC	Cic
KNTC1	KNTC1	Kntc1
ARFGEF3	None	D10Bwg1379e
COL7A1	None	Col7a1
SEC16A	SEC16A	Sec16a
PIKFYVE	PIKFYVE	Pikfyve
MED12L	MED12L	Med12l
WNK2	WNK2	Wnk2
DIDO1	DIDO1	Dido1
CELSR1	None	Celsr1
MYO10	MYO10	Myo10
GOLGA4	GOLGA4	Golga4
DOCK9	DOCK9	Dock9
CABIN1	CABIN1	Cabin1
PRRC2A	PRRC2A	Prrc2a
DSCAML1	DSCAML1	Dscaml1
RTTN	RTTN	Rttn
SVIL	SVIL	Svil
SPTB	SPTB	Sptb
KAT6B	KAT6B	Kat6b
FAM208B	None	Fam208b
AHCTF1	AHCTF1	Ahctf1
MYOF	MYOF	Myof
GPR179	None	Gpr179
COL6A6	COL6A6	Col6a6
ATG2B	ATG2B	Atg2b
DOCK8	DOCK8	Dock8
ICE1	None	Ice1
URB1	URB1	Urb1
CACNA1I	CACNA1I	Cacna1i
GON4L	GON4L	Gon4l
SCN2A	SCN2A	Scn2a1
NCOA6	NCOA6	Ncoa6
HEATR5B	HEATR5B	Heatr5b
FREM1	FREM1	Frem1
SCN1A	SCN1A	Scn1a
DSCAM	DSCAM	Dscam
PKDREJ	PKDREJ	Pkdrej
PCNXL2	None	Pcnxl2
PLXNB1	PLXNB1	Plxnb1
SCN8A	SCN8A	Scn8a
PRR12	PRR12	Prr12
DYSF	DYSF	Dysf
POLR2A	POLR2A	Polr2a
CKAP5	CKAP5	Ckap5
HEATR1	HEATR1	Heatr1
SPAG17	SPAG17	Spag17
TET1	TET1	Tet1
ZDBF2	ZDBF2	Zdbf2
ARHGAP32	ARHGAP32	Arhgap32
TRIP12	TRIP12	Trip12
KAT6A	KAT6A	Kat6a
DOCK4	DOCK4	Dock4
MALRD1	None	Malrd1
DOCK6	DOCK6	Dock6
RALGAPA1	RALGAPA1	Ralgapa1
ANKRD12	None	Ankrd12
DOCK3	DOCK3	Dock3
CASC5	None	Casc5
SCN3A	SCN3A	Scn3a
TANC2	TANC2	Tanc2
ARMCX4	ARMCX4	Armcx4
NUP205	NUP205	Nup205
EML5	EML5	Eml5
ZFC3H1	ZFC3H1	Zfc3h1
CHD3	CHD3	Chd3
ADAMTS9	ADAMTS9	Adamts9
PCNXL3	None	Pcnxl3
MYO18A	MYO18A	Myo18a
LAMA1	None	Lama1
CIT	CIT	Cit
PTPRS	PTPRS	Ptprs
TNRC6A	TNRC6A	Tnrc6a
MYO9B	None	Myo9b
OTOF	OTOF	Otof
EML6	EML6	Eml6
MYH10	MYH10	Myh10
HELZ	HELZ	Helz
MYH9	MYH9	Myh9
MYH11	MYH11	Myh11
SMCHD1	SMCHD1	Smchd1
SCN9A	SCN9A	Scn9a
SCN5A	SCN5A	Scn5a
F5	F5	F5
CHD4	CHD4	Chd4
NOTCH4	NOTCH4	Notch4
ESPL1	ESPL1	Espl1
MYO7B	MYO7B	Myo7b
KIAA2026	KIAA2026	9930021J03Rik
LOXHD1	LOXHD1	Loxhd1
LRP4	LRP4	Lrp4
MYH14	MYH14	Myh14
MYH3	MYH1	Myh3
LRRK1	LRRK1	Lrrk1
CACNA1F	CACNA1F	Cacna1f
NUMA1	NUMA1	Numa1
PHF3	PHF3	Phf3
MPDZ	MPDZ	Mpdz
NIN	NIN	Nin
PLXNA4	PLXNA4	Plxna4
RLF	RLF	Rlf
FREM3	FREM3	Frem3
PTPRD	PTPRD	Ptprd
ZNFX1	ZNFX1	Znfx1
HEATR5A	HEATR5A	Heatr5a
AGRN	AGRN	Agrn
ANAPC1	ANAPC1	Anapc1
PLXNA2	PLXNA2	Plxna2
UBR3	UBR3	Ubr3
RP1	RP1	Rp1
CCDC88C	CCDC88C	Ccdc88c
TET2	TET2	Tet2
HCFC1	HCFC1	Hcfc1
PCM1	PCM1	Pcm1
TCF20	TCF20	Tcf20
MICAL3	MICAL3	Mical3
TRIOBP	TRIOBP	Triobp
TRPM6	TRPM6	Trpm6
PLXNA1	PLXNA1	Plxna1
GREB1	GREB1	Greb1
KIF26B	KIF26B	Kif26b
ARHGAP21	ARHGAP21	Arhgap21
CHD5	CHD5	Chd5
MYH7B	MYH7B	Myh7b
TDRD6	TDRD6	Tdrd6
ABCA7	ABCA7	Abca7
PTPRF	PTPRF	Ptprf
GREB1L	GREB1L	Greb1l
ARHGEF17	ARHGEF17	Arhgef17
GTF3C1	GTF3C1	Gtf3c1
DICER1	DICER1	Dicer1
PLXND1	PLXND1	Plxnd1
TAF1	TAF1	Taf1
SCN10A	SCN10A	Scn10a
MUC12	None	None
PTPRB	PTPRB	Ptprb
MCM3AP	MCM3AP	Mcm3ap
MYH4	MYH4	Myh4
TRPM7	TRPM7	Trpm7
CHD2	CHD2	Chd2
EVPL	EVPL	Evpl
PCDH15	PCDH15	Pcdh15
ACAN	ACAN	Acan
TP53BP1	TP53BP1	Trp53bp1
ZGRF1	None	Zgrf1
ARFGEF1	ARFGEF1	Arfgef1
KMT2E	MLL5	Kmt2e
TTC3	TTC3	Ttc3
BAZ2A	BAZ2A	Baz2a
DOCK5	DOCK5	Dock5
NAV1	NAV1	Nav1
PRR14L	PRR14L	Prr14l
TNRC6B	TNRC6B	Tnrc6b
DLG5	DLG5	Dlg5
MYH7	MYH7	Myh7
CACNA1S	CACNA1S	Cacna1s
FANCM	FANCM	Fancm
VWA8	VWA8	Vwa8
BTAF1	BTAF1	Btaf1
ZNF236	ZNF236	Zfp236
DENND4C	DENND4C	Dennd4c
TMEM131	TMEM131	Tmem131
CROCC	CROCC	Crocc
PSME4	PSME4	Psme4
ZSWIM8	ZSWIM8	Zswim8
SHROOM3	SHROOM3	Shroom3
DOCK2	DOCK2	Dock2
RALGAPA2	RALGAPA2	Ralgapa2
WDR81	WDR81	Wdr81
MYO5A	MYO5A	Myo5a
SBF2	SBF2	Sbf2
DENND4A	DENND4A	Dennd4a
ATG2A	ATG2A	Atg2a
MYH13	MYH13	Myh13
NUP214	NUP214	Nup214
MYH6	None	Myh6
MYH1	None	Myh1
MYH8	None	Myh8
ARID2	ARID2	Arid2
MYLK	MYLK	Mylk
PHIP	PHIP	Phip
MYH2	None	Myh2
KIAA0368	None	None
ZNF638	ZNF638	Zfml
RAI1	RAI1	Rai1
DOCK1	DOCK1	Dock1
SIPA1L1	SIPA1L1	Sipa1l1
BRWD3	BRWD3	Brwd3
KIF1B	KIF1B	Kif1b
MYO5B	MYO5B	Myo5b
CR1	CR1	None
SBF1	SBF1	Sbf1
LCT	LCT	Lct
ARFGEF2	ARFGEF2	Arfgef2
NYNRIN	NYNRIN	Nynrin
COL5A1	COL5A1	Col5a1
PCSK5	PCSK5	Pcsk5
ZNF106	None	Zfp106
KIAA1217	KIAA1217	Etl4
THADA	THADA	Thada
MYH15	MYH15	Myh15
CCDC88A	CCDC88A	Ccdc88a
LAMB1	LAMB1	Lamb1
CASP8AP2	CASP8AP2	Casp8ap2
ALPK2	ALPK2	Alpk2
SCN4A	SCN4A	Scn4a
NUP210	NUP210	Nup210
OBSL1	OBSL1	Obsl1
GBF1	GBF1	Gbf1
ITGB4	ITGB4	Itgb4
COL11A1	COL11A1	Col11a1
KIAA1429	None	None
CCDC108	None	Ccdc108
PLXNA3	PLXNA3	Plxna3
NALCN	NALCN	Nalcn
AK9	AK9	Ak9
MLLT4	None	Mllt4
ANK1	ANK1	Ank1
LTBP2	LTBP2	Ltbp2
PDCD11	PDCD11	Pdcd11
ADAMTS20	ADAMTS20	Adamts20
FER1L6	FER1L6	Fer1l6
TDRD15	None	None
MTCL1	None	Mtcl1
SUPT6H	SUPT6H	Supt6
LAMA4	LAMA4	Lama4
EXPH5	EXPH5	Exph5
RBBP6	RBBP6	Rbbp6
UBR2	UBR2	Ubr2
KIF13B	KIF13B	Kif13b
KIAA1549	KIAA1549	None
TANC1	TANC1	Tanc1
KDM3B	KDM3B	Kdm3b
NUP98	NUP98	Nup98
MGAM	MGAM	None
TICRR	TICRR	Ticrr
LTBP1	LTBP1	Ltbp1
ADAMTSL1	ADAMTSL1	Adamtsl1
MYO16	MYO16	Myo16
TET3	TET3	Tet3
PLXNB2	PLXNB2	Plxnb2
MDC1	None	Mdc1
COL27A1	COL27A1	Col27a1
SETD1B	SETD1B	Setd1b
SIPA1L3	SIPA1L3	Sipa1l3
COL14A1	COL14A1	Col14a1
IFT172	IFT172	Ift172
MAP2	MAP2	Map2
UBR1	UBR1	Ubr1
FRMPD3	None	Frmpd3
NUP188	NUP188	Nup188
ITSN1	ITSN1	Itsn1
TJP1	TJP1	Tjp1
TRPM3	TRPM3	Trpm3
MON2	MON2	Mon2
AKAP11	AKAP11	Akap11
ZNF646	ZNF646	Zfp646
KIF13A	KIF13A	Kif13a
NWD2	None	Nwd2
KIAA0430	KIAA0430	Marf1
CDC42BPB	CDC42BPB	Cdc42bpb
WNK3	WNK3	Wnk3
CASZ1	CASZ1	Casz1
LAMB2	LAMB2	Lamb2
CLTC	CLTC	Cltc
FOCAD	FOCAD	Focad
CDC42BPA	CDC42BPA	Cdc42bpa
CHD1	CHD1	Chd1
KIF26A	KIF26A	Kif26a
PEAK1	PEAK1	Peak1
TRIP11	TRIP11	Trip11
SI	SI	Sis
RICTOR	RICTOR	Rictor
NRXN2	NRXN2	Nrxn2
KDM5A	KDM5A	Kdm5a
BZRAP1	None	Bzrap1
FNDC1	FNDC1	Fndc1
SPEF2	SPEF2	Spef2
CAMTA1	CAMTA1	Camta1
PAPPA2	PAPPA2	Pappa2
RIMS1	RIMS1	Rims1
SHANK3	SHANK3	Shank3
KIAA1549L	KIAA1549L	D430041D05Rik
UNC13A	UNC13A	Unc13a
MYO5C	MYO5C	Myo5c
LTN1	LTN1	Ltn1
QSER1	QSER1	Qser1
BCOR	BCOR	Bcor
NRAP	NRAP	Nrap
KIF1A	KIF1A	Kif1a
SMARCA4	SMARCA4	Smarca4
KIF20B	KIF20B	Kif20b
MAST2	MAST2	Mast2
TNRC6C	TNRC6C	Tnrc6c
ITSN2	ITSN2	Itsn2
TNS1	TNS1	Tns1
ABCA3	ABCA3	Abca3
None	None	None
THSD7A	THSD7A	Thsd7a
XRN1	XRN1	Xrn1
STRC	STRC	Strc
KIDINS220	KIDINS220	Kidins220
BCORL1	BCORL1	Bcorl1
NLRC5	NLRC5	Nlrc5
LAMB4	LAMB4	None
PBRM1	PBRM1	Pbrm1
PRDM2	PRDM2	Prdm2
POLR1A	POLR1A	Polr1a
SHPRH	SHPRH	Shprh
LRP6	LRP6	Lrp6
SCN11A	SCN11A	Scn11a
PIK3C2A	PIK3C2A	Pik3c2a
CDK5RAP2	CDK5RAP2	Cdk5rap2
ADAMTSL3	ADAMTSL3	Adamtsl3
KIF21A	KIF21A	Kif21a
INADL	None	Inadl
PHLPP1	PHLPP1	Phlpp1
SIPA1L2	SIPA1L2	Sipa1l2
TIAM2	TIAM2	Tiam2
IQGAP1	IQGAP1	Iqgap1
N4BP2	N4BP2	N4bp2
LRP5	LRP5	Lrp5
PREX1	PREX1	Prex1
ALS2	ALS2	Als2
MIA3	MIA3	Mia3
COL4A5	COL4A5	Col4a5
PIK3C2B	PIK3C2B	Pik3c2b
THOC2	THOC2	Thoc2
PPL	PPL	Ppl
SETD1A	SETD1A	Setd1a
LTBP4	LTBP4	Ltbp4
ZC3H13	ZC3H13	Zc3h13
BRCA1	None	Brca1
DEPDC5	DEPDC5	Depdc5
PLCH1	PLCH1	Plch1
ARAP2	ARAP2	Arap2
EIF2AK4	EIF2AK4	Eif2ak4
COL5A3	COL5A3	Col5a3
ABCA5	ABCA5	Abca5
DDX60	DDX60	Ddx60
CUL7	CUL7	Cul7
TSC2	TSC2	Tsc2
LAMC1	LAMC1	Lamc1
FAM179B	None	Fam179b
TOP2B	TOP2B	Top2b
COL11A2	COL11A2	Col11a2
C4A	None	C4b
HECW1	HECW1	Hecw1
COL4A1	COL4A1	Col4a1
USP54	USP54	Usp54
USP32	USP32	Usp32
ATAD5	ATAD5	Atad5
CFAP44	None	Cfap44
ANKRD31	ANKRD31	Ankrd31
SETBP1	SETBP1	Setbp1
SMARCA2	SMARCA2	Smarca2
DNMT1	DNMT1	Dnmt1
KIF21B	KIF21B	Kif21b
CTTNBP2	CTTNBP2	Cttnbp2
NCKAP5	NCKAP5	Nckap5
ALK	ALK	Alk
PAPPA	PAPPA	Pappa
ADGRB2	None	Bai2
MYOM1	MYOM1	Myom1
LY75	CD302	Ly75
ARHGEF28	ARHGEF28	Arhgef28
RERE	RERE	Rere
KDM6B	KDM6B	Kdm6b
ZNF142	ZNF142	Zfp142
TIAM1	TIAM1	Tiam1
ADGRB1	None	Bai1
DIP2B	DIP2B	Dip2b
ZCCHC11	None	Zcchc11
PREX2	PREX2	Prex2
FLG2	FLG2	Flg2
TNKS1BP1	TNKS1BP1	Tnks1bp1
ROBO1	ROBO1	Robo1
AHDC1	AHDC1	Ahdc1
ZMYM4	ZMYM4	Zmym4
MED1	MED1	Med1
RREB1	RREB1	Rreb1
HECW2	HECW2	Hecw2
ADAMTS7	ADAMTS7	Adamts7
MADD	MADD	Madd
TRPM1	TRPM1	Trpm1
AIM1	None	Aim1
THSD7B	THSD7B	Thsd7b
COL4A2	COL4A2	Col4a2
SLIT2	SLIT2	Slit2
PTPN23	PTPN23	Ptpn23
INO80	INO80	Ino80
GCC2	GCC2	Gcc2
GLI3	GLI3	Gli3
DLEC1	DLEC1	None
COL24A1	COL24A1	Col24a1
C5	C5	Hc
CEP152	CEP152	Cep152
KDM5C	KDM5C	Kdm5c
MAP3K4	MAP3K4	Map3k4
RB1CC1	RB1CC1	Rb1cc1
CLTCL1	CLTCL1	None
KDM5B	KDM5B	Kdm5b
ADGRB3	BAI3	Bai3
PLXNC1	PLXNC1	Plxnc1
ABCC9	ABCC9	Abcc9
NEURL4	NEURL4	Neurl4
ADGB	ADGB	Adgb
RAPGEF6	FNIP1	Rapgef6
LRRC7	LRRC7	Lrrc7
COL4A4	COL4A4	Col4a4
COL4A6	COL4A6	Col4a6
EIF4G1	EIF4G1	Eif4g1
PARP14	PARP14	Parp14
NFAT5	NFAT5	Nfat5
IQGAP3	IQGAP3	Iqgap3
NHS	NHS	Nhs
AKAP12	AKAP12	Akap12
MAST1	MAST1	Mast1
SLIT1	SLIT1	Slit1
NRXN3	NRXN3	Nrxn3
MROH1	MROH1	Mroh1
ABCC8	ABCC8	Abcc8
CC2D2A	CC2D2A	Cc2d2a
DIP2C	DIP2C	Dip2c
RNF17	RNF17	Rnf17
TUBGCP6	TUBGCP6	Tubgcp6
SIGLEC1	SIGLEC1	Siglec1
SPHKAP	SPHKAP	Sphkap
SYNJ1	SYNJ1	Synj1
VPRBP	None	Vprbp
KIAA1671	KIAA1671	None
ABCA8	ABCA8	Abca8b
CLASP1	CLASP1	Clasp1
KIAA1551	None	None
ADAMTS12	ADAMTS12	Adamts12
MROH2A	None	Mroh2a
TOPAZ1	TOPAZ1	Topaz1
FAM208A	None	Fam208a
BAZ1A	BAZ1A	Baz1a
GRIN2B	GRIN2B	Grin2b
NACA	NACA	Naca
COL16A1	COL16A1	Col16a1
TARBP1	TARBP1	None
ARHGAP35	ARHGAP35	Arhgap35
KIF14	KIF14	Kif14
CFAP43	None	Cfap43
IQSEC2	IQSEC2	Iqsec2
EIF4G3	EIF4G3	Eif4g3
ABCA9	ABCA9	Abca9
CAMSAP1	CAMSAP1	Camsap1
MYO3A	MYO3A	Myo3a
C3	C3	C3
ARHGEF12	ARHGEF12	Arhgef12
ARHGAP5	ARHGAP5	Arhgap5
MRC2	MRC2	Mrc2
DIP2A	DIP2A	Dip2a
SLIT3	SLIT3	Slit3
NRXN1	NRXN1	Nrxn1
AGL	AGL	Agl
BCL9L	BCL9L	Bcl9l
CAMSAP2	CAMSAP2	Camsap2
UGGT1	UGGT1	Uggt1
ZNF608	ZNF608	Zfp608
ANKRD26	ANKRD26	Ankrd26
TOP2A	TOP2A	Top2a
AQR	AQR	Aqr
CDK13	CDK13	Cdk13
WDR7	WDR7	Wdr7
LMO7	LMO7	Lmo7
CCDC180	None	E230008N13Rik
ABCA6	ABCA6	Abca6
CEP170B	CEP170B	Cep170b
TTC37	TTC37	Ttc37
DISP1	DISP1	Disp1
COL22A1	COL22A1	Col22a1
GLI2	GLI2	Gli2
COL4A3	COL4A3	Col4a3
RALGAPB	RALGAPB	Ralgapb
KIAA0922	TRIM2	None
GLTSCR1	None	Gltscr1
TULP4	TULP4	Tulp4
IQGAP2	IQGAP2	Iqgap2
RAPGEF2	RAPGEF2	Rapgef2
PDE4DIP	None	Pde4dip
COL5A2	COL5A2	Col5a2
PPRC1	PPRC1	Pprc1
FRMPD1	FRMPD1	Frmpd1
TOPBP1	TOPBP1	Topbp1
FAM135A	FAM135A	Fam135a
ADGRL1	None	Lphn1
MED14	MED14	Med14
PTPRT	PTPRT	Ptprt
DNMBP	DNMBP	Dnmbp
NCOA2	NCOA2	Ncoa2
PTPRM	PTPRM	Ptprm
ABCC1	ABCC1	Abcc1
GPATCH8	GPATCH8	Gpatch8
CPS1	CPS1	Cps1
CUX1	CUX1	Cux1
UNC13B	None	Unc13b
