human	macaque	mouse
RBP2_HUMAN	A0A1D5QCJ9_MACMU	RBP2_MOUSE
LAMA2_HUMAN	F7H3A8_MACMU	LAMA2_MOUSE
PCD16_HUMAN	F7BXD9_MACMU	PCD16_MOUSE
FREM2_HUMAN	F7HN19_MACMU	FREM2_MOUSE
REV3L_HUMAN	F7FBB2_MACMU	REV3L_MOUSE
VP13A_HUMAN	A0A5F7ZZN0_MACMU	VP13A_MOUSE
CSPG2_HUMAN	A0A5F7ZS71_MACMU	CSPG2_MOUSE
DMXL2_HUMAN	F6RS08_MACMU	DMXL2_MOUSE
CHD7_HUMAN	F6PP91_MACMU	CHD7_MOUSE
FBN1_HUMAN	F6YVP3_MACMU	FBN1_MOUSE
PCD23_HUMAN	F7AVS0_MACMU	A0A0A6YW72_MOUSE
FRY_HUMAN	A0A1D5R0H6_MACMU	FRY_MOUSE
COCA1_HUMAN	F6SIX4_MACMU	COCA1_MOUSE
KALRN_HUMAN	F6VU49_MACMU	KALRN_MOUSE
GOGB1_HUMAN	F7HTR7_MACMU	E9PVZ8_MOUSE
FRYL_HUMAN	F7HHS2_MACMU	F8VQ05_MOUSE
NBEA_HUMAN	F6YF98_MACMU	NBEA_MOUSE
WDFY4_HUMAN	F7E549_MACMU	WDFY4_MOUSE
CO6A3_HUMAN	F7AG99_MACMU	E9PWQ3_MOUSE
HD_HUMAN	A0A5F8A7Q7_MACMU	HD_MOUSE
ATM_HUMAN	F6XCB4_MACMU	ATM_MOUSE
DMXL1_HUMAN	F7ACD2_MACMU	DMXL1_MOUSE
EPIPL_HUMAN	F7ACD2_MACMU	EPIPL_MOUSE
CE350_HUMAN	F6UNQ7_MACMU	CE350_MOUSE
ASH1L_HUMAN	H9FX47_MACMU	ASH1L_MOUSE
EP400_HUMAN	F7F7Z2_MACMU	EP400_MOUSE
MGAP_HUMAN	F6TX76_MACMU	MGAP_MOUSE
EYS_HUMAN	A0A1D5QH92_MACMU	MGAP_MOUSE
SPEG_HUMAN	A0A5F7ZBH6_MACMU	SPEG_MOUSE
BPTF_HUMAN	F6ZW60_MACMU	A2A654_MOUSE
CFA54_HUMAN	F7CV94_MACMU	CFA54_MOUSE
CHD9_HUMAN	F7GT65_MACMU	CHD9_MOUSE
BRCA2_HUMAN	F7ER68_MACMU	BRCA2_MOUSE
CELR2_HUMAN	F6SGH4_MACMU	CELR2_MOUSE
CPLN1_HUMAN	A0A1D5QDH5_MACMU	CPLN1_MOUSE
NF1_HUMAN	F7GZA8_MACMU	NF1_MOUSE
TRNK1_HUMAN	F7GZE9_MACMU	TRNK1_MOUSE
ZZEF1_HUMAN	A0A5F8A2X9_MACMU	ZZEF1_MOUSE
DESP_HUMAN	F6WDG6_MACMU	DESP_MOUSE
UBR5_HUMAN	F7HEG3_MACMU	UBR5_MOUSE
NIPBL_HUMAN	F6XIX1_MACMU	NIPBL_MOUSE
PRC2C_HUMAN	A0A5F8A5M9_MACMU	PRC2C_MOUSE
TNC18_HUMAN	A0A5F8ADD1_MACMU	TNC18_MOUSE
ITPR1_HUMAN	H9FU40_MACMU	ITPR1_MOUSE
CENPF_HUMAN	F6RLX8_MACMU	E9Q3P4_MOUSE
TEN4_HUMAN	A0A5F8A548_MACMU	TEN4_MOUSE
BD1L1_HUMAN	A0A1D5QXB9_MACMU	BD1L1_MOUSE
TEN1_HUMAN	A0A1D5R531_MACMU	TEN1_MOUSE
CFA47_HUMAN	F7FKH0_MACMU	A0A0G2JEB6_MOUSE
APC_HUMAN	A0A5F7ZYR8_MACMU	APC_MOUSE
TEN3_HUMAN	F7EFX8_MACMU	TEN3_MOUSE
LRBA_HUMAN	A0A5F7ZL66_MACMU	LRBA_MOUSE
MEGF8_HUMAN	A0A1D5Q5S1_MACMU	MEGF8_MOUSE
FLNC_HUMAN	F7GZ13_MACMU	FLNC_MOUSE
TEN2_HUMAN	F6VQI0_MACMU	TEN2_MOUSE
PIEZ2_HUMAN	A0A5F7ZW40_MACMU	PIEZ2_MOUSE
OTOG_HUMAN	A0A1D5REY9_MACMU	OTOG_MOUSE
ITPR2_HUMAN	H9FU41_MACMU	ITPR2_MOUSE
PRUN2_HUMAN	A0A1D5QMC1_MACMU	PRUN2_MOUSE
M0QZD8_HUMAN	F6ZWK6_MACMU	PRUN2_MOUSE
ITPR3_HUMAN	G7MRR0_MACMU	ITPR3_MOUSE
KMT2B_HUMAN	F7BTA1_MACMU	KMT2B_MOUSE
CHD6_HUMAN	F6VZQ8_MACMU	CHD6_MOUSE
SRRM2_HUMAN	A0A1D5RIX1_MACMU	SRRM2_MOUSE
VWF_HUMAN	A0A1D5R0L5_MACMU	VWF_MOUSE
AGRG4_HUMAN	A0A1D5RBK7_MACMU	AGRG4_MOUSE
HECD1_HUMAN	H9FSK0_MACMU	HECD1_MOUSE
ZN292_HUMAN	A0A5F8A952_MACMU	ZN292_MOUSE
FLNA_HUMAN	F7GCM2_MACMU	FLNA_MOUSE
UTP20_HUMAN	A0A5F7ZLP1_MACMU	UTP20_MOUSE
UBP24_HUMAN	F6TPR6_MACMU	UBP24_MOUSE
NSD1_HUMAN	F7FC96_MACMU	NSD1_MOUSE
NOTC1_HUMAN	F7HQZ9_MACMU	NOTC1_MOUSE
ATR_HUMAN	F7HT00_MACMU	ATR_MOUSE
KI67_HUMAN	A0A1D5RER2_MACMU	KI67_MOUSE
NBEL1_HUMAN	A0A5F8AQM7_MACMU	E9PYP2_MOUSE
USP9X_HUMAN	F6RFN9_MACMU	USP9X_MOUSE
CHD8_HUMAN	F7GN20_MACMU	CHD8_MOUSE
GCN1_HUMAN	F7HRP1_MACMU	GCN1_MOUSE
FBN3_HUMAN	A0A5F8A0X4_MACMU	GCN1_MOUSE
ANR17_HUMAN	A0A1D5RCH2_MACMU	ANR17_MOUSE
MTOR_HUMAN	A0A5F8A945_MACMU	MTOR_MOUSE
MXRA5_HUMAN	F7HDX3_MACMU	MTOR_MOUSE
FLNB_HUMAN	F6YS66_MACMU	FLNB_MOUSE
MAP1A_HUMAN	F6VXP6_MACMU	MAP1A_MOUSE
ZN462_HUMAN	A0A1D5RE91_MACMU	ZN462_MOUSE
NOTC2_HUMAN	H9YZ83_MACMU	NOTC2_MOUSE
ABCAC_HUMAN	F6VXH1_MACMU	ABCAC_MOUSE
JHD2C_HUMAN	F7F8A9_MACMU	JHD2C_MOUSE
LAMA5_HUMAN	F7F8A9_MACMU	LAMA5_MOUSE
CBP_HUMAN	A0A5F7ZKK8_MACMU	CBP_MOUSE
CRBG3_HUMAN	A0A5F8A3F1_MACMU	CBP_MOUSE
TLN1_HUMAN	A0A1D5REJ7_MACMU	TLN1_MOUSE
SPTN1_HUMAN	A0A5K1TXE9_MACMU	SPTN1_MOUSE
PCNT_HUMAN	F6S0J0_MACMU	PCNT_MOUSE
SETD2_HUMAN	F7HU62_MACMU	SETD2_MOUSE
ZEP1_HUMAN	A0A5F8A4L2_MACMU	ZEP1_MOUSE
EPG5_HUMAN	F7ETL8_MACMU	EPG5_MOUSE
STAB1_HUMAN	F7H956_MACMU	STAB1_MOUSE
AKP13_HUMAN	F6WPW9_MACMU	AKP13_MOUSE
CENPE_HUMAN	F7HML7_MACMU	CENPE_MOUSE
NBEL2_HUMAN	F7G188_MACMU	NBEL2_MOUSE
FINC_HUMAN	G7N8U7_MACMU	FINC_MOUSE
EP300_HUMAN	A0A5F8AFL2_MACMU	EP300_MOUSE
ATRX_HUMAN	F6ZEI1_MACMU	ATRX_MOUSE
MYO9A_HUMAN	A0A5F7ZJC1_MACMU	MYO9A_MOUSE
UNC79_HUMAN	F7EAL5_MACMU	UNC79_MOUSE
ANKH1_HUMAN	F6ZH85_MACMU	E9PUR0_MOUSE
PDZD2_HUMAN	F6S7R6_MACMU	E9Q1M1_MOUSE
CUL9_HUMAN	F7GRC8_MACMU	CUL9_MOUSE
DYH12_HUMAN	F7GRC8_MACMU	DYH12_MOUSE
TTC28_HUMAN	F6QN66_MACMU	TTC28_MOUSE
NCOR1_HUMAN	F7GX37_MACMU	NCOR1_MOUSE
ZFHX2_HUMAN	F7G0J5_MACMU	ZFHX2_MOUSE
NCOR2_HUMAN	F7GMR8_MACMU	NCOR2_MOUSE
WDR87_HUMAN	A0A1D5QPB0_MACMU	NCOR2_MOUSE
ZFY26_HUMAN	F7C1L5_MACMU	ZFY26_MOUSE
TLN2_HUMAN	A0A1D5RB16_MACMU	TLN2_MOUSE
DOP1_HUMAN	F7FDZ7_MACMU	DOP1_MOUSE
CNOT1_HUMAN	F7GNE7_MACMU	CNOT1_MOUSE
SETX_HUMAN	A0A1D5QQ75_MACMU	SETX_MOUSE
PRP8_HUMAN	A0A5F7ZWX5_MACMU	PRP8_MOUSE
USP9Y_HUMAN	A0A5F7ZN51_MACMU	PRP8_MOUSE
ZEP2_HUMAN	F7HLJ5_MACMU	ZEP2_MOUSE
PK1L1_HUMAN	F7F1Y7_MACMU	PK1L1_MOUSE
THYG_HUMAN	A0A1D5QES0_MACMU	THYG_MOUSE
MAST4_HUMAN	A0A5F7ZCH5_MACMU	MAST4_MOUSE
SPTB2_HUMAN	I0FIZ4_MACMU	SPTB2_MOUSE
BAHC1_HUMAN	F6XXA0_MACMU	BAHC1_MOUSE
TACC2_HUMAN	A0A5F7ZJ61_MACMU	BAHC1_MOUSE
NAV2_HUMAN	F7CC47_MACMU	E9Q842_MOUSE
ACACB_HUMAN	A0A5F7ZXY0_MACMU	ACACB_MOUSE
STAB2_HUMAN	F7HC30_MACMU	STAB2_MOUSE
CAC1A_HUMAN	F7ETU0_MACMU	CAC1A_MOUSE
LRRK2_HUMAN	F7C7Z0_MACMU	LRRK2_MOUSE
TEP1_HUMAN	A0A5F8ATX7_MACMU	TEP1_MOUSE
MAP1B_HUMAN	F7F0Z0_MACMU	MAP1B_MOUSE
ABCA2_HUMAN	F7EBA3_MACMU	ABCA2_MOUSE
NOTC3_HUMAN	F7GL52_MACMU	NOTC3_MOUSE
DPOLQ_HUMAN	A0A1D5QQG1_MACMU	DPOLQ_MOUSE
CE290_HUMAN	F7C792_MACMU	CE290_MOUSE
ANR11_HUMAN	A0A5F8AKX8_MACMU	ANR11_MOUSE
PTN13_HUMAN	F6S1D8_MACMU	PTN13_MOUSE
CAC1G_HUMAN	F7H6P3_MACMU	Q5SUF7_MOUSE
SPTN2_HUMAN	F6W8M4_MACMU	Q68FG2_MOUSE
NAV3_HUMAN	F7BU25_MACMU	NAV3_MOUSE
IGS10_HUMAN	F6PVH4_MACMU	IGS10_MOUSE
HELZ2_HUMAN	F6W2L0_MACMU	HELZ2_MOUSE
ARI1A_HUMAN	F7DX53_MACMU	ARI1A_MOUSE
SPTN4_HUMAN	F7DX53_MACMU	E9PX29_MOUSE
CAC1B_HUMAN	F7HMC6_MACMU	CAC1B_MOUSE
OTOGL_HUMAN	F7H681_MACMU	OTOGL_MOUSE
ACACA_HUMAN	F7HHF7_MACMU	ACACA_MOUSE
PCX1_HUMAN	A0A1D5RCI2_MACMU	PCX1_MOUSE
TEX15_HUMAN	A0A5F7ZLU1_MACMU	TEX15_MOUSE
MPRI_HUMAN	F6RDI1_MACMU	MPRI_MOUSE
PIEZ1_HUMAN	A0A5F7ZT10_MACMU	PIEZ1_MOUSE
MY18B_HUMAN	F7EH57_MACMU	E9PV66_MOUSE
CE295_HUMAN	F6ZAE9_MACMU	CE295_MOUSE
SPTCS_HUMAN	F7BSU3_MACMU	SPTCS_MOUSE
TPR_HUMAN	A0A5F7ZP61_MACMU	TPR_MOUSE
NBAS_HUMAN	F7F4R5_MACMU	E9Q411_MOUSE
CAC1E_HUMAN	F7GGV6_MACMU	CAC1E_MOUSE
CO6A5_HUMAN	A0A5F8A5L3_MACMU	CO6A5_MOUSE
BRWD1_HUMAN	F7DH06_MACMU	BRWD1_MOUSE
CE192_HUMAN	A0A5F8AQU6_MACMU	E9Q4Y4_MOUSE
ARI1B_HUMAN	F7B475_MACMU	ARI1B_MOUSE
DPOE1_HUMAN	F6QAQ1_MACMU	DPOE1_MOUSE
ROS1_HUMAN	F7FRT8_MACMU	ROS1_MOUSE
K0100_HUMAN	F7F9P5_MACMU	K0100_MOUSE
MYO7A_HUMAN	F7EA61_MACMU	MYO7A_MOUSE
RIF1_HUMAN	F6U9Z7_MACMU	RIF1_MOUSE
CP250_HUMAN	F7EDM2_MACMU	CP250_MOUSE
MD13L_HUMAN	F7FWX5_MACMU	MD13L_MOUSE
ABCA4_HUMAN	F6RLM8_MACMU	ABCA4_MOUSE
ABCA1_HUMAN	A0A5F7ZAT8_MACMU	ABCA1_MOUSE
MED12_HUMAN	A0A1D5QMI9_MACMU	MED12_MOUSE
MGAL_HUMAN	F7G370_MACMU	A0A571BDS5_MOUSE
PTPRZ_HUMAN	F7DJJ9_MACMU	PTPRZ_MOUSE
DJC13_HUMAN	A0A5F7ZCF1_MACMU	D4AFX7_MOUSE
BDP1_HUMAN	A0A5F7ZLM7_MACMU	BDP1_MOUSE
AKAP6_HUMAN	A0A1D5R155_MACMU	E9Q9K8_MOUSE
SORL_HUMAN	A0A1D5R0E5_MACMU	SORL_MOUSE
SON_HUMAN	A0A5F7ZLX6_MACMU	SON_MOUSE
CNTRL_HUMAN	F7E701_MACMU	CNTRL_MOUSE
PLCE1_HUMAN	F7GTK6_MACMU	PLCE1_MOUSE
FAS_HUMAN	F6PYE7_MACMU	FAS_MOUSE
ASCC3_HUMAN	F6X804_MACMU	ASCC3_MOUSE
PYR1_HUMAN	A0A1D5QNQ2_MACMU	PYR1_MOUSE
ZEP3_HUMAN	F7FU49_MACMU	ZEP3_MOUSE
C2CD3_HUMAN	A0A5F8A471_MACMU	C2CD3_MOUSE
MED13_HUMAN	F7HAN5_MACMU	MED13_MOUSE
U520_HUMAN	I0FQ43_MACMU	U520_MOUSE
CAC1H_HUMAN	A0A1D5R8A8_MACMU	CAC1H_MOUSE
YLPM1_HUMAN	G7MYT7_MACMU	YLPM1_MOUSE
WNK1_HUMAN	F7A652_MACMU	WNK1_MOUSE
FA8_HUMAN	F6QMC6_MACMU	FA8_MOUSE
PRC2B_HUMAN	H9ZEG6_MACMU	PRC2B_MOUSE
CAC1C_HUMAN	F7HT59_MACMU	CAC1C_MOUSE
UN13C_HUMAN	A0A1D5Q425_MACMU	UN13C_MOUSE
PTPRQ_HUMAN	A0A1D5Q479_MACMU	PTPRQ_MOUSE
APCL_HUMAN	A0A1D5R589_MACMU	APCL_MOUSE
DOP2_HUMAN	A0A5F8A469_MACMU	DOP2_MOUSE
MUC3A_HUMAN	A0A5F7ZH38_MACMU	DOP2_MOUSE
USF3_HUMAN	A0A5F8ALX0_MACMU	B2RUQ2_MOUSE
CAC1D_HUMAN	A0A1D5QQU5_MACMU	CAC1D_MOUSE
CSPG4_HUMAN	F7GL19_MACMU	CSPG4_MOUSE
ZN318_HUMAN	F7BLI4_MACMU	ZN318_MOUSE
SPTA1_HUMAN	F7HJP2_MACMU	SPTA1_MOUSE
DOC10_HUMAN	A0A5F7ZFR4_MACMU	DOC10_MOUSE
DOCK7_HUMAN	F6X070_MACMU	DOCK7_MOUSE
TECTA_HUMAN	A0A5F8AKF4_MACMU	TECTA_MOUSE
SDK2_HUMAN	A0A5F8AUQ9_MACMU	SDK2_MOUSE
INT1_HUMAN	A0A5F8A532_MACMU	INT1_MOUSE
BAZ2B_HUMAN	F7HQT4_MACMU	BAZ2B_MOUSE
PI4KA_HUMAN	F6XII4_MACMU	PI4KA_MOUSE
TENA_HUMAN	F7ECN9_MACMU	TENA_MOUSE
SDK1_HUMAN	F7BC93_MACMU	SDK1_MOUSE
ASXL3_HUMAN	F7CF96_MACMU	ASXL3_MOUSE
SHAN1_HUMAN	F7HHF0_MACMU	SHAN1_MOUSE
DOC11_HUMAN	F6WUE6_MACMU	DOC11_MOUSE
ZN407_HUMAN	F7EVW0_MACMU	G3UVV3_MOUSE
CIC_HUMAN	A0A1D5R6C9_MACMU	CIC_MOUSE
KNTC1_HUMAN	F6T147_MACMU	KNTC1_MOUSE
BIG3_HUMAN	F7GNM9_MACMU	BIG3_MOUSE
CO7A1_HUMAN	F7GNM9_MACMU	CO7A1_MOUSE
SC16A_HUMAN	F7DM84_MACMU	SC16A_MOUSE
FYV1_HUMAN	A0A5F7ZWQ3_MACMU	FYV1_MOUSE
MD12L_HUMAN	F7HBU0_MACMU	MD12L_MOUSE
WNK2_HUMAN	F6RC61_MACMU	WNK2_MOUSE
DIDO1_HUMAN	F6S3Q3_MACMU	DIDO1_MOUSE
CELR1_HUMAN	F6S3Q3_MACMU	CELR1_MOUSE
MYO10_HUMAN	F7HPL3_MACMU	MYO10_MOUSE
GOGA4_HUMAN	A0A5F8ADE7_MACMU	GOGA4_MOUSE
DOCK9_HUMAN	F6ZZI0_MACMU	DOCK9_MOUSE
CABIN_HUMAN	H9H5L1_MACMU	G3X8Q1_MOUSE
PRC2A_HUMAN	PRC2A_MACMU	PRC2A_MOUSE
DSCL1_HUMAN	A0A1D5QAK9_MACMU	DSCL1_MOUSE
RTTN_HUMAN	F7BCF5_MACMU	RTTN_MOUSE
SVIL_HUMAN	A0A5F7ZZQ0_MACMU	SVIL_MOUSE
SPTB1_HUMAN	A0A1D5Q6B2_MACMU	SPTB1_MOUSE
KAT6B_HUMAN	A0A5F8AQM8_MACMU	KAT6B_MOUSE
TASO2_HUMAN	A0A5F8AL54_MACMU	TASO2_MOUSE
ELYS_HUMAN	A0A5F7Z9E3_MACMU	ELYS_MOUSE
MYOF_HUMAN	F7EFN9_MACMU	MYOF_MOUSE
GP179_HUMAN	F7AE40_MACMU	E9PY61_MOUSE
CO6A6_HUMAN	A0A1D5RDG7_MACMU	CO6A6_MOUSE
ATG2B_HUMAN	F6PWS2_MACMU	ATG2B_MOUSE
DOCK8_HUMAN	F7BKY8_MACMU	DOCK8_MOUSE
ICE1_HUMAN	F7HI58_MACMU	ICE1_MOUSE
NPA1P_HUMAN	F6T9B6_MACMU	NPA1P_MOUSE
CAC1I_HUMAN	F6XN48_MACMU	E9Q7P2_MOUSE
GON4L_HUMAN	F6R230_MACMU	GON4L_MOUSE
SCN2A_HUMAN	F7HMW2_MACMU	SCN2A_MOUSE
NCOA6_HUMAN	A0A1D5R5J4_MACMU	NCOA6_MOUSE
HTR5B_HUMAN	A0A1D5RCY8_MACMU	HTR5B_MOUSE
FREM1_HUMAN	A0A5K1VJM0_MACMU	FREM1_MOUSE
SCN1A_HUMAN	A0A1D5QX02_MACMU	SCN1A_MOUSE
DSCAM_HUMAN	A0A5F8AP79_MACMU	DSCAM_MOUSE
PKDRE_HUMAN	A0A5F7ZDW7_MACMU	PKDRE_MOUSE
PCX2_HUMAN	F7F4U6_MACMU	PCX2_MOUSE
PLXB1_HUMAN	A0A1D5QMB8_MACMU	PLXB1_MOUSE
SCN8A_HUMAN	F7ADR2_MACMU	SCN8A_MOUSE
PRR12_HUMAN	A0A1D5R9C1_MACMU	PRR12_MOUSE
DYSF_HUMAN	A0A5F8A6P9_MACMU	DYSF_MOUSE
RPB1_HUMAN	A0A1D5RJ13_MACMU	RPB1_MOUSE
CKAP5_HUMAN	H9Z1V0_MACMU	CKAP5_MOUSE
HEAT1_HUMAN	F6UEV5_MACMU	G3X9B1_MOUSE
SPG17_HUMAN	F6WJK7_MACMU	SPG17_MOUSE
TET1_HUMAN	A0A1D5QBU8_MACMU	TET1_MOUSE
ZDBF2_HUMAN	F7CNX4_MACMU	ZDBF2_MOUSE
RHG32_HUMAN	A0A5F8AFZ7_MACMU	RHG32_MOUSE
TRIPC_HUMAN	A0A1D5Q1A6_MACMU	TRIPC_MOUSE
KAT6A_HUMAN	F7FSM6_MACMU	KAT6A_MOUSE
DOCK4_HUMAN	F7HDB4_MACMU	DOCK4_MOUSE
MALR1_HUMAN	F7GXK6_MACMU	MALR1_MOUSE
DOCK6_HUMAN	A0A5F7ZZR2_MACMU	DOCK6_MOUSE
RGPA1_HUMAN	A0A5F7ZE78_MACMU	RGPA1_MOUSE
ANR12_HUMAN	A0A5F8AN18_MACMU	G5E893_MOUSE
DOCK3_HUMAN	A0A1D5QCL8_MACMU	DOCK3_MOUSE
