uniprot	unigene	gene	index	order
A0A075B712_HUMAN	TRAJ54	TRAJ54	47169	0
METK1_HUMAN	MAT1A	MAT1A	30969	0
MLKL_HUMAN	MLKL	MLKL	33328	0
MICA2_HUMAN	MICAL2	MICAL2	31323	0
MICA1_HUMAN	MICAL1	MICAL1	31322	0
MED4_HUMAN	MED4	MED4	31129	0
MEIOB_HUMAN	MEIOB	MEIOB	31159	0
MEFV_HUMAN	MEFV	MEFV	31146	0
MOT11_HUMAN	SLC16A11	SLC16A11	43587	0
MRS2_HUMAN	MRS2	MRS2	33709	0
MS18A_HUMAN	MIS18A	MIS18A	33288	0
MSD3_HUMAN	MSANTD3	MSANTD3	33734	0
MOGT3_HUMAN	MOGAT3	MOGAT3	33413	0
MOGS_HUMAN	MOGS	MOGS	33414	0
MMP13_HUMAN	MMP13	MMP13	33358	0
OSB10_HUMAN	OSBPL10	OSBPL10	36372	0
O51A7_HUMAN	OR51A7	OR51A7	35913	0
NXPE2_HUMAN	NXPE2	NXPE2	35355	0
PADI3_HUMAN	PADI3	PADI3	36546	0
PGAM1_HUMAN	PGAM1	PGAM1	37081	0
PDRG1_HUMAN	PDRG1	PDRG1	36972	0
P2RY8_HUMAN	P2RY8	P2RY8	36490	0
PEPL_HUMAN	PPL	PPL	37908	0
PP4R2_HUMAN	PPP4R2	PPP4R2	38026	0
PEPL1_HUMAN	NPEPL1	NPEPL1	34974	0
PP6R3_HUMAN	PPP6R3	PPP6R3	38035	0
PLAC9_HUMAN	PLAC9	PLAC9	37452	0
POPD1_HUMAN	BVES	BVES	2382	0
PLAG1_HUMAN	PLAG1	PLAG1	37453	0
PPR1C_HUMAN	PPP1R1C	PPP1R1C	37958	0
PRAC2_HUMAN	PRAC2	PRAC2	38051	0
PPIL4_HUMAN	PPIL4	PPIL4	37903	0
PRCA1_HUMAN	PROCA1	PROCA1	38232	0
PUR4_HUMAN	PFAS	PFAS	37051	0
PTHR_HUMAN	PTHLH	PTHLH	38592	0
PSMD3_HUMAN	PSMD3	PSMD3	38490	0
PSG3_HUMAN	PSG3	PSG3	38409	0
RBM42_HUMAN	RBM42	RBM42	39138	0
RAB6A_HUMAN	RAB6A	RAB6A	38851	0
RBP10_HUMAN	RANBP10	RANBP10	38963	0
RAB9B_HUMAN	RAB9B	RAB9B	38865	0
RB39A_HUMAN	RAB39A	RAB39A	38823	0
RBGPR_HUMAN	RAB3GAP2	RAB3GAP2	38830	0
RA51C_HUMAN	RAD51C	RAD51C	38918	0
RAB3D_HUMAN	RAB3D	RAB3D	38828	0
RAF1_HUMAN	RAF1	RAF1	38936	0
RAB1C_HUMAN	RAB1C	RAB1C	38796	0
RIMKB_HUMAN	RIMKLB	RIMKLB	39493	0
RM42_HUMAN	MRPL42	MRPL42	33576	0
RS13_HUMAN	RPS13	RPS13	41915	0
RTKN2_HUMAN	RTKN2	RTKN2	42650	0
RXRA_HUMAN	RXRA	RXRA	42699	0
S1PR1_HUMAN	S1PR1	S1PR1	42736	0
S1PR4_HUMAN	S1PR4	S1PR4	42739	0
RTP5_HUMAN	RTP5	RTP5	42665	0
S14L1_HUMAN	SEC14L1	SEC14L1	43045	0
SAST_HUMAN	OLAH	OLAH	35448	0
S5A1_HUMAN	SRD5A1	SRD5A1	45147	0
S4A4_HUMAN	SLC4A4	SLC4A4	43916	0
SCRN2_HUMAN	SCRN2	SCRN2	42968	0
SAMP_HUMAN	APCS	APCS	1111	0
SAMTR_HUMAN	C7orf60	C7orf60	2899	1
SCN1A_HUMAN	SCN1A	SCN1A	42940	0
SERP1_HUMAN	SERP1	SERP1	43190	0
SBNO1_HUMAN	SBNO1	SBNO1	42847	0
SEM3E_HUMAN	SEMA3E	SEMA3E	43098	0
SF3A2_HUMAN	SF3A2	SF3A2	43286	0
SEPT8_HUMAN	SEPT8	SEPT8	43165	2
SEP12_HUMAN	SEPT12	SEPT12	43144	1
SPAG4_HUMAN	SPAG4	SPAG4	44912	0
SNCAP_HUMAN	SNCAIP	SNCAIP	44247	0
SNX25_HUMAN	SNX25	SNX25	44785	0
SNP47_HUMAN	SNAP47	SNAP47	44208	0
SNX5_HUMAN	SNX5	SNX5	44802	0
SNPC1_HUMAN	SNAPC1	SNAPC1	44210	0
SO1B7_HUMAN	SLCO1B7	SLCO1B7	44014	0
SOCS1_HUMAN	SOCS1	SOCS1	44813	0
SL9B1_HUMAN	SLC9B1	SLC9B1	44002	0
SIAT9_HUMAN	ST3GAL5	ST3GAL5	45334	0
SPNDC_HUMAN	C11orf84	C11orf84	2447	1
SMCA1_HUMAN	SMARCA1	SMARCA1	44080	0
SGK1_HUMAN	SGK1	SGK1	43336	0
SIX6_HUMAN	SIX6	SIX6	43521	0
SHC4_HUMAN	SHC4	SHC4	43415	0
SIR4_HUMAN	SIRT4	SIRT4	43509	0
SG1C2_HUMAN	SCGB1C2	SCGB1C2	42914	0
SMAG1_HUMAN	SAMD4A	SAMD4A	42784	0
SHD_HUMAN	SHD	SHD	43418	0
SHSA9_HUMAN	SHISA9	SHISA9	43431	0
SSR1_HUMAN	SSTR1	SSTR1	45263	0
SSR3_HUMAN	SSTR3	SSTR3	45265	0
STRAB_HUMAN	STRADB	STRADB	45482	0
TEAD2_HUMAN	TEAD2	TEAD2	46116	0
THBG_HUMAN	SERPINA7	SERPINA7	43203	0
TDRD1_HUMAN	TDRD1	TDRD1	46103	0
TEDM1_HUMAN	TEDDM1	TEDDM1	46128	0
TIGD4_HUMAN	TIGD4	TIGD4	46351	0
TENN_HUMAN	TNN	TNN	46900	0
TPRA1_HUMAN	TPRA1	TPRA1	47050	0
KCNH1_HUMAN	KCNH1	KCNH1	11919	0
KV37_HUMAN	IGKV3-7	IGKV3-7	11250	0
LRRT2_HUMAN	LRRTM2	LRRTM2	30558	0
MD2L2_HUMAN	MAD2L2	MAD2L2	30714	0
MARE3_HUMAN	MAPRE3	MAPRE3	30907	0
MILR1_HUMAN	MILR1	MILR1	31352	0
MGST3_HUMAN	MGST3	MGST3	31311	0
MGME1_HUMAN	MGME1	MGME1	31305	0
MFSD8_HUMAN	MFSD8	MFSD8	31269	0
MLX_HUMAN	MLX	MLX	33341	0
MFI_HUMAN	C11orf65	C11orf65	2439	1
O5AP2_HUMAN	OR5AP2	OR5AP2	36026	0
O2T10_HUMAN	OR2T10	OR2T10	35741	0
OBSL1_HUMAN	OBSL1	OBSL1	35385	0
OSTM1_HUMAN	OSTM1	OSTM1	36414	0
PANX1_HUMAN	PANX1	PANX1	36605	0
PCDB8_HUMAN	PCDHB8	PCDHB8	36783	0
PCDB2_HUMAN	PCDHB2	PCDHB2	36777	0
PAL4C_HUMAN	PPIAL4C	PPIAL4C	37852	0
PCDB4_HUMAN	PCDHB4	PCDHB4	36779	0
OZF_HUMAN	ZNF146	ZNF146	49588	0
P4HA2_HUMAN	P4HA2	P4HA2	36497	0
PDZD2_HUMAN	PDZD2	PDZD2	36986	0
P2RX6_HUMAN	P2RX6	P2RX6	36477	0
PI15_HUMAN	PI15	PI15	37250	0
POC1A_HUMAN	POC1A	POC1A	37652	0
PLK4_HUMAN	PLK4	PLK4	37545	0
OVCH1_HUMAN	OVCH1	OVCH1	36447	0
POC1B_HUMAN	POC1B	POC1B	37653	0
PK3CD_HUMAN	PIK3CD	PIK3CD	37316	0
PIGO_HUMAN	PIGO	PIGO	37292	0
PLAC8_HUMAN	PLAC8	PLAC8	37450	0
POP1_HUMAN	POP1	POP1	37757	0
PLET1_HUMAN	PLET1	PLET1	37531	0
STAT4_HUMAN	STAT4	STAT4	45402	0
SURF2_HUMAN	SURF2	SURF2	45617	0
RS6_HUMAN	RPS6	RPS6	42424	0
S31A5_HUMAN	SPATA31A5	SPATA31A5	44956	0
SCOT1_HUMAN	OXCT1	OXCT1	36458	0
SFPA2_HUMAN	SFTPA2	SFTPA2	43318	0
SFI1_HUMAN	SFI1	SFI1	43297	0
SF3A1_HUMAN	SF3A1	SF3A1	43285	0
SLIK5_HUMAN	SLITRK5	SLITRK5	44043	0
SPEM2_HUMAN	C17orf74	C17orf74	2563	1
SNX31_HUMAN	SNX31	SNX31	44795	0
SOX30_HUMAN	SOX30	SOX30	44872	0
SOX_HUMAN	PIPOX	PIPOX	37352	0
SPOPL_HUMAN	SPOPL	SPOPL	45082	0
SLUR1_HUMAN	SLURP1	SLURP1	44057	0
SOX12_HUMAN	SOX12	SOX12	44861	0
SFXN3_HUMAN	SFXN3	SFXN3	43325	0
SOST_HUMAN	SOST	SOST	44852	0
SG2A2_HUMAN	SCGB2A2	SCGB2A2	42920	0
SMAD1_HUMAN	SMAD1	SMAD1	44066	0
SHQ1_HUMAN	SHQ1	SHQ1	43441	0
SH2B1_HUMAN	SH2B1	SH2B1	43358	0
SMOC1_HUMAN	SMOC1	SMOC1	44169	0
SKP2_HUMAN	SKP2	SKP2	43540	0
SHSA8_HUMAN	SHISA8	SHISA8	43430	0
SKI_HUMAN	SKI	SKI	43528	0
STPG3_HUMAN	C9orf173	C9orf173	2953	1
ST7L_HUMAN	ST7L	ST7L	45355	0
SPT4H_HUMAN	SUPT4H1	SUPT4H1	45610	0
SRP54_HUMAN	SRP54	SRP54	45181	0
STAG1_HUMAN	STAG1	STAG1	45368	0
ST7_HUMAN	ST7	ST7	45350	0
SRAC1_HUMAN	SERAC1	SERAC1	43169	0
STRP1_HUMAN	STRIP1	STRIP1	45488	0
SRCH_HUMAN	HRC	HRC	10586	0
SSH3_HUMAN	SSH3	SSH3	45247	0
SRTD1_HUMAN	SERTAD1	SERTAD1	43234	0
SYAC_HUMAN	AARS	AARS	34	1
SPRE3_HUMAN	SPRED3	SPRED3	45092	0
SYF1_HUMAN	XAB2	XAB2	49123	0
TGM2_HUMAN	TGM2	TGM2	46261	0
TDRP_HUMAN	TDRP	TDRP	46114	0
TFAP4_HUMAN	TFAP4	TFAP4	46214	0
TCAL6_HUMAN	TCEAL6	TCEAL6	45995	0
TINAL_HUMAN	TINAGL1	TINAGL1	46385	0
TCEA1_HUMAN	TCEA1	TCEA1	45982	0
TET5B_HUMAN	FAM46B	FAM46B	7622	1
TCPZ_HUMAN	CCT6A	CCT6A	3576	0
THAP6_HUMAN	THAP6	THAP6	46281	0
TBX4_HUMAN	TBX4	TBX4	45968	0
TBX21_HUMAN	TBX21	TBX21	45965	0
TEN1_HUMAN	TENM1	TENM1	46144	0
TISR_HUMAN	OCLM	OCLM	35392	0
TCP11_HUMAN	TCP11	TCP11	46072	0
TRFM_HUMAN	MFI2	MFI2	31250	2
TMM74_HUMAN	TMEM74	TMEM74	46754	0
TJAP1_HUMAN	TJAP1	TJAP1	46394	0
TMG3_HUMAN	PRRG3	PRRG3	38335	0
TRBR2_HUMAN	TRB	TRB	47269	0
TPPP_HUMAN	TPPP	TPPP	47046	0
TR49C_HUMAN	TRIM49C	TRIM49C	47495	0
TRI31_HUMAN	TRIM31	TRIM31	47470	0
TRAF2_HUMAN	TRAF2	TRAF2	47107	0
TRI67_HUMAN	TRIM67	TRIM67	47552	0
TRI68_HUMAN	TRIM68	TRIM68	47553	0
TRIM2_HUMAN	TRIM2	TRIM2	47458	0
TLX1_HUMAN	TLX1	TLX1	46435	0
TN13B_HUMAN	TNFSF13B	TNFSF13B	46882	0
TM41B_HUMAN	TMEM41B	TMEM41B	46714	0
TM35B_HUMAN	ZMYM6NB	ZMYM6NB	49552	1
TM86B_HUMAN	TMEM86B	TMEM86B	46762	0
TLX2_HUMAN	TLX2	TLX2	46437	0
TM138_HUMAN	TMEM138	TMEM138	46544	0
TM148_HUMAN	LINC00311	LINC00311	13092	0
TM10B_HUMAN	TRMT10B	TRMT10B	47593	0
PHF10_HUMAN	PHF10	PHF10	37186	0
PP4P1_HUMAN	TMEM55B	TMEM55B	46733	2
PRNT_HUMAN	PRNT	PRNT	38227	0
PRG2_HUMAN	PRG2	PRG2	38133	0
PRSR2_HUMAN	PROSER2	PROSER2	38249	0
PRPH2_HUMAN	PRPH2	PRPH2	38274	0
PRGC1_HUMAN	PPARGC1A	PPARGC1A	37829	0
PRC2A_HUMAN	PRRC2A	PRRC2A	38329	0
PRAM_HUMAN	PRAM1	PRAM1	38055	0
PRC2B_HUMAN	PRRC2B	PRRC2B	38330	0
PPM1M_HUMAN	PPM1M	PPM1M	37920	0
PTSS1_HUMAN	PTDSS1	PTDSS1	38555	0
PSN2_HUMAN	PSEN2	PSEN2	38403	0
PTPRM_HUMAN	PTPRM	PTPRM	38659	0
PVR_HUMAN	PVR	PVR	38697	0
RAD50_HUMAN	RAD50	RAD50	38911	0
RECO_HUMAN	RCVRN	RCVRN	39259	0
RBM4_HUMAN	RBM4	RBM4	39136	0
RAB10_HUMAN	RAB10	RAB10	38776	0
RIC1_HUMAN	RIC1	RIC1	39478	0
RFC3_HUMAN	RFC3	RFC3	39337	0
RHPN2_HUMAN	RHPN2	RHPN2	39474	0
RHG09_HUMAN	ARHGAP9	ARHGAP9	1286	0
RFNG_HUMAN	RFNG	RFNG	39348	0
RENI_HUMAN	REN	REN	39301	0
RFX3_HUMAN	RFX3	RFX3	39372	0
RPRD2_HUMAN	RPRD2	RPRD2	41839	0
RTL4_HUMAN	ZCCHC16	ZCCHC16	49398	3
S35E2_HUMAN	SLC35E2	SLC35E2	43834	1
S10A6_HUMAN	S100A6	S100A6	42723	0
S12A6_HUMAN	SLC12A6	SLC12A6	43567	0
RU2A_HUMAN	SNRPA1	SNRPA1	44680	0
S22AE_HUMAN	SLC22A14	SLC22A14	43636	0
S22AO_HUMAN	SLC22A24	SLC22A24	43645	0
RT23_HUMAN	MRPS23	MRPS23	33664	0
S2539_HUMAN	SLC25A39	SLC25A39	43714	0
S39A6_HUMAN	SLC39A6	SLC39A6	43880	0
SAM10_HUMAN	SAMD10	SAMD10	42775	0
RT05_HUMAN	MRPS5	MRPS5	33696	0
SAMD8_HUMAN	SAMD8	SAMD8	42788	0
SC11C_HUMAN	SEC11C	SEC11C	43042	0
SC31B_HUMAN	SEC31B	SEC31B	43067	0
SCML1_HUMAN	SCML1	SCML1	42933	0
SC23B_HUMAN	SEC23B	SEC23B	43059	0
SERPH_HUMAN	SERPINH1	SERPINH1	43230	0
SBP2L_HUMAN	SECISBP2L	SECISBP2L	43077	0
SELN_HUMAN	SEPN1	SEPN1	43136	2
SCAM2_HUMAN	SCAMP2	SCAMP2	42860	0
SETLP_HUMAN	SETSIP	SETSIP	43279	0
SET_HUMAN	SET	SET	43244	0
SCO1_HUMAN	SCO1	SCO1	42957	0
SPCS_HUMAN	SEPSECS	SEPSECS	43138	0
SNX21_HUMAN	SNX21	SNX21	44782	0
SNUT1_HUMAN	SART1	SART1	42822	0
SNUT2_HUMAN	USP39	USP39	48522	0
SNX7_HUMAN	SNX7	SNX7	44807	0
SMRD2_HUMAN	SMARCD2	SMARCD2	44091	0
SNPC4_HUMAN	SNAPC4	SNAPC4	44213	0
SLN14_HUMAN	SLFN14	SLFN14	44029	0
SIA7B_HUMAN	ST6GALNAC2	ST6GALNAC2	45343	0
SMS1_HUMAN	SGMS1	SGMS1	43341	0
SP140_HUMAN	SP140	SP140	44885	0
SL9A3_HUMAN	SLC9A3	SLC9A3	43988	0
SL9A8_HUMAN	SLC9A8	SLC9A8	43999	0
SGPL1_HUMAN	SGPL1	SGPL1	43349	0
SG11B_HUMAN	SPAG11B	SPAG11B	44909	0
SHOX_HUMAN	SHOX	SHOX	43437	0
SGSM3_HUMAN	SGSM3	SGSM3	43355	0
SHFL_HUMAN	C19orf66	C19orf66	2604	1
SH2D3_HUMAN	SH2D3C	SH2D3C	43365	0
SMG1_HUMAN	SMG1	SMG1	44122	0
SIM22_HUMAN	SMIM22	SMIM22	44152	0
STPG2_HUMAN	STPG2	STPG2	45476	0
SMC6_HUMAN	SMC6	SMC6	44108	0
SWET1_HUMAN	SLC50A1	SLC50A1	43921	0
ST1E1_HUMAN	SULT1E1	SULT1E1	45571	0
ST1C2_HUMAN	SULT1C2	SULT1C2	45566	0
STAP1_HUMAN	STAP1	STAP1	45382	0
STALP_HUMAN	STAMBPL1	STAMBPL1	45381	0
SUSD6_HUMAN	SUSD6	SUSD6	45628	0
STT3A_HUMAN	STT3A	STT3A	45495	0
STAR4_HUMAN	STARD4	STARD4	45390	0
STAU1_HUMAN	STAU1	STAU1	45407	0
STX7_HUMAN	STX7	STX7	45517	0
STMN1_HUMAN	STMN1	STMN1	45459	0
SPP2C_HUMAN	SPPL2C	SPPL2C	45087	0
SPSB1_HUMAN	SPSB1	SPSB1	45114	0
SRRM4_HUMAN	SRRM4	SRRM4	45209	0
SUN1_HUMAN	SUN1	SUN1	45599	0
SRR_HUMAN	SRR	SRR	45200	0
TAL2_HUMAN	TAL2	TAL2	45802	0
TBC16_HUMAN	TBC1D16	TBC1D16	45891	0
TFE3_HUMAN	TFE3	TFE3	46223	0
TGIF2_HUMAN	TGIF2	TGIF2	46255	0
THNS1_HUMAN	THNSL1	THNSL1	46303	0
O4C45_HUMAN	OR4C45	OR4C45	35820	0
O51A4_HUMAN	OR51A4	OR51A4	35910	0
O5AK2_HUMAN	OR5AK2	OR5AK2	36016	0
OSR2_HUMAN	OSR2	OSR2	36401	0
OMD_HUMAN	OMD	OMD	35463	0
PHF20_HUMAN	PHF20	PHF20	37194	0
PROP_HUMAN	CFP	CFP	4098	0
PK1IP_HUMAN	PAK1IP1	PAK1IP1	36579	0
PPT1_HUMAN	PPT1	PPT1	38037	0
PR40A_HUMAN	PRPF40A	PRPF40A	38268	0
PRAME_HUMAN	PRAME	PRAME	38056	0
PSB4_HUMAN	PSMB4	PSMB4	38447	0
PPM1E_HUMAN	PPM1E	PPM1E	37913	0
PRC2C_HUMAN	PRRC2C	PRRC2C	38331	0
PPR42_HUMAN	PPP1R42	PPP1R42	37989	0
PRDM7_HUMAN	PRDM7	PRDM7	38099	0
PTX3_HUMAN	PTX3	PTX3	38681	0
PTHD3_HUMAN	PTCHD3	PTCHD3	38547	0
PSME2_HUMAN	PSME2	PSME2	38503	0
PSMD6_HUMAN	PSMD6	PSMD6	38495	0
RCN3_HUMAN	RCN3	RCN3	39254	0
RD21L_HUMAN	RAD21L1	RAD21L1	38905	0
RAVR1_HUMAN	RAVER1	RAVER1	39062	0
RCC1_HUMAN	RCC1	RCC1	39236	0
RASA2_HUMAN	RASA2	RASA2	39021	0
RASF1_HUMAN	RASSF1	RASSF1	39050	0
RASA3_HUMAN	RASA3	RASA3	39022	0
RADIL_HUMAN	RADIL	RADIL	38927	0
RAB19_HUMAN	RAB19	RAB19	38793	0
RAPH1_HUMAN	RAPH1	RAPH1	39004	0
RAB28_HUMAN	RAB28	RAB28	38806	0
RAB3I_HUMAN	RAB3IP	RAB3IP	38832	0
RECQ5_HUMAN	RECQL5	RECQL5	39279	0
RAB35_HUMAN	RAB35	RAB35	38819	0
RAB25_HUMAN	RAB25	RAB25	38802	0
RHBL1_HUMAN	RHBDL1	RHBDL1	39434	0
RFIP2_HUMAN	RAB11FIP2	RAB11FIP2	38783	0
REG3A_HUMAN	REG3A	REG3A	39289	0
RGN_HUMAN	RGN	RGN	39391	0
RHG18_HUMAN	ARHGAP18	ARHGAP18	1249	0
RELL2_HUMAN	RELL2	RELL2	39296	0
RL39L_HUMAN	RPL39L	RPL39L	41472	0
ROAA_HUMAN	HNRNPAB	HNRNPAB	10432	0
RN138_HUMAN	RNF138	RNF138	40078	0
RNAS4_HUMAN	RNASE4	RNASE4	40032	0
RNH1_HUMAN	RNASEH1	RNASEH1	40037	0
RN166_HUMAN	RNF166	RNF166	40099	0
RN220_HUMAN	RNF220	RNF220	40133	0
RPAB3_HUMAN	POLR2H	POLR2H	37702	0
RM03_HUMAN	MRPL3	MRPL3	33552	0
RM10_HUMAN	MRPL10	MRPL10	33526	0
RRFM_HUMAN	MRRF	MRRF	33707	0
RRAGD_HUMAN	RRAGD	RRAGD	42571	0
RPRM_HUMAN	RPRM	RPRM	41840	0
RS12_HUMAN	RPS12	RPS12	41883	0
RSSA_HUMAN	RPSA	RPSA	42494	0
S35C2_HUMAN	SLC35C2	SLC35C2	43828	0
S31A7_HUMAN	SPATA31A7	SPATA31A7	44958	0
RTN3_HUMAN	RTN3	RTN3	42654	0
S29A3_HUMAN	SLC29A3	SLC29A3	43776	0
SCG3_HUMAN	SCG3	SCG3	42909	0
SCML4_HUMAN	SCML4	SCML4	42937	0
SAV1_HUMAN	SAV1	SAV1	42834	0
SC6A8_HUMAN	SLC6A8	SLC6A8	43961	0
SC6A2_HUMAN	SLC6A2	SLC6A2	43952	0
SELW_HUMAN	SEPW1	SEPW1	43167	2
SEM3F_HUMAN	SEMA3F	SEMA3F	43099	0
SERC5_HUMAN	SERINC5	SERINC5	43189	0
SNTA1_HUMAN	SNTA1	SNTA1	44737	0
SPCS2_HUMAN	SPCS2	SPCS2	44992	0
SPF27_HUMAN	BCAS2	BCAS2	1968	0
SPART_HUMAN	SPG20	SPG20	45035	2
SIG15_HUMAN	SIGLEC15	SIGLEC15	43462	0
SNH28_HUMAN	C1orf204	C1orf204	2680	1
SIK3_HUMAN	SIK3	SIK3	43486	0
SOAT_HUMAN	SLC10A6	SLC10A6	43558	0
SO5A1_HUMAN	SLCO5A1	SLCO5A1	44022	0
SPA6L_HUMAN	SPATA6L	SPATA6L	44979	0
SPICE_HUMAN	SPICE1	SPICE1	45046	0
SG1D4_HUMAN	SCGB1D4	SCGB1D4	42917	0
SH3G2_HUMAN	SH3GL2	SH3GL2	43387	0
SHH_HUMAN	SHH	SHH	43423	0
SHCAF_HUMAN	FAM60A	FAM60A	7645	2
SIT1_HUMAN	SIT1	SIT1	43513	0
SMPX_HUMAN	SMPX	SMPX	44181	0
SRP09_HUMAN	SRP9	SRP9	45190	0
STOX1_HUMAN	STOX1	STOX1	45473	0
SSX6_HUMAN	SSX6	SSX6	45287	1
SSX8_HUMAN	SSX8	SSX8	45289	1
STAS1_HUMAN	ST20-AS1	ST20-AS1	45326	0
PI42C_HUMAN	PIP4K2C	PIP4K2C	37345	0
PRY_HUMAN	PRY	PRY	38385	0
POMP_HUMAN	POMP	POMP	37750	0
PRRC1_HUMAN	PRRC1	PRRC1	38328	0
PRS55_HUMAN	PRSS55	PRSS55	38373	0
PRA25_HUMAN	PRAMEF25	PRAMEF25	38068	0
PRAP1_HUMAN	PRAP1	PRAP1	38077	0
PRAX_HUMAN	PRX	PRX	38384	0
PRD12_HUMAN	PRDM12	PRDM12	38090	0
PTCD3_HUMAN	PTCD3	PTCD3	38541	0
PYRG2_HUMAN	CTPS2	CTPS2	5190	0
QORL1_HUMAN	CRYZL1	CRYZL1	4991	0
QSPP_HUMAN	C9orf64	C9orf64	2965	0
RDH13_HUMAN	RDH13	RDH13	39265	0
RBM24_HUMAN	RBM24	RBM24	39125	0
RAB7L_HUMAN	RAB29	RAB29	38809	0
RCOR2_HUMAN	RCOR2	RCOR2	39256	0
RARG_HUMAN	RARG	RARG	39009	0
RANB3_HUMAN	RANBP3	RANBP3	38967	0
RARR2_HUMAN	RARRES2	RARRES2	39011	0
R10B2_HUMAN	RSPH10B2	RSPH10B2	42622	0
RAP2C_HUMAN	RAP2C	RAP2C	38994	0
RIT1_HUMAN	RIT1	RIT1	39518	0
RL19_HUMAN	RPL19	RPL19	40769	0
RRAS_HUMAN	RRAS	RRAS	42572	0
RRAGC_HUMAN	RRAGC	RRAGC	42570	0
RSAD2_HUMAN	RSAD2	RSAD2	42601	0
RS25_HUMAN	RPS25	RPS25	42115	0
RTCB_HUMAN	RTCB	RTCB	42643	0
S29A4_HUMAN	SLC29A4	SLC29A4	43777	0
S35B3_HUMAN	SLC35B3	SLC35B3	43825	0
S35G1_HUMAN	SLC35G1	SLC35G1	43844	0
RTL1_HUMAN	RTL1	RTL1	42651	0
S1PR3_HUMAN	S1PR3	S1PR3	42738	0
S35D3_HUMAN	SLC35D3	SLC35D3	43831	0
SART3_HUMAN	SART3	SART3	42823	0
SETD9_HUMAN	SETD9	SETD9	43256	0
SEHL2_HUMAN	SERHL2	SERHL2	43184	0
SERF2_HUMAN	SERF2	SERF2	43180	0
SPAST_HUMAN	SPAST	SPAST	44933	0
SPDYA_HUMAN	SPDYA	SPDYA	45000	0
SNX19_HUMAN	SNX19	SNX19	44775	0
SNG3_HUMAN	SYNGR3	SYNGR3	45685	0
