	exc_up	exc_down	inh_up	inh_down	non_up	non_do
RNF180	0.0	0.0	0.0	1.75	6.25	6.25
RNF144A	5.26	1.75	0.0	3.51	0.0	37.5
SKP1	1.75	0.0	0.0	0.0	0.0	12.5
STUB1	0.0	0.0	0.0	0.0	6.25	12.5
TRAF6	0.0	0.0	0.0	3.51	0.0	25.0
PRPF19	0.0	0.0	5.26	0.0	0.0	25.0
RAD18	0.0	0.0	3.51	8.77	18.75	31.25
PIAS4	1.75	3.51	1.75	10.53	12.5	25.0
TRIM25	1.75	1.75	7.02	7.02	25.0	25.0
NEURL2	1.75	24.56	21.05	29.82	25.0	50.0
TOPORS	0.0	0.0	3.51	0.0	12.5	25.0
RLIM	0.0	0.0	3.51	1.75	6.25	12.5
TRIM2	3.51	0.0	0.0	1.75	6.25	18.75
RNF123	0.0	0.0	1.75	5.26	6.25	18.75
RNF152	8.77	33.33	12.28	38.6	18.75	31.25
SYVN1	1.75	1.75	5.26	0.0	6.25	12.5
TRIM58	7.02	7.02	12.28	45.61	6.25	81.25
SHPRH	0.0	0.0	0.0	0.0	6.25	0.0
ZFP91	0.0	0.0	1.75	0.0	6.25	12.5
VHL	0.0	1.75	0.0	1.75	25.0	12.5
TRPC4AP	0.0	0.0	3.51	0.0	12.5	0.0
SAG	35.09	57.89	22.81	70.18	31.25	62.5
TRIM50	47.37	28.07	22.81	49.12	25.0	37.5
SPOP	0.0	0.0	0.0	0.0	6.25	12.5
RNF128	0.0	3.51	10.53	12.28	6.25	75.0
RNF138	1.75	0.0	7.02	7.02	12.5	25.0
PEX10	1.75	21.05	15.79	22.81	25.0	43.75
ITCH	0.0	0.0	0.0	1.75	18.75	6.25
TRIM26	1.75	0.0	3.51	7.02	0.0	25.0
RNF8	0.0	0.0	0.0	0.0	6.25	12.5
RNF6	0.0	1.75	1.75	1.75	0.0	18.75
TRIM36	1.75	10.53	5.26	22.81	0.0	50.0
FBXW7	63.16	0.0	0.0	36.84	0.0	62.5
NEDD4L	0.0	0.0	0.0	15.79	6.25	31.25
MARCH6	0.0	0.0	0.0	0.0	0.0	25.0
TRIP12	0.0	0.0	0.0	0.0	0.0	18.75
FBXO3	0.0	0.0	0.0	3.51	12.5	0.0
RHOBTB1	0.0	0.0	1.75	17.54	12.5	37.5
RNF168	1.75	0.0	3.51	1.75	18.75	18.75
TRIM33	1.75	0.0	0.0	0.0	0.0	6.25
KLHL13	0.0	22.81	19.3	21.05	6.25	68.75
UHRF2	1.75	0.0	0.0	3.51	25.0	12.5
FBXW11	0.0	0.0	1.75	1.75	6.25	12.5
SIVA1	0.0	1.75	1.75	1.75	18.75	6.25
RNF13	0.0	0.0	0.0	3.51	6.25	12.5
RNF40	1.75	0.0	0.0	0.0	6.25	12.5
RNF38	1.75	0.0	5.26	3.51	6.25	12.5
RICTOR	0.0	0.0	0.0	0.0	0.0	6.25
TRIM63	29.82	57.89	33.33	63.16	18.75	75.0
UBE4A	0.0	1.75	1.75	0.0	12.5	6.25
TRIM38	38.6	36.84	28.07	43.86	56.25	31.25
KLHL17	0.0	1.75	1.75	8.77	0.0	31.25
ZSWIM2	54.39	17.54	22.81	59.65	18.75	75.0
HECTD2	0.0	1.75	1.75	0.0	0.0	37.5
MARCH8	1.75	1.75	5.26	5.26	18.75	12.5
RNF4	0.0	1.75	1.75	1.75	12.5	6.25
MUL1	1.75	3.51	1.75	7.02	6.25	12.5
TRIM44	0.0	0.0	0.0	0.0	0.0	0.0
MARCH5	0.0	0.0	1.75	1.75	18.75	12.5
NAT10	0.0	0.0	1.75	0.0	12.5	12.5
TRIM59	57.89	28.07	28.07	66.67	56.25	43.75
WSB1	14.04	0.0	1.75	3.51	12.5	25.0
MDM4	0.0	0.0	0.0	0.0	6.25	0.0
HERC5	21.05	40.35	26.32	52.63	75.0	12.5
KLHL8	1.75	0.0	3.51	7.02	0.0	43.75
KLHL24	0.0	0.0	0.0	0.0	0.0	12.5
KLHL7	0.0	0.0	0.0	1.75	0.0	18.75
RNF144B	21.05	59.65	54.39	33.33	62.5	25.0
MAP3K1	0.0	10.53	5.26	7.02	18.75	18.75
RNF146	0.0	0.0	0.0	0.0	6.25	12.5
UBE3A	3.51	0.0	0.0	0.0	0.0	12.5
TTC3	5.26	0.0	0.0	0.0	0.0	81.25
PPARA	3.51	57.89	31.58	21.05	56.25	18.75
PIAS2	0.0	0.0	0.0	0.0	6.25	6.25
PELI3	0.0	3.51	1.75	7.02	12.5	25.0
RNF19A	0.0	0.0	0.0	1.75	12.5	6.25
RNF130	0.0	1.75	3.51	7.02	43.75	6.25
TRIM62	0.0	38.6	10.53	22.81	31.25	25.0
OSTM1	0.0	0.0	3.51	0.0	6.25	18.75
XIAP	0.0	0.0	1.75	0.0	0.0	12.5
RNF111	0.0	0.0	0.0	0.0	12.5	6.25
FBXO28	0.0	3.51	1.75	5.26	12.5	12.5
IRAK4	5.26	7.02	14.04	26.32	31.25	18.75
MPG	0.0	1.75	1.75	0.0	6.25	6.25
RHOBTB3	0.0	3.51	3.51	7.02	12.5	12.5
RFWD3	12.28	7.02	7.02	14.04	6.25	25.0
TRIM24	0.0	1.75	5.26	1.75	37.5	12.5
TRIM65	5.26	8.77	3.51	19.3	31.25	18.75
TRIM39	3.51	5.26	8.77	15.79	37.5	31.25
SOCS1	31.58	68.42	29.82	63.16	43.75	50.0
TRIM31	36.84	54.39	36.84	59.65	18.75	75.0
ZC3HC1	1.75	5.26	12.28	7.02	6.25	25.0
PJA2	1.75	0.0	1.75	0.0	6.25	18.75
TRIM3	0.0	0.0	0.0	0.0	6.25	25.0
LNX2	1.75	3.51	5.26	22.81	18.75	18.75
NOSIP	0.0	1.75	1.75	3.51	18.75	12.5
RAG1	38.6	24.56	31.58	45.61	6.25	87.5
RNF20	0.0	0.0	0.0	0.0	6.25	18.75
NEDD4	5.26	29.82	15.79	28.07	31.25	37.5
RNF126	0.0	0.0	1.75	3.51	6.25	12.5
FBXW8	1.75	0.0	5.26	12.28	6.25	25.0
RNF149	0.0	0.0	0.0	1.75	18.75	6.25
KLHL42	0.0	0.0	0.0	0.0	0.0	18.75
PDZRN3	0.0	21.05	1.75	7.02	18.75	31.25
FBXO15	7.02	8.77	10.53	24.56	12.5	37.5
PELI1	0.0	1.75	14.04	8.77	18.75	31.25
SMURF1	1.75	0.0	3.51	7.02	12.5	18.75
FBXO45	0.0	0.0	3.51	0.0	0.0	43.75
TRIM49	35.09	49.12	19.3	70.18	25.0	75.0
USP21	0.0	0.0	0.0	7.02	6.25	6.25
KLHL40	14.04	80.7	19.3	80.7	18.75	81.25
RNF181	0.0	0.0	0.0	3.51	6.25	18.75
TRIM41	1.75	0.0	3.51	3.51	25.0	6.25
MEX3B	1.75	5.26	12.28	10.53	6.25	62.5
USP1	0.0	1.75	1.75	3.51	0.0	31.25
SARM1	1.75	5.26	7.02	8.77	12.5	31.25
FBXO11	0.0	0.0	1.75	1.75	0.0	25.0
HEYL	26.32	66.67	14.04	73.68	31.25	62.5
RNF167	0.0	1.75	0.0	1.75	0.0	12.5
MAGEA3	0.0	98.25	0.0	100.0	0.0	100.0
SMURF2	1.75	0.0	1.75	8.77	0.0	25.0
IRAK1	0.0	0.0	0.0	1.75	25.0	12.5
GAN	8.77	7.02	12.28	14.04	6.25	37.5
LNX1	1.75	5.26	8.77	12.28	6.25	68.75
NEURL1	1.75	0.0	7.02	7.02	0.0	68.75
HERC2	0.0	0.0	0.0	0.0	0.0	12.5
HACE1	0.0	0.0	0.0	7.02	0.0	18.75
TRIM8	0.0	1.75	1.75	1.75	18.75	0.0
SIAH2	1.75	3.51	3.51	10.53	6.25	43.75
RNF125	22.81	29.82	24.56	43.86	50.0	37.5
DDB2	3.51	3.51	5.26	49.12	31.25	18.75
CGRRF1	0.0	3.51	3.51	3.51	6.25	6.25
RNF31	1.75	0.0	1.75	10.53	25.0	6.25
MALT1	0.0	1.75	1.75	8.77	12.5	18.75
SOCS3	31.58	61.4	19.3	73.68	37.5	50.0
HECTD1	0.0	0.0	0.0	0.0	0.0	6.25
HECTD3	0.0	0.0	1.75	3.51	18.75	6.25
FBXO31	1.75	1.75	3.51	3.51	18.75	18.75
PDLIM2	0.0	7.02	7.02	17.54	12.5	12.5
FBXO44	0.0	0.0	0.0	0.0	6.25	6.25
TRIM21	33.33	26.32	19.3	66.67	56.25	25.0
FBXO27	3.51	7.02	5.26	5.26	6.25	37.5
RING1	0.0	0.0	1.75	3.51	6.25	6.25
KLHL2	0.0	0.0	1.75	10.53	12.5	25.0
DTL	54.39	40.35	21.05	75.44	18.75	75.0
TRIM27	0.0	1.75	1.75	7.02	18.75	6.25
RNF170	0.0	0.0	0.0	1.75	0.0	18.75
TRAF3	1.75	0.0	1.75	7.02	6.25	18.75
MID1	0.0	19.3	1.75	17.54	6.25	31.25
CRBN	1.75	0.0	0.0	0.0	0.0	12.5
HECW1	0.0	0.0	1.75	26.32	6.25	62.5
MARCH9	1.75	1.75	1.75	7.02	6.25	18.75
TRAF2	1.75	1.75	5.26	17.54	6.25	25.0
KLHL6	36.84	22.81	10.53	43.86	25.0	50.0
KLHL3	0.0	0.0	0.0	0.0	0.0	18.75
TRAF3IP2	0.0	3.51	5.26	0.0	12.5	12.5
FBXO40	43.86	8.77	22.81	64.91	6.25	62.5
KLHL18	0.0	1.75	1.75	7.02	12.5	12.5
SKP2	1.75	3.51	1.75	17.54	25.0	25.0
FZR1	0.0	1.75	0.0	7.02	18.75	43.75
MDM2	0.0	0.0	0.0	1.75	0.0	12.5
LRSAM1	0.0	0.0	1.75	3.51	12.5	12.5
KEAP1	1.75	1.75	0.0	10.53	12.5	18.75
HERC1	3.51	0.0	0.0	1.75	0.0	43.75
MARCH2	1.75	0.0	1.75	5.26	0.0	25.0
KDM2B	0.0	0.0	3.51	1.75	6.25	25.0
FBXW12	38.6	22.81	26.32	49.12	12.5	81.25
RBX1	0.0	0.0	0.0	0.0	0.0	6.25
TRAF4	10.53	15.79	21.05	19.3	31.25	12.5
RNF2	0.0	5.26	3.51	7.02	0.0	43.75
FBXW5	1.75	1.75	0.0	1.75	6.25	12.5
SOCS4	0.0	0.0	0.0	3.51	6.25	25.0
HECW2	0.0	1.75	0.0	7.02	6.25	50.0
FBXW2	0.0	0.0	1.75	1.75	6.25	6.25
FBXL4	0.0	5.26	5.26	3.51	12.5	25.0
CNOT4	0.0	0.0	1.75	0.0	0.0	6.25
DZIP3	3.51	0.0	0.0	0.0	12.5	12.5
FBXL17	0.0	0.0	0.0	1.75	6.25	18.75
RBBP6	0.0	0.0	0.0	0.0	6.25	0.0
MARCH1	3.51	5.26	5.26	10.53	18.75	37.5
KLHL20	3.51	0.0	3.51	1.75	6.25	12.5
FBRS	0.0	3.51	3.51	7.02	6.25	18.75
TRIM17	7.02	15.79	8.77	38.6	6.25	87.5
RC3H1	0.0	1.75	0.0	1.75	0.0	31.25
UBE2H	0.0	0.0	0.0	1.75	0.0	6.25
KLHL15	1.75	0.0	15.79	8.77	0.0	43.75
KLHL10	71.93	21.05	22.81	59.65	18.75	75.0
MARCH4	0.0	10.53	1.75	7.02	0.0	87.5
MIB1	0.0	0.0	0.0	0.0	18.75	0.0
FBXL12	0.0	0.0	1.75	10.53	18.75	6.25
RNF5	0.0	0.0	1.75	7.02	18.75	18.75
FBXW10	14.04	15.79	24.56	29.82	18.75	62.5
KLHL21	3.51	5.26	0.0	7.02	18.75	18.75
RNF25	1.75	1.75	3.51	1.75	0.0	25.0
FANCL	0.0	1.75	3.51	0.0	18.75	0.0
F12	1.75	7.02	15.79	31.58	0.0	75.0
DCAF4	1.75	1.75	5.26	5.26	6.25	37.5
RBCK1	0.0	0.0	3.51	0.0	12.5	0.0
ING4	0.0	0.0	0.0	0.0	0.0	12.5
PJA1	0.0	1.75	3.51	0.0	6.25	25.0
HLTF	0.0	0.0	0.0	0.0	0.0	6.25
DET1	5.26	12.28	14.04	38.6	6.25	50.0
SIAH1	3.51	0.0	3.51	3.51	12.5	12.5
FBXO32	1.75	3.51	0.0	15.79	25.0	12.5
SOCS2	1.75	5.26	7.02	22.81	18.75	43.75
DDB1	0.0	1.75	0.0	0.0	0.0	6.25
KCTD17	0.0	3.51	1.75	5.26	12.5	25.0
FBXL5	0.0	0.0	0.0	0.0	12.5	18.75
KLHL41	0.0	12.28	8.77	14.04	25.0	25.0
IL17RB	8.77	24.56	40.35	17.54	43.75	31.25
FBXL3	0.0	0.0	0.0	1.75	12.5	12.5
FBXO10	3.51	3.51	7.02	8.77	12.5	37.5
FBXO4	0.0	0.0	3.51	12.28	0.0	12.5
KCTD10	0.0	1.75	5.26	12.28	12.5	37.5
FBXO42	0.0	0.0	0.0	0.0	0.0	18.75
FBXO2	0.0	0.0	0.0	0.0	18.75	25.0
FBXO21	0.0	0.0	1.75	1.75	6.25	0.0
FBXO9	1.75	0.0	0.0	0.0	0.0	25.0
DTX2	7.02	5.26	19.3	29.82	6.25	25.0
LHX1	45.61	47.37	31.58	61.4	43.75	43.75
MARCH11	1.75	8.77	14.04	5.26	0.0	68.75
MIB2	0.0	0.0	0.0	1.75	6.25	18.75
KLHL25	5.26	12.28	12.28	29.82	18.75	50.0
FBXO22	0.0	0.0	3.51	3.51	31.25	6.25
CCNB1IP1	1.75	0.0	1.75	8.77	6.25	12.5
CUL7	1.75	7.02	8.77	7.02	12.5	25.0
FBXL7	35.09	59.65	56.14	42.11	68.75	31.25
CUL5	0.0	0.0	0.0	0.0	0.0	12.5
DTX3L	12.28	33.33	52.63	33.33	75.0	18.75
FBXO7	0.0	0.0	1.75	0.0	25.0	12.5
FBXO8	0.0	7.02	12.28	8.77	25.0	6.25
DYRK2	3.51	7.02	8.77	5.26	12.5	18.75
RNF216	0.0	0.0	0.0	3.51	18.75	12.5
FBXL15	0.0	0.0	0.0	0.0	18.75	12.5
ERCC8	0.0	3.51	10.53	14.04	31.25	25.0
HUWE1	0.0	0.0	0.0	0.0	0.0	6.25
FBXO33	0.0	0.0	0.0	3.51	18.75	12.5
KCTD11	29.82	56.14	52.63	36.84	62.5	25.0
KLHL9	0.0	1.75	1.75	1.75	12.5	12.5
CHFR	0.0	0.0	0.0	1.75	6.25	12.5
CUL1	0.0	0.0	0.0	0.0	6.25	0.0
KCTD13	0.0	5.26	10.53	1.75	12.5	31.25
E4F1	0.0	0.0	5.26	12.28	6.25	31.25
FBXO34	0.0	0.0	0.0	5.26	0.0	18.75
CDCA3	3.51	1.75	5.26	8.77	12.5	37.5
CUL4A	0.0	0.0	0.0	3.51	18.75	6.25
DTX3	0.0	0.0	0.0	0.0	0.0	18.75
FBXL2	0.0	0.0	0.0	3.51	0.0	43.75
CBLB	0.0	3.51	1.75	7.02	6.25	18.75
DCAF12	1.75	1.75	12.28	10.53	18.75	12.5
DTX1	1.75	1.75	5.26	3.51	0.0	43.75
FBXL18	1.75	0.0	3.51	10.53	0.0	50.0
EP300	0.0	0.0	1.75	0.0	6.25	6.25
FBXO5	21.05	14.04	22.81	45.61	18.75	43.75
KLHL22	1.75	0.0	0.0	1.75	12.5	18.75
FBXO25	0.0	0.0	1.75	3.51	12.5	12.5
BTRC	0.0	1.75	0.0	0.0	6.25	12.5
FBXL19	5.26	3.51	7.02	15.79	6.25	37.5
FBXL14	1.75	8.77	17.54	15.79	0.0	43.75
BMI1	3.51	10.53	8.77	29.82	18.75	68.75
CA11	5.26	0.0	0.0	8.77	6.25	25.0
CCNF	1.75	7.02	7.02	14.04	0.0	56.25
CBLC	5.26	89.47	21.05	75.44	6.25	93.75
KLHL11	0.0	3.51	0.0	3.51	12.5	37.5
DTX4	0.0	3.51	1.75	5.26	31.25	37.5
KLHL12	0.0	1.75	1.75	5.26	6.25	37.5
CBL	0.0	0.0	0.0	5.26	12.5	6.25
BIRC3	1.75	24.56	3.51	15.79	12.5	43.75
BIRC7	8.77	89.47	1.75	98.25	18.75	75.0
ASB4	26.32	57.89	17.54	70.18	37.5	56.25
CBLL1	0.0	1.75	5.26	3.51	18.75	25.0
CDC27	0.0	0.0	0.0	0.0	0.0	0.0
CISH	54.39	40.35	22.81	73.68	25.0	62.5
FBXL22	1.75	5.26	7.02	8.77	6.25	50.0
BIRC6	0.0	0.0	0.0	0.0	0.0	6.25
CDC20	57.89	31.58	24.56	56.14	25.0	62.5
FAF2	0.0	0.0	1.75	0.0	18.75	6.25
CDC34	0.0	0.0	1.75	3.51	12.5	12.5
BIN2	47.37	31.58	17.54	42.11	31.25	31.25
ARIH1	0.0	1.75	0.0	1.75	12.5	18.75
DCAF15	0.0	12.28	10.53	19.3	12.5	37.5
BFAR	3.51	0.0	7.02	5.26	12.5	31.25
CDH1	33.33	21.05	15.79	31.58	37.5	50.0
BIRC2	0.0	0.0	0.0	3.51	0.0	12.5
ARID1B	0.0	0.0	3.51	5.26	6.25	12.5
CACYBP	0.0	0.0	0.0	0.0	0.0	18.75
CCAR1	0.0	0.0	0.0	1.75	12.5	6.25
BARD1	3.51	24.56	1.75	36.84	12.5	12.5
ASB9	5.26	78.95	15.79	75.44	0.0	93.75
ASB2	5.26	31.58	12.28	42.11	0.0	68.75
FBXO6	1.75	10.53	14.04	10.53	0.0	56.25
DCAF11	0.0	3.51	3.51	14.04	6.25	25.0
CARD16	71.93	26.32	3.51	87.72	25.0	62.5
ASB3	0.0	1.75	1.75	3.51	12.5	12.5
BRCA1	5.26	17.54	21.05	26.32	31.25	25.0
ANAPC2	0.0	7.02	7.02	19.3	18.75	25.0
ANAPC10	0.0	0.0	3.51	0.0	6.25	25.0
ANAPC7	0.0	0.0	0.0	0.0	6.25	12.5
BRAP	0.0	0.0	3.51	3.51	6.25	31.25
ASB11	29.82	43.86	15.79	59.65	25.0	68.75
APC	0.0	0.0	1.75	0.0	6.25	0.0
ANAPC1	0.0	1.75	1.75	5.26	0.0	25.0
AMBRA1	3.51	3.51	10.53	3.51	18.75	31.25
ARIH2	0.0	0.0	0.0	0.0	6.25	0.0
ANAPC11	0.0	0.0	1.75	0.0	6.25	6.25
AMFR	1.75	1.75	5.26	5.26	0.0	56.25
AHR	3.51	8.77	8.77	22.81	0.0	50.0
