	exc_up	exc_down	inh_up	inh_down	non_up	non_do
DNAJC2	0.0	0.0	1.75	5.26	12.5	12.5
DNAJC10	3.51	0.0	3.51	0.0	0.0	12.5
SEC63	0.0	0.0	0.0	1.75	6.25	0.0
DNAJC24	0.0	0.0	1.75	1.75	12.5	6.25
NUDCD3	0.0	0.0	1.75	0.0	0.0	6.25
HSPA1B	1.75	5.26	5.26	12.28	56.25	6.25
HSPBP1	0.0	0.0	1.75	7.02	18.75	12.5
DNAJC11	1.75	1.75	1.75	1.75	0.0	31.25
TIMM8A	0.0	3.51	8.77	5.26	18.75	37.5
HSPA14	0.0	0.0	3.51	0.0	6.25	18.75
DNAJB8	8.77	80.7	1.75	92.98	6.25	81.25
TIMM9	0.0	0.0	0.0	1.75	25.0	6.25
HSPB8	3.51	7.02	1.75	5.26	18.75	18.75
TBCA	0.0	0.0	0.0	0.0	0.0	12.5
NPM1	1.75	0.0	1.75	0.0	0.0	12.5
HSPB1	0.0	3.51	1.75	3.51	43.75	6.25
HACD3	0.0	1.75	3.51	1.75	0.0	12.5
PFDN4	0.0	0.0	1.75	0.0	12.5	18.75
PDCL2	19.3	71.93	19.3	78.95	12.5	81.25
DNAJC1	0.0	0.0	0.0	0.0	6.25	6.25
DNAJB7	10.53	22.81	19.3	40.35	0.0	56.25
HSPE1	0.0	0.0	0.0	0.0	0.0	6.25
TBCE	0.0	1.75	3.51	3.51	0.0	25.0
NUDC	0.0	0.0	0.0	0.0	0.0	12.5
TIMM13	0.0	0.0	0.0	1.75	0.0	18.75
HSPA12B	21.05	31.58	24.56	56.14	12.5	56.25
DNAJC22	47.37	15.79	28.07	36.84	37.5	37.5
PFDN5	0.0	0.0	0.0	0.0	0.0	6.25
FKBP4	0.0	0.0	5.26	1.75	12.5	6.25
PFDN2	0.0	0.0	0.0	0.0	6.25	18.75
HSPB9	47.37	45.61	26.32	66.67	18.75	81.25
HJURP	28.07	47.37	14.04	66.67	12.5	68.75
CCT8	0.0	0.0	0.0	0.0	0.0	18.75
HSPB6	10.53	28.07	15.79	47.37	6.25	56.25
DNAJC3	0.0	0.0	0.0	3.51	6.25	0.0
TXNDC9	0.0	0.0	0.0	1.75	6.25	25.0
S100A1	17.54	28.07	15.79	43.86	37.5	37.5
HSP90AB1	0.0	0.0	1.75	0.0	0.0	75.0
DNAJC6	0.0	0.0	1.75	0.0	0.0	37.5
ITGB1BP2	29.82	19.3	19.3	52.63	25.0	62.5
PDRG1	1.75	0.0	7.02	1.75	12.5	31.25
FKBP8	0.0	0.0	0.0	1.75	6.25	12.5
FICD	1.75	1.75	5.26	7.02	18.75	31.25
DNAJC9	0.0	1.75	3.51	1.75	0.0	6.25
GAK	1.75	0.0	0.0	1.75	12.5	12.5
DNAJC4	0.0	3.51	1.75	3.51	6.25	12.5
HIRA	1.75	1.75	1.75	3.51	12.5	31.25
HSP90B1	0.0	0.0	0.0	0.0	6.25	0.0
DNAJC25	0.0	0.0	3.51	3.51	6.25	31.25
EMB	3.51	3.51	0.0	19.3	6.25	31.25
TTC1	0.0	0.0	0.0	1.75	0.0	12.5
GRPEL2	0.0	0.0	3.51	7.02	0.0	31.25
DNAJA3	0.0	0.0	0.0	1.75	12.5	6.25
DNAJA1	0.0	0.0	1.75	0.0	0.0	37.5
DNAJB6	0.0	0.0	1.75	1.75	6.25	0.0
HSPB11	0.0	0.0	0.0	0.0	12.5	0.0
DNAJC5B	22.81	71.93	43.86	52.63	12.5	81.25
DNAJC19	0.0	0.0	0.0	0.0	6.25	12.5
HSP90AA1	3.51	0.0	1.75	1.75	0.0	50.0
GRPEL1	0.0	0.0	0.0	8.77	18.75	25.0
HSPB3	0.0	21.05	1.75	29.82	0.0	75.0
DNAJC28	0.0	0.0	3.51	1.75	0.0	25.0
DNAJC12	0.0	0.0	0.0	1.75	6.25	37.5
DNAJC5	0.0	0.0	0.0	0.0	12.5	18.75
DNAJC5G	68.42	14.04	19.3	42.11	0.0	75.0
DNAJB4	0.0	0.0	0.0	1.75	0.0	12.5
HAT1	0.0	10.53	1.75	7.02	31.25	6.25
DNAJB5	0.0	3.51	5.26	10.53	18.75	25.0
DNAJC15	0.0	0.0	0.0	1.75	12.5	12.5
DNAJB1	0.0	1.75	0.0	3.51	43.75	6.25
FKBP5	57.89	19.3	7.02	68.42	62.5	31.25
CLPB	7.02	15.79	24.56	36.84	18.75	56.25
DNAJC18	0.0	0.0	1.75	1.75	6.25	12.5
CCT8L2	38.6	33.33	15.79	38.6	25.0	62.5
DNAJB2	0.0	0.0	1.75	0.0	31.25	12.5
DNAJB12	1.75	1.75	5.26	1.75	25.0	6.25
FNIP1	0.0	0.0	1.75	1.75	6.25	31.25
DNAJC8	0.0	0.0	0.0	1.75	0.0	12.5
CRNKL1	0.0	1.75	1.75	1.75	25.0	0.0
DNAJC17	0.0	0.0	0.0	3.51	0.0	31.25
CRYAA	5.26	92.98	0.0	100.0	0.0	100.0
CRYAB	1.75	1.75	3.51	1.75	43.75	25.0
CCT7	0.0	3.51	0.0	5.26	6.25	18.75
DNAJC13	0.0	0.0	0.0	1.75	12.5	12.5
CYB5R4	0.0	0.0	0.0	3.51	6.25	25.0
DNAJC14	1.75	8.77	8.77	19.3	12.5	37.5
DNAJA2	0.0	1.75	0.0	5.26	6.25	6.25
CDC37	0.0	0.0	1.75	0.0	0.0	6.25
DNAJB11	0.0	1.75	0.0	3.51	6.25	6.25
DNAJA4	0.0	0.0	0.0	0.0	6.25	12.5
DNAJC16	0.0	0.0	0.0	1.75	0.0	25.0
DAXX	1.75	3.51	5.26	12.28	6.25	31.25
CDC37L1	0.0	1.75	0.0	0.0	0.0	12.5
CCT6B	14.04	14.04	14.04	40.35	31.25	37.5
CCT2	0.0	0.0	0.0	0.0	0.0	12.5
DNAJB13	57.89	24.56	31.58	56.14	18.75	62.5
CCT4	0.0	3.51	0.0	0.0	6.25	12.5
CACYBP	0.0	0.0	0.0	0.0	0.0	18.75
DNAJB14	0.0	0.0	0.0	0.0	0.0	12.5
CCT3	0.0	0.0	0.0	0.0	0.0	18.75
CCT6A	0.0	0.0	1.75	0.0	0.0	12.5
BAG2	3.51	5.26	7.02	15.79	12.5	31.25
CHAF1A	1.75	8.77	0.0	17.54	25.0	37.5
BAG4	0.0	3.51	0.0	0.0	0.0	12.5
CCT5	0.0	0.0	0.0	0.0	0.0	12.5
CABIN1	0.0	0.0	1.75	0.0	6.25	0.0
BAG5	0.0	3.51	0.0	7.02	6.25	12.5
CHORDC1	1.75	0.0	0.0	0.0	0.0	12.5
BAG6	0.0	0.0	1.75	3.51	18.75	6.25
BSG	0.0	0.0	0.0	0.0	12.5	18.75
BAG1	0.0	0.0	0.0	5.26	6.25	18.75
BAG3	8.77	21.05	14.04	33.33	12.5	37.5
ASF1A	0.0	0.0	0.0	7.02	0.0	25.0
CHAF1B	1.75	7.02	10.53	22.81	0.0	62.5
BBS10	0.0	1.75	1.75	7.02	12.5	25.0
BBS12	0.0	3.51	7.02	15.79	6.25	56.25
ATRX	0.0	0.0	0.0	0.0	0.0	37.5
AIPL1	63.16	26.32	29.82	49.12	6.25	75.0
ANP32E	0.0	1.75	0.0	5.26	6.25	12.5
AHSA1	0.0	0.0	0.0	3.51	6.25	6.25
ASF1B	24.56	73.68	15.79	78.95	43.75	50.0
AIP	1.75	3.51	0.0	7.02	18.75	25.0
AARSD1	0.0	0.0	3.51	0.0	12.5	18.75
